model_name,ips
afm_dropout_noSM_woTemplates_model_2_multimer_v1_pred_23.pdb,0.814
afm_basic_model_3_multimer_v3_pred_11.pdb,0.795
afm_dropout_full_woTemplates_model_2_multimer_v1_pred_36.pdb,0.792
afm_dropout_full_woTemplates_model_2_multimer_v1_pred_12.pdb,0.791
afm_basic_model_2_multimer_v1_pred_4.pdb,0.787
afm_dropout_full_model_2_multimer_v1_pred_11.pdb,0.784
afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_10.pdb,0.783
afm_dropout_full_model_1_multimer_v1_pred_52.pdb,0.783
afm_dropout_noSM_woTemplates_model_2_multimer_v1_pred_51.pdb,0.777
afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_64.pdb,0.775
afm_dropout_full_model_1_multimer_v1_pred_21.pdb,0.775
afm_dropout_full_woTemplates_model_1_multimer_v1_pred_33.pdb,0.773
afm_dropout_noSM_woTemplates_model_5_multimer_v1_pred_47.pdb,0.773
afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_58.pdb,0.772
afm_dropout_noSM_woTemplates_model_2_multimer_v1_pred_16.pdb,0.772
afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_8.pdb,0.771
afm_dropout_full_model_1_multimer_v1_pred_54.pdb,0.771
afm_dropout_full_woTemplates_model_2_multimer_v1_pred_11.pdb,0.77
afm_dropout_full_model_1_multimer_v1_pred_15.pdb,0.768
afm_basic_model_1_multimer_v1_pred_62.pdb,0.767
afm_dropout_full_model_1_multimer_v1_pred_35.pdb,0.766
afm_basic_model_3_multimer_v3_pred_53.pdb,0.764
afm_dropout_full_woTemplates_model_1_multimer_v1_pred_1.pdb,0.764
afm_dropout_full_model_1_multimer_v1_pred_60.pdb,0.761
afm_dropout_full_model_2_multimer_v1_pred_10.pdb,0.761
afm_dropout_full_woTemplates_model_1_multimer_v1_pred_32.pdb,0.76
afm_dropout_full_woTemplates_model_1_multimer_v1_pred_31.pdb,0.76
afm_dropout_full_woTemplates_model_2_multimer_v1_pred_29.pdb,0.76
afm_dropout_full_model_1_multimer_v1_pred_44.pdb,0.759
afm_dropout_full_woTemplates_model_1_multimer_v1_pred_3.pdb,0.759
afm_basic_model_2_multimer_v1_pred_33.pdb,0.759
afm_basic_model_3_multimer_v1_pred_4.pdb,0.758
