model_name,tm_score
afm_dropout_full_model_3_multimer_v3_pred_8.pdb,0.748
afm_dropout_full_model_1_multimer_v3_pred_7.pdb,0.748
afm_basic_model_4_multimer_v3_pred_9.pdb,0.748
afm_dropout_full_model_2_multimer_v3_pred_7.pdb,0.748
afm_basic_model_4_multimer_v3_pred_14.pdb,0.748
afm_dropout_full_model_2_multimer_v3_pred_11.pdb,0.747
afm_basic_model_2_multimer_v1_pred_6.pdb,0.747
afm_dropout_full_model_4_multimer_v3_pred_9.pdb,0.747
afm_dropout_full_model_2_multimer_v3_pred_15.pdb,0.747
afm_dropout_full_model_4_multimer_v3_pred_0.pdb,0.747
afm_dropout_full_model_4_multimer_v3_pred_2.pdb,0.747
afm_dropout_full_model_3_multimer_v1_pred_4.pdb,0.747
afm_basic_model_4_multimer_v3_pred_11.pdb,0.747
afm_dropout_full_model_2_multimer_v3_pred_2.pdb,0.747
afm_dropout_full_model_3_multimer_v1_pred_16.pdb,0.747
afm_dropout_full_model_4_multimer_v3_pred_8.pdb,0.747
afm_dropout_full_model_2_multimer_v3_pred_13.pdb,0.746
afm_dropout_full_model_2_multimer_v1_pred_6.pdb,0.746
afm_basic_model_4_multimer_v3_pred_1.pdb,0.746
afm_dropout_full_model_4_multimer_v3_pred_13.pdb,0.746
afm_dropout_full_model_2_multimer_v1_pred_14.pdb,0.746
afm_basic_model_2_multimer_v1_pred_0.pdb,0.746
afm_basic_model_2_multimer_v1_pred_1.pdb,0.746
afm_basic_model_2_multimer_v1_pred_2.pdb,0.746
afm_dropout_full_model_2_multimer_v1_pred_5.pdb,0.746
afm_basic_model_4_multimer_v3_pred_2.pdb,0.746
afm_basic_model_2_multimer_v1_pred_5.pdb,0.746
afm_dropout_full_model_2_multimer_v3_pred_3.pdb,0.745
afm_dropout_full_model_3_multimer_v1_pred_5.pdb,0.744
afm_dropout_full_model_1_multimer_v1_pred_2.pdb,0.744
afm_dropout_full_model_3_multimer_v1_pred_15.pdb,0.744
afm_dropout_full_model_1_multimer_v3_pred_12.pdb,0.744
afm_dropout_full_model_3_multimer_v1_pred_1.pdb,0.744
afm_basic_model_2_multimer_v1_pred_12.pdb,0.744
afm_dropout_full_model_4_multimer_v1_pred_13.pdb,0.744
afm_dropout_full_model_3_multimer_v1_pred_3.pdb,0.744
afm_dropout_full_model_4_multimer_v3_pred_14.pdb,0.744
afm_dropout_full_model_4_multimer_v3_pred_11.pdb,0.743
afm_dropout_full_model_4_multimer_v3_pred_12.pdb,0.743
afm_dropout_full_model_4_multimer_v3_pred_5.pdb,0.743
afm_dropout_full_model_1_multimer_v1_pred_14.pdb,0.743
afm_dropout_full_model_2_multimer_v1_pred_11.pdb,0.743
afm_dropout_full_model_3_multimer_v1_pred_0.pdb,0.743
afm_dropout_full_model_1_multimer_v3_pred_15.pdb,0.743
afm_dropout_full_model_3_multimer_v1_pred_2.pdb,0.743
afm_dropout_full_model_4_multimer_v3_pred_10.pdb,0.743
afm_dropout_full_model_4_multimer_v3_pred_4.pdb,0.742
afm_dropout_full_model_4_multimer_v1_pred_14.pdb,0.742
afm_dropout_full_model_4_multimer_v3_pred_6.pdb,0.742
afm_dropout_full_model_4_multimer_v1_pred_2.pdb,0.742
afm_dropout_full_model_4_multimer_v1_pred_3.pdb,0.742
afm_basic_model_2_multimer_v1_pred_14.pdb,0.742
afm_dropout_full_model_4_multimer_v1_pred_11.pdb,0.742
