model_name,ics
afm_basic_model_1_multimer_v3_pred_11.pdb,0.597
afm_basic_model_1_multimer_v3_pred_7.pdb,0.594
afm_dropout_full_model_1_multimer_v3_pred_14.pdb,0.585
afm_dropout_full_model_1_multimer_v3_pred_10.pdb,0.576
cf_woTemplates_model_2_multimer_v3_pred_14.pdb,0.53
afm_basic_model_1_multimer_v3_pred_4.pdb,0.524
afm_basic_model_1_multimer_v3_pred_13.pdb,0.522
afm_dropout_full_model_1_multimer_v3_pred_11.pdb,0.512
cf_woTemplates_model_2_multimer_v3_pred_16.pdb,0.506
cf_woTemplates_model_2_multimer_v3_pred_9.pdb,0.505
cf_woTemplates_model_2_multimer_v3_pred_4.pdb,0.5
afm_dropout_full_model_1_multimer_v3_pred_6.pdb,0.497
cf_woTemplates_model_2_multimer_v3_pred_10.pdb,0.491
afm_basic_model_2_multimer_v3_pred_9.pdb,0.472
afm_basic_model_2_multimer_v3_pred_10.pdb,0.472
cf_woTemplates_model_2_multimer_v3_pred_7.pdb,0.47
afm_woTemplates_model_2_multimer_v3_pred_9.pdb,0.458
afm_basic_model_2_multimer_v3_pred_0.pdb,0.437
afm_basic_model_1_multimer_v3_pred_5.pdb,0.436
afm_woTemplates_model_2_multimer_v3_pred_0.pdb,0.424
afm_basic_model_2_multimer_v3_pred_13.pdb,0.419
afm_dropout_full_model_2_multimer_v3_pred_14.pdb,0.402
afm_basic_model_1_multimer_v3_pred_3.pdb,0.401
afm_dropout_full_model_5_multimer_v3_pred_6.pdb,0.4
afm_basic_model_1_multimer_v3_pred_6.pdb,0.398
afm_basic_model_2_multimer_v3_pred_5.pdb,0.394
afm_dropout_full_model_2_multimer_v3_pred_5.pdb,0.393
afm_dropout_full_model_5_multimer_v3_pred_13.pdb,0.391
afm_dropout_full_model_5_multimer_v3_pred_8.pdb,0.389
cf_woTemplates_model_2_multimer_v3_pred_13.pdb,0.386
afm_dropout_full_model_5_multimer_v3_pred_7.pdb,0.385
afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_16.pdb,0.384
afm_dropout_full_model_5_multimer_v3_pred_2.pdb,0.38
afm_dropout_full_model_5_multimer_v3_pred_9.pdb,0.38
afm_dropout_full_model_5_multimer_v3_pred_5.pdb,0.38
afm_dropout_full_model_5_multimer_v3_pred_16.pdb,0.38
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_9.pdb,0.378
afm_dropout_full_model_2_multimer_v3_pred_0.pdb,0.377
afm_dropout_full_model_2_multimer_v3_pred_1.pdb,0.374
afm_dropout_full_model_2_multimer_v3_pred_15.pdb,0.373
afm_dropout_full_model_5_multimer_v3_pred_15.pdb,0.372
afm_dropout_full_model_5_multimer_v3_pred_11.pdb,0.372
afm_dropout_full_model_2_multimer_v3_pred_12.pdb,0.371
afm_basic_model_5_multimer_v3_pred_16.pdb,0.371
afm_woTemplates_model_4_multimer_v2_pred_2.pdb,0.37
afm_dropout_full_model_5_multimer_v3_pred_12.pdb,0.369
cf_woTemplates_model_5_multimer_v2_pred_13.pdb,0.368
afm_woTemplates_model_5_multimer_v2_pred_3.pdb,0.368
cf_woTemplates_model_4_multimer_v2_pred_5.pdb,0.368
afm_dropout_full_model_5_multimer_v3_pred_0.pdb,0.367
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_9.pdb,0.366
cf_woTemplates_model_4_multimer_v2_pred_7.pdb,0.366
cf_woTemplates_model_1_multimer_v2_pred_4.pdb,0.366
cf_woTemplates_model_4_multimer_v2_pred_3.pdb,0.366
afm_woTemplates_model_5_multimer_v2_pred_2.pdb,0.366
cf_woTemplates_model_4_multimer_v2_pred_4.pdb,0.366
cf_dropout_full_woTemplates_model_2_multimer_v3_pred_11.pdb,0.366
afm_dropout_full_model_2_multimer_v3_pred_13.pdb,0.364
afm_dropout_full_model_5_multimer_v3_pred_3.pdb,0.364
afm_dropout_full_model_5_multimer_v3_pred_4.pdb,0.364
afm_basic_model_3_multimer_v2_pred_8.pdb,0.364
afm_basic_model_3_multimer_v2_pred_0.pdb,0.364
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_2.pdb,0.363
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_10.pdb,0.362
afm_woTemplates_model_3_multimer_v2_pred_8.pdb,0.362
afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_7.pdb,0.362
afm_basic_model_3_multimer_v2_pred_2.pdb,0.362
afm_woTemplates_model_3_multimer_v2_pred_5.pdb,0.362
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_10.pdb,0.362
afm_basic_model_3_multimer_v2_pred_4.pdb,0.362
cf_woTemplates_model_3_multimer_v2_pred_1.pdb,0.362
afm_basic_model_3_multimer_v2_pred_12.pdb,0.362
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_2.pdb,0.362
cf_woTemplates_model_3_multimer_v2_pred_11.pdb,0.362
cf_woTemplates_model_3_multimer_v2_pred_9.pdb,0.362
cf_woTemplates_model_3_multimer_v2_pred_8.pdb,0.362
afm_dropout_full_model_5_multimer_v3_pred_10.pdb,0.362
cf_woTemplates_model_3_multimer_v2_pred_0.pdb,0.362
afm_basic_model_3_multimer_v2_pred_15.pdb,0.362
afm_basic_model_3_multimer_v2_pred_3.pdb,0.362
afm_woTemplates_model_3_multimer_v2_pred_4.pdb,0.362
afm_basic_model_3_multimer_v2_pred_10.pdb,0.362
cf_woTemplates_model_3_multimer_v2_pred_2.pdb,0.362
afm_basic_model_3_multimer_v2_pred_6.pdb,0.362
afm_woTemplates_model_4_multimer_v2_pred_3.pdb,0.362
afm_woTemplates_model_4_multimer_v2_pred_6.pdb,0.362
afm_woTemplates_model_3_multimer_v2_pred_13.pdb,0.362
cf_woTemplates_model_3_multimer_v2_pred_5.pdb,0.362
cf_woTemplates_model_3_multimer_v2_pred_6.pdb,0.362
afm_woTemplates_model_4_multimer_v2_pred_12.pdb,0.362
afm_woTemplates_model_3_multimer_v2_pred_10.pdb,0.362
afm_woTemplates_model_4_multimer_v2_pred_9.pdb,0.362
afm_woTemplates_model_4_multimer_v2_pred_13.pdb,0.362
afm_basic_model_3_multimer_v2_pred_16.pdb,0.362
afm_basic_model_3_multimer_v2_pred_9.pdb,0.362
afm_woTemplates_model_3_multimer_v2_pred_16.pdb,0.362
cf_woTemplates_model_3_multimer_v2_pred_13.pdb,0.362
cf_woTemplates_model_3_multimer_v2_pred_4.pdb,0.362
afm_woTemplates_model_4_multimer_v2_pred_4.pdb,0.362
afm_woTemplates_model_3_multimer_v2_pred_12.pdb,0.362
cf_woTemplates_model_3_multimer_v2_pred_16.pdb,0.362
cf_woTemplates_model_3_multimer_v2_pred_14.pdb,0.362
afm_woTemplates_model_3_multimer_v2_pred_6.pdb,0.362
afm_woTemplates_model_4_multimer_v2_pred_15.pdb,0.362
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_2.pdb,0.362
cf_woTemplates_model_3_multimer_v2_pred_12.pdb,0.362
afm_woTemplates_model_4_multimer_v2_pred_16.pdb,0.362
afm_woTemplates_model_3_multimer_v2_pred_15.pdb,0.362
afm_woTemplates_model_4_multimer_v2_pred_11.pdb,0.362
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_5.pdb,0.362
afm_woTemplates_model_3_multimer_v2_pred_11.pdb,0.362
afm_woTemplates_model_4_multimer_v2_pred_14.pdb,0.362
afm_woTemplates_model_3_multimer_v2_pred_9.pdb,0.362
afm_woTemplates_model_3_multimer_v2_pred_7.pdb,0.362
cf_woTemplates_model_3_multimer_v2_pred_7.pdb,0.362
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_2.pdb,0.362
afm_woTemplates_model_3_multimer_v2_pred_1.pdb,0.362
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_7.pdb,0.362
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_3.pdb,0.362
afm_basic_model_3_multimer_v2_pred_1.pdb,0.362
afm_basic_model_3_multimer_v2_pred_13.pdb,0.362
afm_basic_model_3_multimer_v2_pred_14.pdb,0.362
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_15.pdb,0.362
afm_woTemplates_model_4_multimer_v2_pred_5.pdb,0.362
afm_woTemplates_model_3_multimer_v2_pred_0.pdb,0.362
