model_name,lddt
afm_woTemplates_model_5_multimer_v3_pred_41.pdb,0.876
afm_dropout_full_model_3_multimer_v3_pred_60.pdb,0.876
afm_dropout_full_model_5_multimer_v3_pred_21.pdb,0.876
afm_dropout_full_woTemplates_r3_model_2_multimer_v3_pred_49.pdb,0.876
afm_dropout_noSM_woTemplates_model_1_multimer_v3_pred_5.pdb,0.876
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_61.pdb,0.876
cf_dropout_full_woTemplates_model_4_multimer_v3_pred_0.pdb,0.876
cf_woTemplates_model_3_multimer_v3_pred_62.pdb,0.876
cf_woTemplates_model_3_multimer_v3_pred_53.pdb,0.876
cf_woTemplates_model_1_multimer_v2_pred_35.pdb,0.876
cf_woTemplates_model_2_multimer_v2_pred_37.pdb,0.876
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_6.pdb,0.876
afm_basic_model_3_multimer_v3_pred_61.pdb,0.876
afm_dropout_full_model_2_multimer_v3_pred_53.pdb,0.876
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_65.pdb,0.876
afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_16.pdb,0.876
cf_woTemplates_model_1_multimer_v3_pred_5.pdb,0.876
afm_dropout_full_model_2_multimer_v3_pred_28.pdb,0.876
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_20.pdb,0.876
cf_woTemplates_model_3_multimer_v3_pred_46.pdb,0.876
afm_woTemplates_model_3_multimer_v3_pred_52.pdb,0.876
afm_dropout_full_woTemplates_r3_model_3_multimer_v3_pred_43.pdb,0.876
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_65.pdb,0.876
