model_name,qs_best
afm_dropout_noSM_woTemplates_model_2_multimer_v2_pred_52.pdb,0.89
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_60.pdb,0.89
afm_dropout_full_model_4_multimer_v2_pred_26.pdb,0.889
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_66.pdb,0.889
afm_dropout_full_model_4_multimer_v2_pred_58.pdb,0.889
afm_woTemplates_model_5_multimer_v2_pred_30.pdb,0.889
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_42.pdb,0.889
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_3.pdb,0.889
afm_basic_model_5_multimer_v3_pred_7.pdb,0.889
afm_dropout_full_model_5_multimer_v2_pred_21.pdb,0.889
afm_dropout_full_model_4_multimer_v2_pred_29.pdb,0.889
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_10.pdb,0.889
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_66.pdb,0.889
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_49.pdb,0.889
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_42.pdb,0.889
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_16.pdb,0.889
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_2.pdb,0.889
afm_basic_model_3_multimer_v3_pred_10.pdb,0.888
afm_woTemplates_model_3_multimer_v3_pred_36.pdb,0.888
afm_basic_model_5_multimer_v3_pred_12.pdb,0.888
afm_basic_model_4_multimer_v2_pred_53.pdb,0.888
afm_dropout_full_model_5_multimer_v2_pred_15.pdb,0.888
afm_dropout_full_model_5_multimer_v2_pred_5.pdb,0.888
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_49.pdb,0.888
afm_basic_model_5_multimer_v2_pred_12.pdb,0.888
afm_basic_model_4_multimer_v2_pred_12.pdb,0.888
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_12.pdb,0.888
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_24.pdb,0.888
afm_dropout_full_model_5_multimer_v2_pred_35.pdb,0.888
afm_basic_model_4_multimer_v2_pred_36.pdb,0.888
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_22.pdb,0.888
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_35.pdb,0.888
afm_dropout_noSM_woTemplates_model_2_multimer_v2_pred_31.pdb,0.888
afm_basic_model_5_multimer_v3_pred_40.pdb,0.888
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_38.pdb,0.888
afm_basic_model_5_multimer_v3_pred_29.pdb,0.888
afm_woTemplates_model_2_multimer_v2_pred_45.pdb,0.888
afm_woTemplates_model_5_multimer_v3_pred_8.pdb,0.887
afm_dropout_full_model_5_multimer_v3_pred_35.pdb,0.887
afm_basic_model_4_multimer_v2_pred_0.pdb,0.887
afm_basic_model_5_multimer_v3_pred_63.pdb,0.887
afm_dropout_full_model_5_multimer_v2_pred_19.pdb,0.887
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_50.pdb,0.887
afm_basic_model_4_multimer_v3_pred_5.pdb,0.887
cf_woTemplates_model_3_multimer_v2_pred_6.pdb,0.887
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_51.pdb,0.887
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_1.pdb,0.887
afm_dropout_full_woTemplates_model_2_multimer_v2_pred_24.pdb,0.887
afm_dropout_full_model_4_multimer_v2_pred_11.pdb,0.887
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_53.pdb,0.887
afm_dropout_full_model_5_multimer_v3_pred_18.pdb,0.887
afm_basic_model_5_multimer_v3_pred_34.pdb,0.887
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_29.pdb,0.887
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_25.pdb,0.887
afm_dropout_full_model_5_multimer_v3_pred_5.pdb,0.887
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_58.pdb,0.887
afm_woTemplates_model_5_multimer_v3_pred_30.pdb,0.887
afm_woTemplates_model_5_multimer_v3_pred_42.pdb,0.887
afm_dropout_full_model_4_multimer_v2_pred_39.pdb,0.886
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_48.pdb,0.886
afm_dropout_full_model_5_multimer_v2_pred_31.pdb,0.886
cf_dropout_full_woTemplates_model_2_multimer_v3_pred_21.pdb,0.886
afm_dropout_full_model_5_multimer_v3_pred_65.pdb,0.886
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_12.pdb,0.886
afm_dropout_full_model_3_multimer_v3_pred_20.pdb,0.886
afm_dropout_full_model_4_multimer_v2_pred_28.pdb,0.886
afm_woTemplates_model_5_multimer_v3_pred_48.pdb,0.886
afm_basic_model_4_multimer_v2_pred_24.pdb,0.886
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_18.pdb,0.886
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_54.pdb,0.886
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_28.pdb,0.886
