group,oligo_gdtha,tm_score,oligo_gdtts,T1226_rmsd,T1226_lddt
QA312_2,0.3980800000000001,0.6165790000000001,0.6354839999999999,785.9254470000001,0.345445
QA212_2,0.4309090000000001,0.7138540000000002,0.702245,1154.438901,0.4067860000000001
QA446_2,0.3364990000000001,0.5256060000000001,0.555941,647.330319,0.25298600000000004
QA029_2,0.48581600000000014,0.7271740000000002,0.831068,775.1008899999999,0.43229700000000004
QA148_2,0.04173100000000004,0.032401000000000055,0.041500999999999996,5.465895999999999,0.01956300000000001
QA051_2,0.5158520000000002,0.8112540000000001,0.8803479999999999,791.1991499999999,0.38761200000000007
QA393_2,0.3027320000000001,0.4554040000000002,0.491137,491.42087900000007,0.235304
QA264_2,0.373294,0.6055420000000001,0.606397,802.3822610000001,0.33933800000000003
QA345_2,0.5132920000000002,0.8120470000000002,0.8786639999999999,793.00197,0.378792
QA164_2,0.5043940000000002,0.7731540000000002,0.860332,811.5357250000001,0.427259
QA050_2,0.5139410000000002,0.8016960000000003,0.878672,800.402183,0.3904290000000001
QA314_2,0.5210360000000003,0.8136650000000001,0.8836839999999999,793.430181,0.3949790000000001
QA110_2,0.5235960000000002,0.8120530000000002,0.8820079999999999,785.971438,0.3886840000000001
QAplddts_2,0.5127090000000002,0.8144700000000002,0.8786639999999999,793.5053600000001,0.3883310000000001
QA425_2,0.5145760000000001,0.7992630000000003,0.8837079999999999,779.859822,0.38156700000000005
QA331_2,0.5088330000000002,0.8104450000000001,0.873628,794.6517130000001,0.38667000000000007
QA471_2,0.3364990000000001,0.5256060000000001,0.555941,647.330319,0.25298600000000004
QAptm_2,0.5184520000000002,0.8144680000000002,0.880332,793.3787889999999,0.38765200000000005
QA188_2,0.01904600000000002,0.011949000000000022,0.019119000000000008,1.4924280000000003,0.01668700000000001
QA319_2,0.5210280000000003,0.819382,0.8803719999999999,792.651558,0.38052900000000006
QA272_2,0.5165250000000002,0.8049040000000003,0.876988,797.70585,0.3977440000000001
QA217_2,0.48581600000000014,0.7271740000000002,0.831068,775.1008899999999,0.43229700000000004
QA476_2,0.04219900000000004,0.04621900000000005,0.04879099999999999,29.907830999999998,0.052313
