group,dockq_ave,T1298_ips,oligo_gdtha,T1298_lddt,T1298_rmsd,qs_best,T1298_ics,qs_global,oligo_gdtts,tm_score,T1298_ilddt,dockq_wave
QA051_2,0.5684690000000001,0.02642900000000005,0.09929200000000006,0.0033709999999999873,306.926874,0.0008149999999999874,0.017512000000000014,0.0008149999999999874,0.22907999999999995,0.4542189999999998,0.013349999999999968,0.5684690000000001
QA393_2,0.555212,0.010646000000000018,0.09776200000000007,0.0017390000000000031,329.360615,0.00015000000000000023,0.006216000000000011,0.00015000000000000023,0.25549799999999995,0.4768499999999998,0.00252199999999998,0.555212
QA264_2,0.125567,0.01748500000000001,0.024881999999999998,0.0008540000000000015,68.41217300000001,0.0002519999999999978,0.009026000000000017,0.0002519999999999978,0.055107,0.09492499999999995,0.003225999999999981,0.125567
QA345_2,0.6049070000000001,0.025414000000000048,0.09599600000000007,0.004094999999999975,318.376581,0.001200999999999985,0.02484300000000001,0.001200999999999985,0.22349299999999994,0.4488059999999998,0.018698999999999966,0.6049070000000001
QAmean_plddt_2,0.570941,0.005396000000000009,0.10516600000000005,0.0015600000000000028,373.68878199999995,0.00013700000000000024,0.008211000000000015,0.00013700000000000024,0.28179899999999997,0.48684999999999984,0.002553999999999983,0.570941
QA164_2,1.5860700000000003,1.7357999999999998,0.5482390000000001,0.1352659999999999,3362.8392390000004,1.8410699999999998,1.24435,1.8593189999999997,0.9549789999999999,1.3430449999999996,0.7931709999999998,1.5860700000000003
QA312_2,0.5560350000000001,0.012765000000000023,0.09771700000000005,0.0018540000000000032,329.52248799999995,0.00012200000000000021,0.008101000000000014,0.00012200000000000021,0.25095799999999996,0.4761989999999998,0.002354999999999981,0.5560350000000001
QA273_2,0.5907680000000001,0.01829800000000003,0.10321200000000008,0.003717999999999985,328.676227,0.0006879999999999917,0.014553000000000026,0.0006879999999999917,0.24373099999999995,0.4663629999999998,0.013850999999999973,0.5907680000000001
QA212_2,0.557895,0.012876000000000023,0.09089300000000006,0.0013660000000000022,317.273727,0.00019500000000000035,0.01216600000000002,0.00019500000000000035,0.27258899999999997,0.48488299999999984,0.0022429999999999807,0.557895
QA446_2,0.5801470000000001,0.008411000000000016,0.10571400000000006,0.001827000000000003,391.761585,0.00015700000000000027,0.008693000000000015,0.00015700000000000027,0.28216199999999997,0.4800829999999998,0.003014999999999983,0.5801470000000001
QA029_2,0.596935,0.01633400000000003,0.11322000000000003,0.0037389999999999863,326.104184,0.0007939999999999899,0.017334000000000013,0.0007939999999999899,0.257876,0.4707679999999998,0.01483899999999997,0.596935
QA080_2,1.392095,1.2542680000000002,0.43627800000000017,0.527818,1821.5282950000005,2.2789629999999996,1.731647,2.286367,0.8105829999999999,1.064879,1.2632909999999997,1.392095
QA148_2,0.5540580000000002,0.008902000000000016,0.08878600000000006,0.001876000000000003,343.124523,0.0001080000000000002,0.01076200000000002,0.0001080000000000002,0.275215,0.48424799999999985,0.0031749999999999778,0.5540580000000002
QA319_2,0.5821620000000001,0.022490000000000038,0.10616400000000008,0.005445999999999979,315.176651,0.0007519999999999881,0.01887900000000003,0.0007519999999999881,0.23897299999999994,0.46513099999999985,0.015233999999999966,0.5821620000000001
QA443_2,0.5802940000000001,0.02267800000000004,0.09409400000000005,0.0035449999999999865,297.001747,0.0008899999999999888,0.018706000000000035,0.0008899999999999888,0.23071799999999992,0.45905899999999983,0.015000999999999967,0.5802940000000001
QA217_2,0.596935,0.01633400000000003,0.11322000000000003,0.0037389999999999863,326.104184,0.0007939999999999899,0.017334000000000013,0.0007939999999999899,0.257876,0.4707679999999998,0.01483899999999997,0.596935
QA207_2,0.582841,0.0024060000000000045,0.11128300000000003,0.0018910000000000034,420.606846,0.00011600000000000022,0.003263000000000006,0.00011600000000000022,0.294397,0.4873749999999998,0.00232299999999998,0.582841
QAiptm_2,0.582833,0.002556000000000005,0.11112300000000004,0.0018970000000000033,420.60652400000004,0.00011600000000000022,0.003263000000000006,0.00011600000000000022,0.294365,0.4873749999999998,0.00232299999999998,0.582833
QA476_2,1.5905479999999996,1.7488430000000001,0.5281870000000002,0.13383999999999988,3363.150517,1.8325749999999996,1.202506,1.8507819999999995,0.9383739999999999,1.3025759999999997,0.7730759999999999,1.5905479999999996
QA122_2,0.5864220000000001,0.020026000000000037,0.10179500000000007,0.0061899999999999785,309.43797300000006,0.00050499999999999,0.014755000000000025,0.00050499999999999,0.23897799999999994,0.4628609999999998,0.015992999999999966,0.5864220000000001
QA314_2,0.563903,0.007374000000000012,0.09903500000000007,0.0017700000000000031,326.645914,0.0001750000000000003,0.006932000000000012,0.0001750000000000003,0.26269,0.4799049999999998,0.002802999999999979,0.563903
QA110_2,0.5666410000000001,0.0070930000000000125,0.10273800000000008,0.002298000000000004,415.7723920000001,0.00010700000000000019,0.001632000000000003,0.00010700000000000019,0.268723,0.4614929999999998,0.002083999999999982,0.5666410000000001
QAiptm+ptm_2,0.582833,0.002556000000000005,0.11112300000000004,0.0018970000000000033,420.60652400000004,0.00011600000000000022,0.003263000000000006,0.00011600000000000022,0.294365,0.4873749999999998,0.00232299999999998,0.582833
QA425_2,0.5987840000000001,0.02649900000000005,0.10241100000000009,0.004551999999999981,310.480731,0.001251999999999985,0.026094000000000013,0.001251999999999985,0.23116499999999993,0.4518369999999998,0.020017999999999966,0.5987840000000001
QA331_2,0.5884030000000001,0.0040430000000000075,0.11255500000000007,0.0017300000000000032,399.75874300000004,0.00012600000000000022,0.007955000000000014,0.00012600000000000022,0.297321,0.4942759999999998,0.0022519999999999836,0.5884030000000001
QA471_2,0.5852980000000001,0.011543000000000022,0.10447300000000004,0.006744999999999982,336.73940100000004,0.00033099999999999395,0.010681000000000019,0.00033099999999999395,0.25822999999999996,0.4768239999999998,0.014509999999999973,0.5852980000000001
QAptm_2,0.582833,0.002556000000000005,0.11112300000000004,0.0018970000000000033,420.60652400000004,0.00011600000000000022,0.003263000000000006,0.00011600000000000022,0.294365,0.4873749999999998,0.00232299999999998,0.582833
QA188_2,1.59734,1.760663,0.5393160000000001,0.1329389999999999,3322.3601020000006,1.8374269999999997,1.223371,1.8556579999999996,0.9593299999999999,1.30259,0.7977149999999998,1.59734
