group,qs_global,H1220_ics,dockq_ave,H1220_ips,qs_best,tm_score,dockq_wave,H1220_lddt,oligo_gdtha,H1220_rmsd,H1220_ilddt,oligo_gdtts
QA212_2,0.41705,0.47717100000000007,0.5948469999999999,0.329842,0.45015400000000005,0.03401399999999997,0.7819710000000001,0.008913999999999993,0.005907000000000004,1766.2424190000002,0.44440300000000005,0.009630000000000019
QA273_2,0.13749800000000004,0.296454,0.6008889999999999,0.046397,0.6643729999999999,0.006811999999999973,0.698461,0.0028940000000000046,0.012516000000000006,19.222431999999998,0.6420039999999999,0.016179000000000027
QA312_2,0.08836200000000001,0.19831500000000002,0.6689139999999999,0.024940000000000007,0.44253999999999993,0.007023999999999972,0.7870150000000001,0.0009930000000000017,0.01323100000000001,16.493050999999998,0.36139,0.01675900000000003
QA148_2,0.08208200000000002,0.19609900000000002,0.6790019999999999,0.024180000000000007,0.44176399999999993,0.006516999999999972,0.7668950000000001,0.0015780000000000028,0.014267000000000002,16.263984,0.4118320000000001,0.017492000000000032
QA080_2,1.054338,1.241163,1.3529589999999998,0.49243300000000007,2.9864230000000003,0.06754699999999998,1.6488260000000001,0.11352899999999999,0.041953000000000025,848.9491049999999,2.0699330000000002,0.05826299999999998
QA029_2,0.13675800000000002,0.178714,0.40056299999999995,0.118105,0.24555600000000005,0.017392999999999974,0.529682,0.0025110000000000045,0.009234000000000004,1570.7523829999998,0.24558300000000008,0.012104000000000023
QA393_2,0.07997800000000001,0.18848300000000004,0.6640359999999998,0.02255,0.425151,0.006523999999999971,0.757251,0.0013830000000000023,0.014238,16.905526,0.390726,0.017630000000000028
QA051_2,0.2660780000000001,0.3209630000000001,0.5358179999999999,0.18387900000000001,0.38755800000000007,0.03737199999999997,0.7251340000000002,0.0026820000000000047,0.022882000000000003,3390.525697,0.38985900000000007,0.035902000000000024
QA164_2,0.0001449999999999998,0.00021100000000000039,0.0012370000000000022,0.0003910000000000007,1.100000000000002e-05,0.0002839999999999978,0.00015700000000000027,0.0002310000000000004,0.007648000000000013,0.5600719999999995,0.0008080000000000014,0.002910000000000005
QA345_2,0.40352000000000005,0.45014600000000005,0.5753819999999998,0.304529,0.44587100000000013,0.03270999999999997,0.760043,0.005365,0.0022370000000000037,1886.613387,0.42917600000000006,0.004710000000000008
QAiptm+ptm_2,0.0014429999999999985,0.0017240000000000029,0.00019400000000000035,0.006069000000000002,2.7000000000000046e-05,0.000820999999999993,0.0008410000000000016,0.0002700000000000005,0.009050000000000011,1.5560469999999986,0.00024800000000000044,0.005119000000000008
QA264_2,0.085403,0.20106400000000002,0.6377869999999999,0.029010000000000008,0.409898,0.00776599999999997,0.755742,0.0013130000000000023,0.014298000000000002,16.500655,0.350667,0.01818200000000003
QA331_2,0.2660780000000001,0.3209630000000001,0.5358179999999999,0.18387900000000001,0.38755800000000007,0.03737199999999997,0.7251340000000002,0.0026820000000000047,0.022882000000000003,3390.525697,0.38985900000000007,0.035902000000000024
QA425_2,0.454871,0.543199,0.5788709999999999,0.362992,0.482457,0.03222699999999997,0.7699790000000001,0.011498999999999995,0.003092,1842.961485,0.46071900000000005,0.0051020000000000084
QA110_2,0.0031780000000000016,0.005775000000000003,0.0015179999999999916,0.010221000000000003,0.00016200000000000028,0.0007499999999999931,0.0012700000000000022,0.0005660000000000011,0.0057780000000000106,1.409426999999999,0.0032050000000000065,0.0033200000000000057
QA314_2,0.16925900000000002,0.254766,0.7323479999999998,0.15538600000000002,0.5086050000000001,0.03754999999999998,0.915775,0.0018760000000000035,0.019346000000000002,2021.5271770000002,0.4812580000000001,0.02900400000000005
QA050_2,0.14260900000000004,0.17573499999999997,0.4507179999999999,0.11005000000000001,0.36257000000000006,0.05402199999999997,0.6403640000000002,0.0007440000000000014,0.023875000000000004,5858.478024,0.33249,0.03400900000000006
QAmean_plddt_2,0.291986,0.35694700000000007,0.5234739999999999,0.20013200000000003,0.3909220000000001,0.041263999999999974,0.71311,0.004244000000000007,0.026123000000000007,3513.4577069999996,0.38855000000000006,0.04047600000000001
QA188_2,0.316596,0.36682000000000003,0.5404749999999999,0.256126,0.4020020000000001,0.03466599999999997,0.7250170000000001,0.0014830000000000025,0.008067000000000008,2037.2912660000002,0.4514020000000001,0.012867000000000024
QAptm_2,0.141825,0.245896,0.2969989999999999,0.044656,0.447978,0.00510699999999998,0.390447,0.0032450000000000057,0.010242000000000008,13.026709999999998,0.618254,0.010062000000000019
QA471_2,1.068149,1.2490890000000001,1.3243669999999998,0.4944940000000001,3.288973,0.072375,1.741387,0.07881400000000001,0.040058000000000024,901.090886,2.071234,0.05570999999999998
QA217_2,0.13675800000000002,0.178714,0.40056299999999995,0.118105,0.24555600000000005,0.017392999999999974,0.529682,0.0025110000000000045,0.009234000000000004,1570.7523829999998,0.24558300000000008,0.012104000000000023
QA443_2,0.24905100000000002,0.28947,0.63419,0.19412800000000002,0.42758200000000013,0.03355199999999997,0.818504,0.0025770000000000046,0.009280000000000004,2768.98302,0.4286750000000001,0.015045000000000027
QA319_2,0.34985600000000006,0.3881320000000001,0.5682219999999999,0.271272,0.4392940000000001,0.030910999999999966,0.756024,0.0025500000000000045,0.0029990000000000056,1990.333111,0.454006,0.005328000000000009
QA122_2,0.39902000000000004,0.45593500000000003,0.599734,0.30362500000000003,0.442475,0.03369799999999997,0.7848900000000001,0.007133999999999991,0.005219000000000008,2059.94587,0.45045,0.008492000000000015
QA476_2,0.36964300000000005,0.410772,0.5707689999999999,0.27489399999999997,0.4482430000000001,0.03154499999999997,0.7567790000000001,0.0036020000000000062,0.0030080000000000055,1872.5906750000004,0.42056800000000005,0.0050180000000000086
QAiptm_2,0.0014429999999999985,0.0017240000000000029,0.00019400000000000035,0.006069000000000002,2.7000000000000046e-05,0.000820999999999993,0.0008410000000000016,0.0002700000000000005,0.009050000000000011,1.5560469999999986,0.00024800000000000044,0.005119000000000008
QA207_2,0.001399000000000001,0.0015420000000000028,0.0030740000000000055,0.005875000000000003,3.300000000000006e-05,0.000768999999999993,0.0008130000000000014,0.0002800000000000005,0.009038000000000011,1.476174999999999,0.0003320000000000006,0.004931000000000008
