group,T1274_rmsd,T1274_lddt,tm_score,oligo_gdtha,oligo_gdtts
QA272_2,2.167939,0.0001750000000000003,0.018113999999999963,0.021944999999999975,0.015819999999999966
QA443_2,2.2279500000000003,0.00031900000000000054,0.017989999999999968,0.02868499999999999,0.01936499999999997
QA319_2,2.044847,0.0002490000000000004,0.017089999999999966,0.017592000000000003,0.013559999999999966
QA217_2,1.989607,0.0002420000000000004,0.016323999999999964,0.018141,0.013148999999999966
QAplddts_2,2.167939,0.0001750000000000003,0.018113999999999963,0.021944999999999975,0.015819999999999966
QA207_2,1.7043850000000003,0.0003110000000000005,0.013350999999999967,0.039652999999999966,0.022087999999999965
QA122_2,1.4577520000000004,0.00012000000000000023,0.011198999999999976,0.016939,0.011454999999999969
QA476_2,3.137523,0.003951000000000007,0.026766999999999968,0.071518,0.03568399999999997
QA050_2,2.9818130000000003,0.0007070000000000012,0.026763999999999975,0.04553499999999999,0.02634499999999997
QA331_2,1.7063650000000004,0.0003440000000000006,0.013506999999999969,0.03964499999999997,0.02205599999999996
QA425_2,2.1600719999999995,0.00019500000000000035,0.018178999999999966,0.018787999999999992,0.014415999999999967
QA110_2,1.207694,0.00020700000000000034,0.008561999999999969,0.011901000000000021,0.00829899999999997
QA314_2,1.722161,0.0002530000000000004,0.013648999999999968,0.015548000000000027,0.011263999999999967
QA471_2,4.4965139999999995,0.0020720000000000035,0.039189999999999975,0.04569199999999999,0.030715999999999972
QA188_2,4.093617999999999,0.001086000000000002,0.03747899999999997,0.06616599999999999,0.03706099999999997
QAptm_2,1.8398430000000001,0.0002490000000000004,0.014590999999999967,0.03798099999999997,0.021663999999999965
QA051_2,2.216893,0.00022300000000000038,0.018633999999999963,0.018231999999999988,0.013939999999999966
QA393_2,2.214921,0.0007750000000000014,0.018374999999999968,0.029097999999999985,0.019577999999999967
QA264_2,2.8353870000000003,0.0009630000000000016,0.023043999999999964,0.032146999999999995,0.021313999999999965
QA164_2,1.9296680000000004,0.000609000000000001,0.014965999999999965,0.026201999999999993,0.016701999999999967
QA345_2,2.136135,0.00019700000000000034,0.017845999999999966,0.017836000000000005,0.014007999999999967
QA212_2,2.6176349999999995,0.0015310000000000026,0.022433999999999968,0.03255599999999999,0.02251099999999997
QA273_2,1.7831419999999998,0.0013960000000000025,0.014446999999999975,0.022530000000000012,0.014110999999999978
QA312_2,1.7316060000000002,9.700000000000018e-05,0.013746999999999968,0.014389000000000027,0.010780999999999968
QA446_2,4.4965139999999995,0.0020720000000000035,0.039189999999999975,0.04569199999999999,0.030715999999999972
QA148_2,3.21107,0.004808000000000009,0.027119999999999967,0.05346299999999998,0.03019599999999997
QA029_2,1.989607,0.0002420000000000004,0.016323999999999964,0.018141,0.013148999999999966
