group,oligo_gdtts,oligo_gdtha,tm_score,T1279_lddt,T1279_rmsd
QA393_2,0.016323999999999988,0.013387999999999995,0.006017000000000012,0.005178000000000009,59.01175499999999
QA051_2,0.019321999999999968,0.015017999999999998,0.015066999999999968,0.004399000000000008,54.665162999999986
QA345_2,0.019299999999999963,0.015896999999999998,0.013460999999999968,0.0038130000000000065,41.42848099999999
QA164_2,0.017550999999999976,0.016939999999999997,0.0038140000000000066,0.00526600000000001,29.044342
QAplddts_2,0.020024999999999966,0.015679,0.014615999999999968,0.004231000000000007,48.052718999999996
QA264_2,0.01944499999999997,0.013962999999999996,0.03809599999999997,0.005109000000000009,169.28868599999998
QA446_2,0.020542999999999968,0.014781999999999997,0.039237999999999974,0.004956000000000009,179.45125900000002
QA312_2,0.018074999999999977,0.014856999999999997,0.00591900000000001,0.005021000000000009,57.21404199999999
QA273_2,0.020490999999999968,0.016679,0.014041999999999968,0.004442000000000008,45.503575000000005
QA212_2,0.01885499999999998,0.01677,0.009957999999999995,0.00565700000000001,42.75893799999998
QA029_2,0.020719999999999964,0.017348,0.014528999999999966,0.004855000000000009,50.31286
QA148_2,0.019894999999999965,0.015220999999999997,0.01865799999999998,0.003620000000000006,124.633714
QA217_2,0.020719999999999964,0.017348,0.014528999999999966,0.004855000000000009,50.31286
QA319_2,0.018698999999999966,0.014939999999999997,0.013460999999999966,0.004286000000000008,41.587475999999995
QA443_2,0.019021999999999963,0.016457999999999993,0.010141999999999974,0.004204000000000007,34.715884
QA476_2,0.014389999999999988,0.012034999999999999,0.005847999999999999,0.0038130000000000065,48.937073000000005
QA122_2,0.018277999999999964,0.014768999999999997,0.012438999999999967,0.004184000000000007,43.868631
QA207_2,0.020036999999999965,0.016370999999999997,0.015430999999999967,0.0042260000000000075,55.509299999999996
QA110_2,0.019545999999999963,0.015065999999999996,0.028742999999999966,0.006664000000000012,113.10548599999997
QA314_2,0.01783899999999998,0.013144999999999995,0.011868999999999977,0.0044480000000000075,68.58640799999998
QA331_2,0.019764999999999963,0.016361,0.015105999999999967,0.004408000000000007,55.81039299999999
QA425_2,0.018699999999999963,0.015560999999999998,0.012708999999999967,0.003909000000000007,40.79770799999999
QA050_2,0.006181000000000011,0.005151000000000009,0.0034390000000000063,0.0004040000000000007,94.843474
QAptm_2,0.016788999999999988,0.013557999999999997,0.004602000000000008,0.004575000000000008,75.185743
QA188_2,0.014610999999999987,0.011908999999999996,0.02194199999999999,0.004859000000000008,119.44210299999999
QA471_2,0.018594999999999976,0.014001999999999995,0.02126499999999997,0.00522000000000001,93.76674999999997
