group,tm_score,dockq_wave,dockq_ave,H1230_ips,H1230_ilddt,qs_global,H1230_ics,H1230_lddt,oligo_gdtts,H1230_rmsd,qs_best,oligo_gdtha
QA080_2,0.12327400000000001,1.8381779999999996,1.8381779999999996,1.5043739999999999,2.217859,3.1688039999999997,2.8398260000000004,0.109119,0.1458280000000001,254.68257400000005,3.0236530000000004,0.08969500000000001
QA148_2,0.006575000000000011,0.41850399999999993,0.41850399999999993,0.5859509999999999,0.588309,0.5512339999999999,0.8919330000000002,0.006270000000000011,0.03520600000000006,7.909306,0.5512339999999999,0.03527299999999997
QA029_2,0.011660999999999998,0.524497,0.524497,0.5868929999999998,0.6687159999999999,0.661466,0.9255290000000003,0.007854000000000003,0.04896199999999998,11.053354000000002,0.661466,0.055538999999999984
QA212_2,0.00557100000000001,0.32625099999999996,0.32625099999999996,0.5216519999999999,0.8245089999999997,0.44159499999999996,0.7412230000000003,0.013833999999999985,0.033862000000000045,6.289368,0.43379799999999996,0.03488499999999997
QA273_2,0.008413000000000016,0.40441299999999997,0.40441299999999997,0.5374909999999998,0.5289069999999998,0.6044579999999999,0.7405510000000002,0.004765000000000009,0.042496000000000034,8.49521,0.6044579999999999,0.04932499999999997
QA312_2,0.005183999999999986,0.24430499999999997,0.24430499999999997,0.2513189999999999,0.24630299999999994,0.313789,0.38942200000000016,0.002922000000000005,0.02035899999999999,4.6814919999999995,0.313789,0.021474999999999984
QA446_2,0.008917999999999992,0.4494299999999999,0.4494299999999999,0.47479899999999986,0.5285209999999999,0.595046,0.7831300000000001,0.0035930000000000063,0.035949000000000016,9.548426,0.5911179999999999,0.03756999999999997
QA264_2,0.008575000000000015,0.40069999999999995,0.40069999999999995,0.5175209999999998,0.5733619999999999,0.6135109999999999,0.7102910000000001,0.00571700000000001,0.04017800000000007,8.646464000000002,0.6135109999999999,0.04559899999999997
QAiptm+ptm_2,0.008413000000000016,0.40441299999999997,0.40441299999999997,0.5374909999999998,0.5289069999999998,0.6044579999999999,0.7405510000000002,0.004765000000000009,0.042496000000000034,8.49521,0.6044579999999999,0.04932499999999997
QA164_2,0.008834000000000015,0.40110699999999994,0.40110699999999994,0.5104479999999998,0.5370539999999998,0.615464,0.7222800000000003,0.005309,0.043323000000000014,8.664245,0.615464,0.050185999999999974
QA345_2,0.008326000000000014,0.38942599999999994,0.38942599999999994,0.4883859999999998,0.5414769999999998,0.61971,0.6871990000000002,0.005447000000000009,0.040546000000000054,8.241517000000002,0.61971,0.04619399999999998
QA051_2,0.010412999999999997,0.4584629999999999,0.4584629999999999,0.5496939999999998,0.5820699999999999,0.653029,0.7984800000000002,0.0043500000000000075,0.044781000000000015,9.904833000000002,0.653029,0.04925399999999998
QA393_2,0.0033950000000000057,0.21695799999999993,0.21695799999999993,0.3433859999999999,0.5831189999999998,0.32274900000000006,0.5540610000000001,0.011370999999999984,0.02360200000000002,3.948721,0.23889300000000002,0.027225999999999976
QA471_2,0.003100000000000005,0.15329499999999988,0.15329499999999988,0.2988069999999999,0.3039889999999999,0.09154400000000001,0.3220700000000001,0.004536000000000008,0.035803000000000064,3.9055269999999993,0.09154400000000001,0.04236999999999997
QA188_2,0.006751000000000011,0.38074299999999994,0.38074299999999994,0.5537349999999999,0.5473689999999998,0.5162100000000001,0.7767970000000002,0.008126999999999994,0.03754700000000004,6.599038000000002,0.49820100000000006,0.040832999999999973
QAptm_2,0.009629000000000007,0.45109399999999994,0.45109399999999994,0.5732309999999998,0.6245729999999998,0.615726,0.8222300000000001,0.005781000000000009,0.047717999999999997,9.924949000000002,0.615726,0.056148999999999984
QA050_2,0.010312999999999985,0.5082269999999999,0.5082269999999999,0.5678029999999998,0.5706099999999998,0.669481,0.8856360000000001,0.004774000000000009,0.04024700000000003,9.429517,0.669481,0.041826999999999975
QAmean_plddt_2,0.005203000000000009,0.35381799999999985,0.35381799999999985,0.48781699999999983,0.4685649999999999,0.5296249999999999,0.7299500000000002,0.0015180000000000029,0.026806000000000045,7.078212000000001,0.525681,0.02703499999999997
QA425_2,0.008490000000000015,0.3947339999999999,0.3947339999999999,0.49819099999999983,0.5395449999999998,0.6099559999999999,0.7344760000000002,0.004617000000000008,0.043648999999999986,8.317949,0.6099559999999999,0.05030299999999998
QA331_2,0.009045999999999993,0.4272839999999999,0.4272839999999999,0.4597809999999999,0.45100799999999996,0.560828,0.7610310000000001,0.003369000000000006,0.03775,8.274864,0.560828,0.041600999999999985
QA314_2,0.008658000000000016,0.40028099999999994,0.40028099999999994,0.5175009999999999,0.5767329999999999,0.6247109999999999,0.7118870000000002,0.005400000000000011,0.041101000000000054,8.54545,0.6247109999999999,0.04717499999999998
QA110_2,0.008336000000000015,0.3933709999999999,0.3933709999999999,0.48551799999999984,0.567242,0.602165,0.6809170000000002,0.006118000000000011,0.03928100000000007,8.465078000000002,0.602165,0.04405099999999998
QA207_2,0.006653000000000011,0.32075,0.32075,0.40774599999999983,0.4446809999999999,0.46802399999999994,0.5604310000000001,0.003884000000000007,0.03119100000000006,6.922633000000001,0.46802399999999994,0.03471099999999998
QA122_2,0.008413000000000016,0.40441299999999997,0.40441299999999997,0.5374909999999998,0.5289069999999998,0.6044579999999999,0.7405510000000002,0.004765000000000009,0.042496000000000034,8.49521,0.6044579999999999,0.04932499999999997
QA476_2,0.0069820000000000125,0.3987679999999999,0.3987679999999999,0.5648639999999998,0.6790629999999998,0.517718,0.8557750000000002,0.010226999999999983,0.03413200000000006,7.412636000000001,0.48142400000000013,0.03607799999999997
