group,oligo_gdtha,H1236_lddt,qs_global,H1236_rmsd,H1236_ics,dockq_ave,H1236_ilddt,oligo_gdtts,dockq_wave,H1236_ips,qs_best,tm_score
QA345_2,0.012121999999999996,0.0019790000000000038,0.055513000000000055,263.01132,0.07121400000000006,0.219036,0.024485000000000028,0.0065300000000000115,0.11445600000000003,0.072963,0.05589100000000005,0.013345999999999993
QA164_2,0.661853,2.981921,1.3688400000000003,4265.353255,1.4108900000000002,0.4169170000000001,1.442425,1.0063770000000003,0.37674300000000005,1.5336890000000003,1.380439,1.6994280000000002
QAiptm+ptm_2,0.008806999999999999,0.001647000000000003,0.05310300000000006,255.76755400000002,0.059919000000000056,0.18866900000000003,0.017335000000000024,0.0049120000000000075,0.09758000000000001,0.055596999999999994,0.053643000000000066,0.012726999999999995
QA264_2,0.028939000000000006,0.0030140000000000054,0.08493400000000008,262.228117,0.07192300000000006,0.214692,0.027776000000000023,0.01795800000000003,0.12180500000000005,0.06427599999999999,0.08633100000000007,0.014101999999999993
QA393_2,0.02779900000000001,0.0026950000000000047,0.08628600000000007,261.54840500000006,0.07607200000000007,0.21466400000000002,0.029490000000000027,0.01684500000000003,0.12470000000000005,0.061175999999999994,0.08707100000000008,0.013476999999999994
QA051_2,0.015067000000000002,0.003200000000000006,0.06430200000000005,250.281923,0.05722500000000004,0.20784800000000003,0.023752000000000027,0.01086400000000002,0.10474300000000003,0.039867999999999994,0.06379400000000006,0.012690999999999994
QA029_2,0.265884,0.04645900000000004,0.12528400000000006,1938.3440339999997,0.08065100000000004,0.197098,0.20117900000000005,0.3004940000000001,0.23693100000000006,0.26576299999999997,0.12601800000000007,0.439967
QA148_2,0.017285000000000002,0.002058000000000004,0.07877600000000008,264.668122,0.07932300000000009,0.215854,0.02513100000000002,0.01086100000000002,0.125006,0.07014699999999999,0.07878600000000008,0.014965999999999995
QAiptm_2,0.008806999999999999,0.001647000000000003,0.05310300000000006,255.76755400000002,0.059919000000000056,0.18866900000000003,0.017335000000000024,0.0049120000000000075,0.09758000000000001,0.055596999999999994,0.053643000000000066,0.012726999999999995
QA312_2,0.020955,0.002778000000000005,0.06815500000000006,262.988267,0.055329000000000045,0.190481,0.029250000000000012,0.012787000000000022,0.112785,0.05999099999999999,0.06742000000000006,0.013203999999999994
