group,tm_score,dockq_wave,qs_best,H1202_ips,dockq_ave,qs_global,H1202_ilddt,H1202_rmsd,H1202_lddt,H1202_ics,oligo_gdtha,oligo_gdtts
QAiptm_2,0.0014260000000000028,0.009782000000000018,0.0016869999999999828,0.08485700000000002,0.022486999999999965,0.0039019999999999767,0.008085999999999994,0.7243989999999999,0.0024820000000000046,0.031798999999999966,0.08939400000000002,0.025398999999999967
QA164_2,0.0009970000000000018,0.0031000000000000055,0.0011279999999999854,0.03138699999999997,0.01223999999999999,0.002770999999999979,0.0030270000000000054,0.487961,0.0009080000000000017,0.00593800000000001,0.06257399999999999,0.017507999999999968
QAmean_plddt_2,0.0005190000000000009,0.004381000000000007,0.0015069999999999843,0.051361999999999984,0.018089999999999978,0.004132999999999976,0.0015810000000000028,0.24505400000000016,0.001764000000000003,0.023794000000000003,0.020840999999999985,0.008535999999999976
QA212_2,0.823757,1.343731,1.2917949999999996,0.5696629999999999,1.2774220000000003,1.3955849999999996,1.284453,1167.4946130000003,0.534442,1.2983580000000001,0.8305739999999999,0.9001719999999999
QA337_2,0.001282000000000002,0.007984999999999999,0.004937999999999981,0.060618999999999985,0.02510099999999997,0.008620999999999974,0.007182,0.648975,0.0019460000000000035,0.022179000000000004,0.043696,0.016075999999999972
QA273_2,0.003980999999999995,0.02531300000000001,0.0072869999999999775,0.060182999999999987,0.046038999999999955,0.014368999999999972,0.05347499999999995,1.5704790000000002,0.03695399999999999,0.048872,0.10629299999999998,0.03937299999999995
QA312_2,0.0006430000000000012,0.004761000000000009,0.0011389999999999864,0.023734999999999964,0.014777999999999986,0.0016739999999999839,0.0030460000000000053,0.321179,0.0009170000000000017,0.008746000000000016,0.04945099999999998,0.013666999999999967
QAiptm+ptm_2,0.0012220000000000022,0.009865000000000018,0.0017509999999999826,0.091698,0.025753999999999964,0.0038999999999999764,0.007994999999999995,0.6110829999999999,0.0012940000000000024,0.031198999999999966,0.07843800000000001,0.022998999999999964
QA446_2,0.001011000000000002,0.007717000000000013,0.0024549999999999815,0.045374999999999985,0.021488999999999973,0.004791999999999977,0.004918000000000008,0.665684,0.0012300000000000021,0.014751000000000009,0.05023399999999998,0.015276999999999966
QA080_2,0.0006830000000000012,0.0063790000000000105,0.001269999999999985,0.07447699999999999,0.022136999999999962,0.005646999999999973,0.003200000000000006,0.31823200000000007,0.0019400000000000034,0.03404999999999997,0.03591799999999997,0.012906999999999967
QA148_2,0.001067000000000002,0.007890000000000013,0.0035469999999999773,0.03902199999999997,0.024923999999999967,0.006241999999999972,0.007749999999999998,0.574083,0.0030140000000000054,0.015454000000000027,0.04673999999999998,0.016516999999999966
QA029_2,1.3368309999999999,2.478234,2.6252369999999994,0.887224,2.017951,2.8805859999999996,2.493099,723.333658,0.9286890000000001,2.440387,1.893108,1.823896
QA272_2,0.000559000000000001,0.004177000000000007,0.0016219999999999833,0.05128399999999998,0.017402999999999984,0.004362999999999976,0.001709000000000003,0.26087100000000013,0.002163000000000004,0.024298,0.021412999999999988,0.00898699999999997
QA443_2,0.0005180000000000009,0.006307000000000011,0.0012119999999999854,0.035416999999999976,0.020141999999999965,0.0011869999999999862,0.004288999999999998,0.27408,0.0014080000000000026,0.010234000000000019,0.030642999999999983,0.00905599999999997
QA319_2,0.00040700000000000073,0.005509000000000009,0.0016299999999999835,0.069446,0.019648999999999965,0.007034999999999971,0.017355999999999986,0.20021600000000003,0.017080000000000033,0.028630999999999976,0.018522999999999987,0.007649999999999971
QA217_2,1.3368309999999999,2.478234,2.6252369999999994,0.887224,2.017951,2.8805859999999996,2.493099,723.333658,0.9286890000000001,2.440387,1.893108,1.823896
QA122_2,0.00011800000000000021,0.0018770000000000032,0.0009819999999999868,0.04313499999999998,0.010912000000000008,0.005481999999999974,0.0004950000000000009,0.04594899999999996,0.0018430000000000035,0.02052200000000001,0.004870000000000008,0.0025389999999999927
QA476_2,0.0018510000000000033,0.01129100000000002,0.006573999999999972,0.05425899999999998,0.03171699999999997,0.013725999999999967,0.04475799999999999,0.9186060000000001,0.05013100000000001,0.021501999999999993,0.054921999999999985,0.022706999999999967
QA114_2,0.00026000000000000047,0.006959000000000012,0.0022729999999999808,0.04456399999999998,0.021415999999999963,0.005719999999999973,0.005023000000000008,0.17200199999999993,0.0020050000000000033,0.018376000000000017,0.019613999999999965,0.005202999999999973
QA425_2,0.0012610000000000021,0.011450000000000021,0.0017819999999999828,0.103431,0.029298999999999967,0.004678999999999975,0.0074660000000000126,0.6409450000000001,0.001155000000000002,0.03160599999999997,0.080198,0.02377399999999997
QA331_2,0.0012910000000000024,0.008857000000000016,0.002243999999999981,0.05337399999999999,0.020765999999999965,0.0056439999999999746,0.011313999999999977,0.6911139999999999,0.010152000000000019,0.021478,0.066333,0.021246999999999967
QA171_2,0.9697059999999998,2.105443,1.5511499999999998,0.6248259999999999,2.0324429999999998,1.7606729999999995,1.2159699999999998,2302.074052,0.865433,1.449096,1.9451820000000002,1.643382
QA314_2,0.001143000000000002,0.010107000000000019,0.0018439999999999824,0.09625800000000002,0.026606999999999964,0.004552999999999975,0.008457999999999993,0.551236,0.001565000000000003,0.03343699999999997,0.07228799999999999,0.021383999999999966
QA110_2,0.00026700000000000047,0.0019620000000000037,0.0012679999999999849,0.03542699999999997,0.011101999999999997,0.0046759999999999744,0.0006440000000000011,0.11151799999999994,0.0029390000000000054,0.018021000000000016,0.008869999999999992,0.004158999999999985
QA471_2,0.0007800000000000014,0.0036250000000000063,0.0014789999999999838,0.035587999999999974,0.01408899999999998,0.0033179999999999777,0.0031390000000000055,0.40239400000000003,0.0007150000000000012,0.008787000000000001,0.04610299999999997,0.013621999999999967
QA300_2,0.0009640000000000017,0.009621000000000017,0.0019829999999999817,0.08770700000000001,0.02793699999999997,0.005582999999999973,0.005497999999999999,0.4776020000000001,0.0013440000000000023,0.02898799999999997,0.04724299999999998,0.014589999999999966
QA188_2,0.45534299999999994,0.826292,0.6134489999999998,0.32628199999999996,0.804939,0.7419409999999996,0.4788759999999999,975.2954590000002,0.388063,0.5640080000000001,0.8384069999999999,0.7201859999999999
QAptm_2,0.0012220000000000024,0.009535000000000017,0.0017509999999999824,0.09662900000000002,0.025489999999999964,0.004490999999999975,0.008075999999999995,0.5960380000000001,0.0012760000000000024,0.03308599999999997,0.07697,0.022865999999999963
