group,oligo_gdtts,tm_score,T1278_lddt,T1278_rmsd,oligo_gdtha
QA443_2,3.000000000000005e-05,5.00000000000001e-06,0.0002389999999999931,0.02479499999999999,0.0026130000000000046
QA272_2,4.000000000000007e-05,5.00000000000001e-06,0.00010599999999999621,0.030467999999999967,0.0037220000000000066
QA319_2,3.5000000000000065e-05,8.000000000000015e-06,0.00023499999999999484,0.03216299999999998,0.0036320000000000063
QA217_2,5.100000000000009e-05,4.0000000000000074e-06,0.0005959999999999891,0.01485100000000001,0.002793000000000005
QA207_2,2.7000000000000046e-05,4.0000000000000074e-06,0.000657999999999991,0.013459999999999991,0.0025460000000000044
QA122_2,3.7000000000000066e-05,8.000000000000015e-06,0.00024499999999999446,0.03010599999999998,0.0030660000000000054
QA476_2,0.0014080000000000026,0.0007420000000000013,0.0031419999999999825,4.144888000000001,0.0047899999999999904
QA050_2,2.700000000000005e-05,4.0000000000000074e-06,0.0010449999999999882,0.009583000000000017,0.0014660000000000027
QA425_2,2.7000000000000046e-05,5.00000000000001e-06,3.899999999999718e-05,0.031785999999999974,0.0036810000000000063
QA331_2,2.7000000000000046e-05,5.00000000000001e-06,0.0004789999999999922,0.014394999999999991,0.0025660000000000045
QA314_2,2.7000000000000046e-05,3.0000000000000056e-06,0.0006119999999999891,0.005930000000000011,0.0013270000000000024
QA110_2,0.002216000000000004,0.000573000000000001,0.008585999999999969,2.040207,0.011616999999999968
QA471_2,0.001107000000000002,0.0006510000000000012,0.0028439999999999846,4.021933000000001,0.0024340000000000047
QAptm_2,4.000000000000007e-05,5.00000000000001e-06,2.4999999999998043e-05,0.03189499999999997,0.003555000000000006
QA188_2,0.001095000000000002,0.0005720000000000011,0.002507999999999984,3.46371,0.004217999999999991
QAplddts_2,4.000000000000007e-05,4.0000000000000074e-06,0.0003749999999999951,0.025510999999999975,0.0032220000000000057
QA051_2,4.500000000000008e-05,5.00000000000001e-06,7.099999999999636e-05,0.02965999999999997,0.0031940000000000054
QA393_2,3.7000000000000066e-05,5.00000000000001e-06,0.0003399999999999948,0.02889499999999998,0.003375000000000006
QA264_2,2.400000000000004e-05,2.0000000000000037e-06,0.0006479999999999886,0.00550200000000001,0.0016130000000000027
QA164_2,0.0023410000000000045,0.0012350000000000022,0.005762999999999972,8.716650999999999,0.005957999999999988
QA345_2,2.7000000000000046e-05,5.00000000000001e-06,3.0999999999997616e-05,0.031109999999999968,0.0033370000000000058
QA273_2,4.200000000000008e-05,5.00000000000001e-06,0.0005059999999999916,0.02084200000000002,0.0024220000000000044
QA212_2,0.0006900000000000013,0.0004040000000000008,0.002400999999999984,2.8280740000000004,0.0022289999999999953
QA312_2,1.9000000000000035e-05,5.00000000000001e-06,0.0007229999999999886,0.0071190000000000125,0.002798000000000005
QA446_2,0.0005970000000000011,0.0003310000000000006,0.0015429999999999888,1.8634940000000004,0.0015470000000000026
QA148_2,0.0004950000000000009,0.00018300000000000033,0.002557999999999982,0.707085,0.003829999999999989
QA029_2,5.100000000000009e-05,4.0000000000000074e-06,0.0005959999999999891,0.01485100000000001,0.002793000000000005
