group,H1215_ics,tm_score,qs_best,H1215_ips,dockq_wave,oligo_gdtha,H1215_rmsd,dockq_ave,H1215_lddt,oligo_gdtts,qs_global,H1215_ilddt
QA425_2,0.026947000000000026,0.00010700000000000019,0.0007109999999999946,0.08971700000000002,0.0042320000000000075,0.008459999999999995,0.09583599999999998,0.0042320000000000075,0.006842000000000012,0.002112999999999994,0.04859100000000002,0.020107999999999987
QA171_2,2.935123,0.36416200000000004,2.653677,1.332662,2.753714,0.41280700000000004,377.81277199999994,2.753714,0.05069200000000006,0.47742999999999985,2.929366000000001,2.1007459999999996
QA110_2,0.018165000000000014,5.00000000000001e-06,0.0007729999999999914,0.065955,0.0028410000000000054,0.00024300000000000038,0.007646000000000012,0.0028410000000000054,4.000000000000007e-05,7.200000000000012e-05,0.041618000000000044,0.0006669999999999956
QA314_2,0.018747000000000007,1.800000000000003e-05,0.0004829999999999962,0.05834100000000002,0.0024630000000000047,0.00532800000000001,0.02397100000000004,0.0024630000000000047,0.003277000000000006,0.0003070000000000006,0.030106,0.00899199999999998
QA114_2,1.951597,0.343117,1.9234930000000001,1.2479789999999997,2.2380250000000004,0.3368000000000001,539.0048099999999,2.2380250000000004,0.04435000000000003,0.399256,1.9381260000000002,1.7383379999999997
QA050_2,4.104055000000001,0.708386,4.1682310000000005,1.9991240000000001,3.888363,0.4937570000000001,519.774255,3.888363,0.07198000000000007,0.677861,4.0683620000000005,2.8220979999999996
QAmean_plddt_2,0.024691000000000022,1.000000000000002e-05,0.000947999999999991,0.07797300000000003,0.0031310000000000057,0.0006140000000000012,0.015335000000000027,0.0031310000000000057,0.0,0.00016900000000000029,0.04503900000000006,0.0002049999999999964
QA122_2,2.671838,0.42554100000000006,2.958067,1.231986,2.703258,0.435755,578.7181169999999,2.703258,0.10467300000000004,0.506485,2.8837099999999998,2.2086989999999997
QA476_2,2.522783,0.425561,2.659594,1.3464760000000002,2.4457020000000003,0.32741,794.0644229999999,2.4457020000000003,0.04076400000000008,0.41701299999999997,2.601022,2.0165039999999994
QA217_2,3.574282,0.5483129999999999,3.3458740000000002,1.714369,3.2695350000000007,0.4144390000000001,525.50611,3.2695350000000007,0.12699400000000005,0.619655,3.4774920000000002,2.8093209999999997
