group,oligo_gdtha,oligo_gdtts,tm_score,dockq_ave,H1225_ips,qs_best,H1225_rmsd,H1225_ilddt,H1225_lddt,H1225_ics,qs_global,dockq_wave
QAiptm_2,0.1342069999999999,0.13021699999999997,0.027664000000000022,0.25366600000000006,0.054421999999999984,0.25679899999999994,14.456329999999998,0.012346000000000022,0.003868000000000007,0.13077100000000005,0.23552199999999995,0.11226899999999995
QA207_2,0.11182999999999993,0.10592599999999995,0.02077000000000001,0.25477600000000006,0.06741,0.2541109999999999,14.278094000000001,0.013826000000000024,0.003440000000000006,0.13717900000000005,0.23376599999999992,0.10412599999999995
QA122_2,0.1243199999999999,0.12126599999999993,0.023843000000000017,0.332598,0.072858,0.2604289999999999,28.081357999999998,0.01613400000000003,0.006441999999999994,0.10168500000000001,0.22026699999999994,0.12172199999999997
QA476_2,0.06361199999999997,0.060319000000000005,0.008825999999999999,0.22934800000000002,0.04930999999999998,0.27339899999999995,7.331435999999999,0.01194700000000002,0.0035449999999999956,0.13878600000000005,0.2501379999999999,0.06682199999999996
QA443_2,0.13921999999999987,0.1346159999999999,0.02799100000000001,0.31409400000000004,0.06794599999999999,0.261856,23.039474999999996,0.012860000000000022,0.006151000000000004,0.09422000000000003,0.2185569999999999,0.11746799999999995
QA272_2,0.10816599999999993,0.10313599999999999,0.018699000000000007,0.31439,0.119842,0.225428,30.266175999999994,0.006722000000000012,0.0012620000000000023,0.14417200000000008,0.25264999999999993,0.11885799999999996
QA319_2,0.17903399999999992,0.1722699999999999,0.042400000000000035,0.28240500000000013,0.05498699999999998,0.25278399999999995,19.629786,0.007018000000000012,0.001267000000000002,0.13523800000000005,0.2206539999999999,0.14063899999999996
QA217_2,0.11221599999999991,0.105859,0.022202000000000003,0.24933500000000006,0.053645999999999985,0.24331100000000006,11.952998000000001,0.013166000000000023,0.005381999999999989,0.12817400000000007,0.2218239999999999,0.09265199999999997
QA471_2,0.14354299999999995,0.14112299999999994,0.031127000000000037,0.2863220000000001,0.037098999999999986,0.29696,28.205076999999996,0.014903000000000026,0.003292000000000006,0.13363900000000006,0.29660099999999995,0.13171399999999997
QAptm_2,0.14459099999999991,0.141197,0.030873000000000022,0.2675090000000001,0.04706699999999997,0.27173099999999994,15.853679,0.013179000000000024,0.0053519999999999904,0.11456300000000004,0.23808299999999993,0.11540699999999995
QA300_2,0.13451499999999994,0.13061799999999996,0.03060699999999998,0.2960400000000001,0.14395600000000003,0.20225700000000008,21.388779999999993,0.019929000000000037,0.008103999999999991,0.10472800000000003,0.2344189999999999,0.11338499999999994
QA188_2,0.09915199999999996,0.09863899999999995,0.024598000000000026,0.269037,0.05559799999999998,0.265998,18.115697999999995,0.009038000000000017,0.0019510000000000035,0.14118400000000006,0.259559,0.09986599999999995
QAiptm+ptm_2,0.1342069999999999,0.13015499999999997,0.027614000000000024,0.25366600000000006,0.05416999999999999,0.25679899999999994,14.452388,0.012430000000000023,0.0038680000000000064,0.13052300000000006,0.2355219999999999,0.11214299999999996
QA050_2,0.12696499999999994,0.12350599999999992,0.023413000000000017,0.2730180000000001,0.08335499999999997,0.253396,19.274662,0.003799000000000007,0.0010490000000000018,0.11593200000000004,0.25524699999999995,0.10662499999999997
QA114_2,0.08026599999999993,0.07976099999999994,0.01361,0.2708060000000001,0.08884799999999998,0.28133400000000003,19.690881999999995,0.01110400000000002,0.0023230000000000043,0.13661000000000006,0.292555,0.09252899999999996
QA425_2,0.14471199999999992,0.13785399999999992,0.030160000000000027,0.25853200000000004,0.061367999999999985,0.252786,15.454616999999997,0.01112500000000002,0.003574999999999997,0.14007400000000006,0.2265859999999999,0.11811399999999997
QAmean_plddt_2,0.10841799999999993,0.10271199999999998,0.019564,0.2936930000000001,0.09301800000000002,0.24218,22.963181,0.006787000000000012,0.001114000000000002,0.14622000000000004,0.24336499999999994,0.11656499999999995
QA331_2,0.12215999999999991,0.11757499999999997,0.02245000000000002,0.3190260000000001,0.12196200000000001,0.23220500000000002,29.327977999999995,0.007930000000000013,0.0019340000000000034,0.14027800000000007,0.25490699999999994,0.12491299999999997
QA314_2,0.08107399999999995,0.07668899999999997,0.013573,0.257604,0.072494,0.25998999999999994,14.151651999999997,0.013150000000000025,0.003460000000000006,0.14357000000000006,0.24153799999999992,0.09044699999999996
QA110_2,0.21351099999999995,0.21433899999999992,0.05460400000000005,0.24271800000000004,0.05221099999999998,0.287543,16.1455,0.0015820000000000031,0.0008710000000000015,0.11816200000000003,0.259493,0.14577999999999997
QA171_2,0.05938899999999999,0.05401199999999999,0.008615999999999993,0.27524300000000007,0.05190699999999998,0.15258600000000008,17.404366,0.013911000000000024,0.0031790000000000056,0.037290000000000066,0.15691599999999992,0.07473899999999996
QA264_2,0.0992159999999999,0.09365000000000001,0.013425000000000001,0.35651400000000005,0.19108899999999995,0.16684300000000007,48.068394,0.006598000000000011,0.0013470000000000025,0.13732300000000006,0.271767,0.11544199999999996
QA345_2,0.1745259999999999,0.1681969999999999,0.03910200000000003,0.28093400000000013,0.05361899999999998,0.25412499999999993,19.058181,0.006666000000000012,0.0013990000000000027,0.13695100000000007,0.22275899999999987,0.13889399999999996
QA051_2,0.10790999999999988,0.10036400000000001,0.018135000000000005,0.24738500000000008,0.077687,0.25742399999999993,11.395332999999999,0.005950000000000011,0.0006070000000000011,0.1627780000000001,0.23218099999999992,0.10496099999999994
QA393_2,0.08090299999999993,0.08115099999999995,0.015718000000000017,0.28970200000000007,0.08599499999999997,0.290353,21.276484999999997,0.023056000000000042,0.006321,0.13119500000000006,0.29991199999999996,0.09825899999999999
QA080_2,0.09370299999999995,0.09022200000000001,0.01401,0.342635,0.144006,0.203776,37.44533,0.007451000000000012,0.0019060000000000034,0.13107700000000005,0.25489999999999996,0.11473399999999996
QA148_2,0.017445999999999965,0.015910999999999967,0.002138999999999995,0.208795,0.077947,0.29913199999999995,4.904552,0.009518000000000018,0.002469000000000004,0.16049100000000008,0.288699,0.04452399999999997
QA029_2,0.11221599999999991,0.105859,0.022202000000000003,0.24933500000000006,0.053645999999999985,0.24331100000000006,11.952998000000001,0.013166000000000023,0.005381999999999989,0.12817400000000007,0.2218239999999999,0.09265199999999997
