group,oligo_gdtts,H1229_lddt,H1229_ips,H1229_ilddt,H1229_rmsd,oligo_gdtha,H1229_ics,tm_score,dockq_wave,qs_global,qs_best,dockq_ave
QA207_2,0.01715200000000003,0.0029829999999999796,0.6124780000000001,0.536399,2.9981020000000003,0.02223200000000004,0.7337859999999999,0.002364000000000004,0.22547800000000004,0.6930450000000001,0.63334,0.22547800000000004
QA122_2,0.020457000000000003,0.005275999999999977,0.595673,0.577534,3.557745,0.026751000000000046,0.7177229999999999,0.0027970000000000048,0.22813300000000009,0.7040200000000002,0.6432579999999999,0.22813300000000009
QA476_2,0.012840000000000023,0.0055979999999999745,0.49633900000000003,0.6529030000000001,2.4396299999999993,0.01596600000000003,0.769854,0.001683000000000003,0.20569900000000002,0.6234240000000001,0.5590029999999999,0.20569900000000002
QA272_2,0.011867000000000022,0.0029439999999999788,0.5689470000000001,0.8094800000000001,3.1012309999999994,0.011242000000000021,0.990389,0.0019320000000000036,0.27302,0.789687,0.6879549999999999,0.27302
QA443_2,0.020457000000000003,0.005275999999999977,0.595673,0.577534,3.557745,0.026751000000000046,0.7177229999999999,0.0027970000000000048,0.22813300000000009,0.7040200000000002,0.6432579999999999,0.22813300000000009
QA319_2,0.01758200000000003,0.005973999999999972,0.522784,0.638801,3.706906,0.021976000000000037,0.6503809999999999,0.0029310000000000048,0.23608000000000007,0.6978100000000002,0.658914,0.23608000000000007
QA217_2,0.017076000000000032,0.0034179999999999775,0.538927,0.6108890000000001,4.829975999999999,0.020022000000000036,0.6747259999999999,0.0031350000000000054,0.2661160000000001,0.6806230000000002,0.660352,0.2661160000000001
QA471_2,0.012029000000000022,0.005106999999999974,0.600068,0.6752910000000001,3.6607900000000004,0.014093000000000026,0.804494,0.002861000000000005,0.28425200000000006,0.6765300000000001,0.674956,0.28425200000000006
QA188_2,0.01528200000000001,0.003925999999999976,0.5829730000000001,0.588126,2.556696,0.020114000000000035,0.78973,0.0018380000000000033,0.20977100000000004,0.6792850000000001,0.6222709999999999,0.20977100000000004
QAptm_2,0.012558000000000022,0.004788999999999975,0.607094,0.592774,2.2310919999999994,0.014378000000000026,0.8343269999999999,0.0020650000000000035,0.24371900000000007,0.7134610000000001,0.6590369999999999,0.24371900000000007
QA050_2,0.007519000000000013,0.0013819999999999891,0.34791900000000003,0.33807999999999994,1.7760759999999998,0.009166000000000016,0.491571,0.0014340000000000023,0.14599800000000002,0.35488200000000003,0.34579399999999993,0.14599800000000002
QA331_2,0.014834000000000026,0.0028129999999999787,0.590299,0.535386,2.8108239999999998,0.018901000000000032,0.7436539999999999,0.002290000000000004,0.22768400000000003,0.6500490000000001,0.60921,0.22768400000000003
QA425_2,0.019377000000000033,0.007510999999999971,0.55396,0.63711,4.605049999999999,0.023210000000000043,0.6372689999999999,0.0035510000000000064,0.23954300000000006,0.7322360000000001,0.6854899999999999,0.23954300000000006
QAiptm+ptm_2,0.020457000000000003,0.005275999999999977,0.595673,0.577534,3.557745,0.026751000000000046,0.7177229999999999,0.0027970000000000048,0.22813300000000009,0.7040200000000002,0.6432579999999999,0.22813300000000009
QA110_2,0.014388000000000026,0.005493999999999973,0.487829,0.6583670000000001,4.040488999999999,0.01655100000000003,0.6072779999999999,0.002837000000000005,0.23787800000000006,0.642954,0.6241979999999999,0.23787800000000006
QA314_2,0.012828000000000022,0.0034189999999999785,0.6002140000000001,0.610204,2.7151419999999993,0.014395000000000026,0.813685,0.0019970000000000035,0.23339900000000005,0.698936,0.635373,0.23339900000000005
