group,tm_score,oligo_gdtha,T1272s5_lddt,T1272s5_rmsd,oligo_gdtts
QA207_2,0.10994400000000001,0.08043600000000002,0.01830600000000003,322.604839,0.212158
QA476_2,0.06542300000000004,0.07398300000000002,0.033722000000000044,236.03654899999998,0.179185
QA122_2,0.12031300000000003,0.09330900000000003,0.020270000000000038,449.2579,0.246875
QA319_2,0.053800000000000014,0.020354000000000018,0.005001000000000009,106.039794,0.04102200000000001
QA272_2,0.04505200000000001,0.01571100000000001,0.006487000000000012,129.937025,0.03740800000000001
QA443_2,0.01876600000000002,0.017035000000000015,0.003421000000000006,131.356893,0.022307
QA188_2,0.05360200000000001,0.07989400000000003,0.03745600000000003,345.6260500000001,0.193671
QAptm_2,0.12043400000000003,0.09118700000000002,0.020364000000000035,496.168937,0.243778
QA050_2,0.05016300000000002,0.05973700000000004,0.021033000000000038,216.605034,0.15688
QA110_2,0.00979000000000001,0.010967000000000008,0.007563000000000014,13.091840000000008,0.010198999999999996
QA314_2,0.1346,0.09387900000000003,0.02274100000000004,498.98044100000004,0.249112
QA331_2,0.11274900000000003,0.09385900000000004,0.016027000000000027,273.529362,0.24245499999999998
QA425_2,0.04438300000000002,0.015301000000000013,0.00514600000000001,114.19891799999999,0.032443
QAplddts_2,0.04505200000000001,0.01571500000000001,0.006505000000000012,130.037147,0.037408000000000004
QA264_2,0.11329800000000005,0.09412600000000002,0.01709400000000003,365.11678600000005,0.24779500000000002
QA345_2,0.043407000000000015,0.017054000000000014,0.005019000000000009,98.96756199999999,0.035172999999999996
QA164_2,0.004034,0.00826600000000001,0.004656000000000008,1.881299,0.004890999999999999
QA051_2,0.09766500000000006,0.07988200000000002,0.018375000000000034,242.72220700000003,0.214367
QA393_2,0.09741100000000005,0.08583500000000004,0.018031000000000033,172.357372,0.23553899999999997
QA029_2,0.058423000000000024,0.02379500000000001,0.008851000000000015,148.72235200000003,0.059555
QA148_2,0.107574,0.07887500000000003,0.02216200000000004,400.197123,0.20220200000000002
QA312_2,0.12485400000000002,0.09441500000000003,0.02310300000000004,322.95208800000006,0.242455
QA212_2,0.052794000000000035,0.06970300000000004,0.01697200000000003,117.36120300000002,0.167349
QA273_2,0.01423400000000001,0.014528000000000011,0.0029980000000000054,84.10861100000002,0.016770999999999998
