group,oligo_gdtts,H1217_lddt,H1217_rmsd,oligo_gdtha,qs_best,tm_score,H1217_ips,dockq_ave,H1217_ilddt,H1217_ics,dockq_wave,qs_global
QA314_2,0.033395999999999974,0.000697999999999994,913.9096770000001,0.03455500000000002,0.0032629999999999825,0.0031190000000000054,0.0014540000000000026,0.0013230000000000023,0.0005690000000000009,0.000556000000000001,0.0012149999999999876,0.0045670000000000086
QA110_2,0.041322,0.024841999999999975,436.71850200000006,0.04542000000000001,0.4590299999999998,0.0008220000000000015,0.18345300000000003,0.0038170000000000066,0.016174,0.42701199999999995,0.0027639999999999852,0.7375140000000001
QA471_2,0.08449799999999996,0.008622999999999985,761.392701,0.08373500000000003,0.18546199999999996,0.0066480000000000115,0.12207099999999997,0.00576700000000001,0.00600300000000001,0.2934049999999999,0.003878999999999978,0.436974
QAptm_2,0.022306999999999976,0.0024729999999999865,1127.934805,0.024504000000000012,0.02592999999999996,0.002245000000000004,0.028650000000000002,0.0006300000000000011,0.00020100000000000039,0.036745000000000014,0.00046899999999999487,0.08018900000000001
QA188_2,0.03659599999999997,0.0022019999999999874,867.6086909999999,0.03722600000000002,0.004786999999999981,0.0031670000000000053,0.008301,0.0021970000000000036,0.0016950000000000031,0.006025999999999989,0.0014899999999999885,0.021492000000000008
QA443_2,1.3439549999999996,0.7033479999999999,30415.841239000005,0.8007270000000001,0.9485399999999998,1.448362,1.013766,1.4291430000000003,1.192584,0.7975689999999999,1.1815,0.8774390000000002
QA272_2,0.02869699999999998,0.0019229999999999874,990.9105580000002,0.02964200000000002,0.005521999999999978,0.002706000000000005,0.020066000000000007,0.001755000000000003,0.00045400000000000084,0.021593000000000008,0.0013459999999999893,0.05536300000000003
QA319_2,0.044871999999999974,0.0017789999999999933,796.945035,0.047192000000000026,0.0063579999999999765,0.003618000000000006,0.0008040000000000015,0.0026260000000000046,0.003402000000000006,0.002151999999999995,0.0023499999999999806,0.005992000000000005
QAiptm+ptm_2,0.02988999999999998,0.002577999999999984,1081.838055,0.03135100000000002,0.02733099999999995,0.002876000000000005,0.028615,0.0011430000000000019,0.00030100000000000054,0.03583300000000001,0.0010859999999999904,0.08288200000000001
QA207_2,0.042485999999999975,0.06622899999999995,567.4112769999999,0.04445600000000003,0.6321239999999999,0.002861000000000005,0.27187700000000004,0.001648000000000003,0.06102200000000001,0.692908,0.0013259999999999906,0.962071
