group,oligo_gdtts,oligo_gdtha,T1276_lddt,tm_score,T1276_rmsd
QA122_2,0.022078000000000007,0.03648299999999997,0.0018190000000000031,0.008738999999999969,1.6398170000000003
QA476_2,0.02060600000000001,0.02948699999999997,0.0015860000000000028,0.007924999999999977,1.624967
QA207_2,0.02400800000000001,0.03858099999999997,0.001702000000000003,0.00942299999999997,1.7607580000000003
QA217_2,0.020623000000000006,0.03436799999999997,0.001889000000000003,0.007970999999999971,1.523459
QA443_2,0.022398000000000005,0.03667199999999997,0.0016050000000000031,0.00865799999999997,1.6369159999999998
QA319_2,0.022124000000000008,0.03649499999999997,0.0013620000000000025,0.008738999999999969,1.6505489999999998
QAptm_2,0.022531000000000006,0.03704799999999997,0.0019340000000000034,0.00891099999999997,1.6757309999999999
QA188_2,0.020821,0.030422999999999974,0.0012720000000000023,0.009470999999999983,1.913535
QA471_2,0.01653300000000001,0.027921999999999968,0.0010710000000000019,0.007074999999999976,1.362826
QA425_2,0.02217800000000001,0.03636999999999997,0.0013810000000000025,0.00891499999999997,1.6662220000000003
QA331_2,0.024407000000000012,0.03911199999999997,0.001634000000000003,0.009792999999999968,1.8131510000000002
QA314_2,0.021125000000000005,0.03457899999999997,0.0017730000000000033,0.008103999999999969,1.5484070000000003
QA110_2,0.02192200000000001,0.03111999999999997,0.0006350000000000011,0.009790999999999968,1.7970549999999996
QA050_2,0.006397999999999989,0.010500999999999974,0.001198000000000002,0.002165999999999995,0.5380679999999999
QA164_2,0.006249999999999994,0.00961899999999997,0.0003270000000000006,0.002266000000000004,0.5172399999999999
QA345_2,0.02265600000000001,0.037202999999999965,0.0013460000000000026,0.00899799999999997,1.6807570000000003
QA264_2,0.0069289999999999985,0.011263999999999977,0.0007840000000000014,0.0028189999999999947,0.5857139999999998
QAplddts_2,0.023043000000000008,0.03787899999999997,0.0018950000000000035,0.008908999999999969,1.672963
QA393_2,0.02373200000000001,0.03839799999999997,0.0014220000000000025,0.008991999999999969,1.6763140000000003
QA051_2,0.02343400000000001,0.03805199999999997,0.0020060000000000034,0.009171999999999968,1.7147180000000004
QA148_2,0.006817999999999994,0.01152899999999997,0.0021150000000000036,0.0020039999999999962,0.4832750000000001
QA029_2,0.020623000000000006,0.03436799999999997,0.001889000000000003,0.007970999999999971,1.523459
QA446_2,0.01653300000000001,0.027921999999999968,0.0010710000000000019,0.007074999999999976,1.362826
QA273_2,0.02320600000000001,0.037514999999999965,0.0013580000000000024,0.009088999999999969,1.702696
QA212_2,0.005594999999999995,0.01122699999999997,0.0007930000000000014,0.002161999999999997,0.49539399999999995
QA312_2,0.019784000000000006,0.03338499999999997,0.0014730000000000025,0.0072939999999999715,1.410107
