group,T1249v1_ilddt,tm_score,T1249v1_ics,T1249v1_ips,dockq_wave,oligo_gdtts,dockq_ave,qs_global,qs_best,T1249v1_lddt,T1249v1_rmsd,oligo_gdtha
QA471_2,0.07935600000000001,0.00037400000000000063,0.110209,0.03752200000000001,0.06632200000000002,0.01877899999999997,0.06632200000000002,0.09751100000000001,0.242789,0.003061000000000005,1.6022469999999995,0.04565800000000003
QA188_2,1.0229169999999999,1.7894499999999995,0.345306,0.27288500000000004,1.249198,2.0580899999999995,1.249198,0.515109,2.075646,0.39344999999999997,4512.943044,1.3244220000000002
QA050_2,0.49445300000000003,0.014373999999999968,0.27311100000000005,0.12907000000000002,0.2583220000000001,0.27137599999999995,0.2583220000000001,0.10992100000000002,0.547752,0.0014210000000000026,6.467275999999999,0.3674530000000001
QA425_2,0.27868,0.937224,0.16192700000000004,0.14782700000000004,0.29433800000000004,0.7194549999999998,0.29433800000000004,0.17748300000000003,0.5422689999999999,0.57112,7.640826000000001,0.46365900000000004
QA331_2,0.041323,0.0001700000000000003,0.10770600000000002,0.045474,0.050889000000000024,0.007130999999999983,0.050889000000000024,0.08725900000000002,0.14805999999999997,0.001701000000000003,1.1638699999999995,0.02002100000000001
QA314_2,0.8222460000000001,0.37107099999999993,0.34291499999999997,0.27030200000000004,0.5508660000000001,0.6591979999999998,0.5508660000000001,0.298748,1.2255399999999999,0.02563600000000001,203.966036,0.630963
QA110_2,1.245216,2.2791309999999996,0.35924999999999996,0.440031,1.283875,2.1770489999999993,1.283875,0.6012220000000001,2.341392,0.3210720000000001,3078.7636190000003,1.3803769999999997
QA122_2,0.040785999999999996,0.0004350000000000008,0.06571700000000001,0.013062000000000002,0.03553400000000001,0.019810000000000005,0.03553400000000001,0.058607,0.11320999999999995,0.0008460000000000015,0.5521099999999993,0.03553700000000001
QA476_2,1.0170620000000001,1.8686949999999998,0.346518,0.26771,1.2479500000000001,2.0665179999999994,1.2479500000000001,0.516252,2.0806,0.40539800000000004,4459.314929999999,1.321913
QA443_2,0.04580300000000002,0.0007630000000000014,0.11471600000000001,0.03979500000000001,0.06262600000000003,0.023100999999999997,0.06262600000000003,0.083833,0.160767,0.0014600000000000025,2.546512,0.04282800000000002
QA272_2,0.026973000000000014,0.0001750000000000003,0.11770500000000002,0.04563300000000001,0.05677000000000002,0.004801999999999998,0.05677000000000002,0.09489900000000003,0.16362699999999997,0.0008300000000000014,1.8757740000000005,0.006672000000000002
QA319_2,0.06028900000000001,0.0001820000000000003,0.119857,0.034226000000000006,0.06068100000000003,0.00796799999999997,0.06068100000000003,0.09302,0.183166,0.0037510000000000065,1.2858549999999995,0.025642000000000026
QA217_2,0.139817,0.0019270000000000034,0.08689000000000002,0.017589000000000007,0.071507,0.087188,0.071507,0.03331000000000001,0.11788099999999996,0.002850000000000005,0.8789710000000002,0.14766400000000005
QA080_2,0.033786000000000024,0.00022300000000000038,0.11723900000000001,0.04604700000000001,0.05586600000000002,0.007057999999999993,0.05586600000000002,0.09460500000000002,0.15295599999999995,0.0009750000000000018,1.7084979999999999,0.012611000000000011
QA148_2,0.6949980000000001,0.029190999999999967,0.34291499999999997,0.21904600000000002,0.35536600000000007,0.38281899999999985,0.35536600000000007,0.193244,0.8896189999999999,0.0030110000000000054,12.381461,0.49685
QA029_2,0.139817,0.0019270000000000034,0.08689000000000002,0.017589000000000007,0.071507,0.087188,0.071507,0.03331000000000001,0.11788099999999996,0.002850000000000005,0.8789710000000002,0.14766400000000005
QA273_2,0.10097300000000001,0.0011750000000000022,0.083481,0.015522000000000006,0.057716000000000045,0.06082299999999999,0.057716000000000045,0.02832600000000001,0.10197299999999998,0.0008520000000000015,0.35063999999999984,0.10646599999999999
QA212_2,0.577592,0.022098999999999973,0.287007,0.19971800000000003,0.26769500000000007,0.31715099999999996,0.26769500000000007,0.18988200000000002,0.744499,0.005272000000000009,8.607941999999998,0.415482
QA312_2,0.6949980000000001,0.029190999999999967,0.34291499999999997,0.21904600000000002,0.35536600000000007,0.38281899999999985,0.35536600000000007,0.193244,0.8896189999999999,0.0030110000000000054,12.381461,0.49685
QA446_2,1.165551,2.105224,0.35924999999999996,0.23744600000000005,1.2864370000000003,2.3751619999999996,1.2864370000000003,0.568085,2.266711,0.737675,5571.241977999999,1.468127
QA264_2,1.240035,1.866577,0.35924999999999996,0.48185900000000004,1.272974,2.1130769999999997,1.272974,0.601774,2.346977,0.39282,1662.943875,1.373251
QA164_2,1.272688,1.3585399999999996,0.31694,0.23116700000000007,0.17969200000000002,2.7767959999999996,0.17969200000000002,0.5056,1.817494,2.7945420000000003,531.358722,1.9638229999999999
QA345_2,0.038764000000000014,0.00021000000000000036,0.126116,0.04540600000000001,0.053349000000000035,0.009630999999999976,0.053349000000000035,0.09272200000000001,0.12583999999999992,0.0007410000000000013,0.8772669999999998,0.02215600000000002
QA051_2,0.27700800000000003,0.9391559999999999,0.16035000000000002,0.14277800000000002,0.29421200000000003,0.721407,0.29421200000000003,0.183006,0.5797129999999999,0.570439,7.662993999999999,0.4632230000000001
QA393_2,1.227678,1.871873,0.35924999999999996,0.503776,1.272934,2.0814049999999997,1.272934,0.602905,2.34675,0.305886,1654.066226,1.339413
