group,tm_score,oligo_gdtts,T1210_rmsd,T1210_lddt,oligo_gdtha
QA212_2,0.0007790000000000014,0.01305300000000001,1.507117,0.00035400000000000064,0.013832000000000011
QA273_2,0.0021880000000000037,0.03655899999999997,3.0900810000000005,0.0005890000000000011,0.03985800000000002
QA312_2,0.0002790000000000005,0.01130400000000002,0.30681700000000023,0.0012400000000000022,0.012552000000000015
QA446_2,0.0012270000000000022,0.019530000000000006,2.005684,0.0007160000000000014,0.021000000000000008
QA148_2,0.00045600000000000084,0.015153999999999996,0.7741870000000001,0.001535000000000003,0.016388000000000014
QA029_2,0.001735000000000003,0.03477799999999997,2.297048000000001,0.0015720000000000026,0.03767700000000002
QA051_2,0.0024240000000000043,0.03841199999999997,3.4463340000000002,0.0005700000000000011,0.04091600000000002
QAplddts_2,0.0026080000000000044,0.03934299999999997,3.6346690000000006,0.0009890000000000018,0.04203400000000002
QA393_2,0.001109000000000002,0.024684999999999974,1.5355630000000002,0.0010270000000000017,0.02691900000000001
QA264_2,0.000590000000000001,0.02015399999999999,1.2128710000000005,0.0007230000000000013,0.022589
QA164_2,0.000522000000000001,0.012059000000000021,0.9539830000000001,0.0004570000000000008,0.012552000000000016
QA345_2,0.0025200000000000044,0.03817199999999997,3.5303360000000006,0.0009760000000000017,0.04079700000000003
QA050_2,0.000575000000000001,0.02091599999999998,0.9662340000000006,0.0006130000000000011,0.023397
QA425_2,0.002479000000000004,0.03859399999999997,3.6132710000000015,0.0005180000000000009,0.04104000000000002
QA331_2,0.0009310000000000017,0.023680999999999976,1.5297880000000004,0.0008460000000000015,0.02594400000000001
QA314_2,0.000590000000000001,0.01957399999999999,1.1985450000000004,0.0009270000000000016,0.021995
QA110_2,0.0019380000000000035,0.03807999999999997,2.4969499999999996,0.0031270000000000056,0.04040500000000002
QA471_2,0.001159000000000002,0.019757000000000004,1.9126580000000002,0.0007300000000000014,0.021676000000000004
QA188_2,0.0013000000000000023,0.028258999999999965,1.8003350000000002,0.0013910000000000025,0.03006300000000001
QAptm_2,0.00038800000000000065,0.01855799999999999,0.5870849999999999,0.0007590000000000013,0.021183
QA272_2,0.0026080000000000044,0.03934299999999997,3.6346690000000006,0.0009890000000000018,0.04203400000000002
QA443_2,0.000549000000000001,0.014983000000000007,0.7396970000000003,0.0007400000000000013,0.016715000000000015
QA319_2,0.002250000000000004,0.03884999999999997,3.225451,0.0004610000000000008,0.041529000000000024
QA217_2,0.0005200000000000009,0.016866,0.7601690000000005,0.0016190000000000028,0.019093000000000006
QA122_2,0.0021250000000000036,0.03711599999999997,3.031994000000001,0.00041600000000000073,0.03971900000000002
QA476_2,0.0007110000000000013,0.021981999999999974,1.1208240000000003,0.0007940000000000014,0.02423100000000001
