group,dockq_ave,oligo_gdtha,T1240_lddt,oligo_gdtts,T1240_rmsd,dockq_wave,T1240_ilddt,qs_global,qs_best,T1240_ips,tm_score,T1240_ics
QA476_2,0.5436239999999999,0.132974,0.004302999999999985,0.3028179999999999,192.236173,0.5436239999999999,0.024089999999999973,0.004386999999999998,0.05352500000000001,0.001964999999999999,0.34824999999999995,0.008432999999999994
QAiptm+ptm_2,0.811805,0.14800000000000002,0.0015990000000000028,0.439842,565.9944800000001,0.811805,0.011193999999999968,0.004093999999999999,0.06105200000000002,0.0016540000000000007,1.1558039999999998,0.006898999999999993
QA207_2,0.7984660000000001,0.14837500000000003,0.0015310000000000028,0.43695500000000004,565.2793300000001,0.7984660000000001,0.00984599999999997,0.005391999999999996,0.05966700000000003,0.001937999999999998,1.1597330000000001,0.009221999999999992
QA217_2,0.6155219999999999,0.13045400000000004,0.0032579999999999853,0.33705299999999994,377.8166859999999,0.6155219999999999,0.010790999999999969,0.004499999999999997,0.05039700000000001,0.001933999999999999,0.4531029999999999,0.009506999999999993
QA319_2,0.6873689999999999,0.14458600000000002,0.0052629999999999795,0.3703269999999999,329.215795,0.6873689999999999,0.015882999999999967,0.004765999999999995,0.05368100000000002,0.0008920000000000016,0.4552789999999999,0.006613999999999993
QA188_2,0.4811369999999999,0.12720200000000004,0.0037829999999999912,0.27365699999999993,162.64927500000002,0.4811369999999999,0.02181899999999997,0.004708999999999997,0.05186700000000002,0.0015359999999999996,0.299602,0.009652999999999995
QAptm_2,0.811805,0.14800000000000002,0.0015990000000000028,0.439842,565.9944800000001,0.811805,0.011193999999999968,0.004093999999999999,0.06105200000000002,0.0016540000000000007,1.1558039999999998,0.006898999999999993
QA471_2,0.6822299999999999,0.15572500000000003,0.0038779999999999813,0.3769739999999999,336.4294279999999,0.6822299999999999,0.015429999999999966,0.003700999999999998,0.05276600000000002,0.001062000000000002,0.507997,0.005309999999999996
QA314_2,0.701915,0.14817500000000006,0.003505999999999986,0.3677609999999999,320.028685,0.701915,0.017576999999999968,0.004389999999999998,0.05306100000000002,0.0010780000000000021,0.44606699999999994,0.007678999999999993
QA110_2,0.853826,0.15969800000000003,0.004433999999999981,0.4308989999999999,519.823859,0.853826,0.018030999999999967,0.004988999999999998,0.09897000000000002,0.004344999999999999,0.5565370000000001,0.017302999999999992
