group,oligo_gdtha,tm_score,T1212_lddt,T1212_rmsd,oligo_gdtts
QA148_2,0.08886300000000001,0.005363000000000009,0.004194000000000008,2.8541850000000006,0.061034000000000005
QA029_2,0.1869409999999999,0.03597399999999998,0.027578999999999965,62.924490000000006,0.14606700000000003
QA446_2,0.09283999999999998,0.008178999999999997,0.008857999999999996,12.757529,0.06031900000000007
QA273_2,0.11307400000000002,0.007635999999999994,0.0024590000000000046,4.245684999999999,0.07897799999999999
QA212_2,0.05345399999999998,0.004652999999999997,0.00915,9.532099,0.03336400000000003
QA312_2,0.04673299999999998,0.0038229999999999974,0.002276000000000004,2.7299110000000004,0.032277000000000014
QA164_2,0.012694999999999996,0.00022500000000000037,0.0004660000000000008,0.150542,0.006369000000000012
QA345_2,0.09754300000000002,0.005546000000000009,0.00020800000000000037,2.6088749999999994,0.06761999999999999
QA264_2,0.08854800000000002,0.007101000000000003,0.00038800000000000076,3.2642620000000004,0.06341
QA393_2,0.05602999999999998,0.0035099999999999966,0.0019390000000000034,2.544802999999999,0.038849000000000015
QA051_2,0.072048,0.007154999999999992,0.00019300000000000035,3.220231000000001,0.053686000000000005
QAptm_2,0.09807200000000002,0.007021000000000001,0.0015260000000000028,3.702646,0.067378
QA188_2,0.06136299999999999,0.003411000000000006,0.0020240000000000037,2.906203,0.040106000000000024
QA471_2,0.09283999999999998,0.008178999999999997,0.008857999999999996,12.757529,0.06031900000000007
QA331_2,0.09621800000000001,0.006378000000000001,0.001254000000000002,3.727462,0.06632500000000001
QA425_2,0.10359800000000002,0.00603100000000001,0.0002490000000000004,2.808384,0.07313499999999999
QA110_2,0.033394999999999966,0.001689000000000003,0.002110000000000004,1.665011,0.02269100000000004
QA314_2,0.09092600000000002,0.005761000000000011,0.000594000000000001,3.1171770000000008,0.06220999999999999
QA050_2,0.049410999999999976,0.0013590000000000026,0.0009620000000000017,0.785671,0.02885100000000005
QA122_2,0.09223600000000003,0.007381999999999983,0.00041800000000000073,3.5009669999999997,0.06518700000000001
QA476_2,0.12194199999999997,0.015272999999999988,0.0028340000000000054,7.727652,0.09266400000000008
QAplddts_2,0.10627300000000003,0.006875000000000003,0.0012690000000000021,4.158766000000001,0.07370099999999999
QA217_2,0.1869409999999999,0.03597399999999998,0.027578999999999965,62.924490000000006,0.14606700000000003
QA443_2,0.069492,0.0041670000000000075,0.0006100000000000012,2.2045620000000006,0.048686999999999994
QA272_2,0.10627300000000003,0.006875000000000003,0.0012690000000000021,4.158766000000001,0.07370099999999999
QA319_2,0.09389100000000002,0.005132000000000009,0.0003510000000000006,2.4552300000000002,0.06392499999999998
