group,dockq_ave,T1249v2_rmsd,T1249v2_lddt,T1249v2_ilddt,qs_global,oligo_gdtha,T1249v2_ics,dockq_wave,oligo_gdtts,tm_score,qs_best,T1249v2_ips
QA312_2,0.12503499999999995,0.9098399999999998,0.005962000000000011,0.03706300000000001,0.055577999999999995,0.002849000000000005,0.028014999999999998,0.12405599999999996,0.0018180000000000034,0.0011630000000000021,0.114859,0.07866899999999998
QA212_2,0.12965399999999996,0.7367540000000007,0.0020670000000000037,0.061395000000000005,0.062555,0.0012790000000000021,0.029769999999999998,0.12866099999999997,0.0023010000000000044,0.002358000000000004,0.18789,0.103482
QA273_2,0.11720999999999997,0.027745000000000103,0.0014580000000000025,0.017066000000000005,0.020025999999999995,0.0007180000000000013,0.025849,0.11624299999999996,0.0004920000000000009,0.00023300000000000043,0.04637,0.005974999999999994
QA446_2,0.4016139999999999,4634.071575,0.670481,0.205188,0.103187,0.207322,0.030505000000000004,0.39989499999999994,0.731943,1.5428199999999999,0.3887069999999999,0.145092
QA029_2,0.11841199999999996,0.05226100000000012,0.004056000000000007,0.02133800000000001,0.022253999999999996,0.0010180000000000018,0.026069000000000002,0.11748299999999996,0.0007290000000000013,0.0003120000000000006,0.054034,0.010643
QA080_2,0.12511499999999998,0.7980850000000004,0.002886000000000005,0.024455000000000005,0.042119,0.002370000000000004,0.023927,0.12414199999999996,0.0014830000000000025,0.0019060000000000036,0.07277600000000001,0.029930999999999992
QA148_2,0.12503499999999995,0.9098399999999998,0.005962000000000011,0.03706300000000001,0.055577999999999995,0.002849000000000005,0.028014999999999998,0.12405599999999996,0.0018180000000000034,0.0011630000000000021,0.114859,0.07866899999999998
QA051_2,0.13481899999999997,1.0497380000000007,0.0025810000000000047,0.024972000000000008,0.043144,0.002849000000000005,0.026369999999999998,0.13382599999999997,0.0021510000000000036,0.002430000000000004,0.07780800000000002,0.029942999999999994
QA393_2,0.12282699999999996,0.5032470000000002,0.005563000000000011,0.03867800000000001,0.054536999999999995,0.002618000000000005,0.028014999999999998,0.12185999999999995,0.001531000000000003,0.0008300000000000015,0.11951200000000001,0.075581
QA264_2,0.12503499999999995,0.9098399999999998,0.005962000000000011,0.03706300000000001,0.055577999999999995,0.002849000000000005,0.028014999999999998,0.12405599999999996,0.0018180000000000034,0.0011630000000000021,0.114859,0.07866899999999998
QA345_2,0.12703399999999995,0.8334860000000005,0.0021500000000000035,0.02188200000000001,0.04087299999999999,0.0027570000000000047,0.024589999999999997,0.12607899999999994,0.001656000000000003,0.0019470000000000034,0.068316,0.030425999999999998
QA050_2,0.11944299999999995,0.06096900000000044,0.00029700000000000055,0.041838,0.045904,0.0002960000000000005,0.030505000000000004,0.11849399999999996,0.0003900000000000007,0.00031300000000000056,0.14561800000000003,0.061128999999999996
QA314_2,0.12503499999999995,0.9098399999999998,0.005962000000000011,0.03706300000000001,0.055577999999999995,0.002849000000000005,0.028014999999999998,0.12405599999999996,0.0018180000000000034,0.0011630000000000021,0.114859,0.07866899999999998
QA110_2,0.10581299999999998,0.6266430000000003,0.008146,0.013267000000000004,0.038586999999999996,0.002439000000000004,0.020038999999999998,0.10492999999999998,0.0010180000000000018,0.0006490000000000011,0.044812,0.032582999999999994
QA425_2,0.12716799999999995,0.8342860000000006,0.002138000000000004,0.023072000000000002,0.041394999999999994,0.0027670000000000047,0.024669999999999997,0.12617899999999996,0.0016520000000000029,0.0019570000000000034,0.070134,0.030369999999999994
QA331_2,0.12590199999999996,0.665866,0.0035050000000000064,0.023874000000000006,0.042398,0.002237000000000004,0.025599,0.12490899999999996,0.0013800000000000028,0.001643000000000003,0.07084700000000001,0.026742999999999996
QA471_2,0.12939999999999996,0.5192129999999998,0.005098000000000009,0.027006000000000006,0.040407,0.004041000000000007,0.027654,0.12840099999999996,0.0020790000000000036,0.0015820000000000027,0.076855,0.019290999999999996
QA188_2,0.35530299999999987,3593.036833,0.325013,0.08085600000000001,0.071385,0.17616600000000002,0.022934999999999997,0.35369399999999984,0.5443040000000001,0.9887370000000002,0.27709900000000004,0.10626300000000001
QA319_2,0.11959599999999997,0.37111600000000006,0.005792000000000011,0.022990000000000007,0.038154,0.0036580000000000063,0.023920999999999998,0.11863899999999998,0.001674000000000003,0.001110000000000002,0.06837399999999999,0.014133999999999997
QA272_2,0.13247799999999998,0.6242580000000003,0.0045990000000000085,0.02336300000000001,0.040612999999999996,0.0026500000000000048,0.029647,0.13148299999999996,0.0017230000000000032,0.0015900000000000029,0.065355,0.029329999999999995
QA443_2,0.12897499999999998,0.9397270000000009,0.004034000000000007,0.019884000000000006,0.035243000000000003,0.0032310000000000056,0.026708999999999997,0.12800999999999996,0.0023420000000000042,0.0024980000000000046,0.060742000000000004,0.025162
QA217_2,0.11841199999999996,0.05226100000000012,0.004056000000000007,0.02133800000000001,0.022253999999999996,0.0010180000000000018,0.026069000000000002,0.11748299999999996,0.0007290000000000013,0.0003120000000000006,0.054034,0.010643
QA476_2,0.3637029999999999,3515.190912,0.337927,0.081681,0.073738,0.17581900000000003,0.025370000000000004,0.3620479999999999,0.5653840000000001,1.0783790000000002,0.289034,0.116591
QA122_2,0.13036999999999999,0.6036980000000007,0.0032570000000000056,0.023628000000000007,0.0331,0.004218000000000007,0.025096,0.12938699999999997,0.0033030000000000056,0.002673000000000005,0.06583500000000002,0.010972999999999997
