group,dockq_wave,H1233_rmsd,H1233_ilddt,H1233_lddt,H1233_ips,dockq_ave,oligo_gdtha,H1233_ics,qs_best,qs_global,tm_score,oligo_gdtts
QA050_2,0.077636,129.21401199999997,0.10988299999999995,0.006486999999999972,0.032513999999999994,0.01949,0.059480999999999985,0.09242100000000009,0.013944000000000024,0.009796999999999993,0.011281000000000001,0.028781
QA314_2,0.0014950000000000028,45.94410299999999,0.017437999999999967,0.014148999999999969,0.047822,0.0013780000000000025,0.0018690000000000004,0.08023000000000005,0.2545660000000001,0.08202599999999997,0.011618000000000003,8.500000000000014e-05
QA110_2,0.006561999999999998,561.98251,0.034308999999999965,0.0050049999999999765,0.020889000000000005,0.0025840000000000004,0.01489,0.06873500000000006,0.16532600000000008,0.05638799999999998,0.012135000000000003,0.002822999999999994
QA425_2,0.02466799999999999,104.26416699999994,0.04629399999999997,0.01154899999999997,0.04932700000000001,0.006695000000000001,0.03318599999999999,0.07456800000000006,0.1504180000000001,0.05346299999999998,0.013810000000000006,0.011203999999999999
QA331_2,0.001085000000000002,114.13658799999997,0.017244999999999965,0.012822999999999968,0.03781199999999999,0.001093000000000002,0.0013810000000000025,0.09625700000000008,0.29694200000000015,0.09504699999999998,0.009673000000000001,3.000000000000005e-05
QA471_2,0.014040999999999984,346.88235699999996,1.4469599999999998,2.223939,0.287582,0.002755000000000005,0.09791899999999998,1.0659840000000003,1.7788120000000003,0.809962,0.01667900000000001,0.041419
QAiptm+ptm_2,0.043363,409.56431100000003,0.07695899999999997,0.008742999999999973,0.04619000000000002,0.013698000000000009,0.035157999999999995,0.12432000000000007,0.19686700000000007,0.07970199999999998,0.013183000000000005,0.013922
QAptm_2,0.026729999999999986,548.2620709999999,0.05769999999999996,0.006224999999999975,0.02204900000000001,0.007166000000000006,0.03594299999999999,0.10374300000000006,0.20083400000000012,0.068214,0.013179000000000007,0.014299
QA188_2,0.081727,275.02154099999996,0.08472099999999996,0.012766999999999968,0.035445,0.022022999999999997,0.053521999999999986,0.09247200000000005,0.034228000000000015,0.017716999999999993,0.014519000000000002,0.024564
QA319_2,0.022082999999999985,95.72631700000001,0.041878999999999965,0.008483999999999974,0.046464000000000005,0.005142000000000004,0.02888599999999999,0.059145000000000066,0.14108200000000007,0.05094599999999998,0.013140000000000006,0.010471
QA443_2,0.17294699999999996,400.98911,0.20029399999999994,0.03803399999999995,0.06534200000000001,0.039954,0.09398999999999999,0.13451600000000005,0.11373100000000005,0.05949599999999999,0.058871000000000014,0.072599
QA272_2,0.0006550000000000012,351.933916,0.012651999999999969,0.006016999999999976,0.021490000000000006,0.0007940000000000014,0.0028420000000000008,0.059461000000000055,0.18537100000000006,0.06112899999999998,0.011207000000000002,0.00021300000000000038
