group,oligo_gdtha,qs_best,tm_score,dockq_wave,T1235_lddt,T1235_rmsd,oligo_gdtts,T1235_ips,qs_global,dockq_ave,T1235_ics,T1235_ilddt
QA331_2,0.27679800000000004,0.502828,0.018465999999999982,0.8020799999999998,0.07616300000000001,44.73973599999999,0.13678699999999996,0.016145999999999976,0.5546109999999999,1.323207,0.46302600000000005,0.36869999999999997
QA425_2,0.21263199999999993,0.46278699999999984,0.01984399999999999,1.0979649999999996,0.071138,66.23162299999998,0.09628800000000003,0.009372999999999986,0.4561139999999998,1.875234,0.319323,0.3990140000000001
QAmean_plddt_2,0.252164,0.3662580000000001,0.01300599999999999,0.6077509999999999,0.05961800000000002,31.395141999999996,0.11544599999999997,0.010302999999999991,0.40615999999999985,1.1179800000000002,0.35411400000000004,0.305467
QA171_2,0.0006510000000000012,2.8000000000000047e-05,0.0,1.600000000000003e-05,0.0009890000000000018,0.000325999999999995,8.000000000000015e-06,0.0002400000000000004,1.4000000000000025e-05,0.0034039999999999878,4.200000000000008e-05,0.0011940000000000024
QA110_2,0.16898599999999997,0.5425609999999998,0.03232399999999997,2.028879,0.10161,436.215067,0.09309400000000002,0.21959299999999993,0.5327279999999999,2.7649830000000004,0.34491800000000006,0.44377100000000014
QA314_2,0.27271,0.06159999999999999,0.0033370000000000058,0.2626179999999999,0.037747000000000065,6.574371999999999,0.10465300000000002,0.019712999999999967,0.06423399999999999,0.93078,0.10437100000000003,0.20230299999999996
QA050_2,0.318986,0.06617899999999999,0.0030800000000000055,0.24400999999999995,0.03930700000000005,5.5882190000000005,0.12559700000000004,0.016344999999999974,0.06959999999999995,0.8623060000000001,0.11838100000000003,0.19512000000000004
QA114_2,0.4213699999999999,0.178443,0.008809999999999998,0.2893569999999999,0.13352200000000009,11.469162,0.22763699999999998,0.019993999999999998,0.1996179999999999,0.843407,0.25482100000000013,0.4733399999999999
QA300_2,0.22040099999999996,0.3738409999999999,0.022400999999999983,1.333475,0.08526600000000005,264.16278900000003,0.10450699999999999,0.16218599999999997,0.3780469999999999,1.9714899999999997,0.28619600000000006,0.39044699999999993
QA188_2,0.099815,0.1724519999999999,0.005125999999999996,0.46611099999999983,0.026387000000000046,33.330839000000005,0.041402999999999995,0.00973699999999999,0.1784429999999999,0.965222,0.14489400000000008,0.151334
QAptm_2,0.18373299999999998,0.10960100000000002,0.002264000000000004,0.21422999999999992,0.041079000000000046,4.71001,0.064391,0.007372999999999982,0.12517099999999992,0.7224740000000001,0.1645620000000001,0.19801
QA471_2,0.2222379999999999,0.566515,0.036301999999999966,2.077555,0.10833500000000001,443.59057299999995,0.12159700000000004,0.2151369999999999,0.5564579999999999,2.787614,0.358625,0.4621900000000001
QAiptm+ptm_2,0.17894699999999997,0.10953900000000003,0.002228000000000004,0.21335399999999993,0.03906300000000004,4.65709,0.06376100000000001,0.006898999999999983,0.12504699999999994,0.7210920000000001,0.1643380000000001,0.19722
QA217_2,0.34101,0.614635,0.03776199999999997,1.9775019999999996,0.11622600000000005,393.87417899999997,0.18086899999999997,0.16201599999999997,0.604166,2.7668700000000004,0.353698,0.4733180000000001
QA272_2,0.252164,0.3662580000000001,0.01300599999999999,0.6077509999999999,0.05961800000000002,31.395141999999996,0.11544599999999997,0.010302999999999991,0.40615999999999985,1.1179800000000002,0.35411400000000004,0.305467
QA443_2,0.308893,0.5465229999999999,0.03841899999999997,2.07918,0.11687700000000004,447.423655,0.19023,0.26130099999999995,0.5366499999999998,2.8082860000000003,0.35812600000000006,0.487838
QA319_2,0.22344399999999995,0.4919819999999998,0.020614999999999963,1.1348619999999996,0.07522400000000001,71.74265299999999,0.09799900000000003,0.013506999999999965,0.48263699999999976,1.906678,0.32427300000000003,0.42868600000000007
QA122_2,0.23542599999999997,0.5281469999999998,0.03666199999999997,2.018696999999999,0.10943500000000002,440.707266,0.13309900000000002,0.19542099999999993,0.5184459999999999,2.7549,0.31497400000000003,0.42149400000000004
QA476_2,0.29850099999999996,0.24040599999999995,0.013319999999999993,0.726059,0.07643000000000007,100.216567,0.16081499999999999,0.05441099999999995,0.23728199999999994,1.2833129999999997,0.14647600000000008,0.284918
QAiptm_2,0.17894699999999997,0.10953900000000003,0.002228000000000004,0.21335399999999993,0.03906300000000004,4.65709,0.06376100000000001,0.006898999999999983,0.12504699999999994,0.7210920000000001,0.1643380000000001,0.19722
QA207_2,0.24780600000000003,0.3668380000000001,0.01290599999999999,0.59489,0.06283800000000002,31.229084,0.11356699999999997,0.012442999999999975,0.4111149999999998,1.1066820000000002,0.3561060000000001,0.32333999999999996
QA446_2,0.218454,0.3817220000000001,0.012718999999999989,0.6034679999999999,0.057679000000000015,31.078709999999997,0.10141899999999997,0.010484999999999987,0.4171469999999998,1.1528780000000003,0.37625700000000006,0.284795
QA212_2,0.726556,1.3863079999999999,0.500741,2.4855259999999997,0.1952580000000001,904.92067,0.7836309999999999,0.6652880000000001,1.3724709999999998,3.0252209999999997,1.1068920000000002,1.115679
QA337_2,0.319796,0.8162079999999998,0.028295999999999967,1.2894629999999996,0.09147000000000001,73.376672,0.169676,0.040706999999999965,0.9006839999999998,1.921342,0.750164,0.5103709999999999
QA273_2,0.28380399999999995,0.5583429999999999,0.02199399999999998,1.2093629999999995,0.11295500000000004,105.86889099999998,0.13581800000000005,0.03538699999999998,0.5557469999999999,1.9505789999999998,0.4334840000000001,0.48278200000000004
QA312_2,0.167816,0.5451849999999999,0.03429999999999997,2.0608979999999995,0.10686600000000003,437.24894699999993,0.10084800000000002,0.23259199999999994,0.5353139999999998,2.7676849999999993,0.38394300000000003,0.448751
QA148_2,0.2005189999999999,0.5373589999999998,0.03444699999999997,2.0596429999999994,0.10352700000000002,439.364348,0.11746000000000004,0.277122,0.5275619999999999,2.783393,0.348058,0.4526980000000001
QA080_2,0.276502,0.5008760000000002,0.018465999999999982,0.8020799999999998,0.07586100000000001,44.679928,0.13651099999999997,0.01614599999999998,0.5530389999999998,1.321443,0.462722,0.36845199999999995
QA029_2,0.34101,0.614635,0.03776199999999997,1.9775019999999996,0.11622600000000005,393.87417899999997,0.18086899999999997,0.16201599999999997,0.604166,2.7668700000000004,0.353698,0.4733180000000001
