group,oligo_gdtha,H1265_ilddt,oligo_gdtts,H1265_ips,dockq_ave,tm_score,qs_global,dockq_wave,H1265_ics,H1265_lddt,qs_best,H1265_rmsd
QA029_2,0.024012000000000006,0.268724,0.045195999999999986,0.03709400000000001,0.15347400000000003,0.05559500000000002,0.563655,0.21335300000000001,0.6446740000000001,0.6916920000000001,0.558553,1235.3485549999998
QA148_2,0.014785000000000001,0.024614000000000004,0.023952999999999995,0.036851,0.011885000000000003,0.322427,0.005621,0.021466000000000013,0.012444000000000004,0.12986299999999998,0.005706,39482.130768999996
QA312_2,0.023242,0.156652,0.046155,0.03362999999999999,0.151975,0.02288600000000001,0.278242,0.19782600000000003,0.40097799999999995,0.16382599999999997,0.27248700000000003,404.85663000000005
QA273_2,0.025380000000000003,0.09405700000000002,0.05148699999999999,0.029098,0.084204,0.054697000000000016,0.13405,0.12943900000000003,0.26493500000000003,0.181531,0.13019099999999997,561.7473689999999
QA212_2,0.04058300000000001,0.408846,0.08354400000000001,0.019865999999999998,0.26493300000000003,0.5302600000000001,1.0496320000000001,0.39426700000000003,0.976605,2.323283,1.050595,1772.4597679999997
QAmean_plddt_2,0.018454,0.014180000000000002,0.03978199999999999,0.010526,0.016491,0.054732,0.002261000000000004,0.023282000000000004,0.034613,0.01166900000000002,0.002141000000000004,2321.091322
QA264_2,0.013192000000000002,0.03523000000000001,0.022187,0.04378,0.014339000000000001,0.31631800000000004,0.008718,0.025038000000000005,0.026832,0.17469399999999996,0.008827,39440.860825
QA345_2,0.021178,0.07827500000000001,0.03776699999999999,0.02927400000000002,0.08047900000000001,0.049362,0.07113099999999999,0.118269,0.17835800000000002,0.07127500000000002,0.070532,560.868821
QA164_2,0.014886000000000003,0.011643000000000006,0.03022499999999999,0.021394000000000007,0.005285999999999997,0.285216,0.005061999999999999,0.010134000000000004,0.0018510000000000035,0.07560000000000003,0.005153,36167.378906
QA051_2,0.024554000000000006,0.22384600000000007,0.051664999999999996,0.02757900000000001,0.14034900000000003,0.05169,0.5454610000000001,0.19738299999999998,0.568727,0.610087,0.5421909999999999,1492.3399710000003
QA393_2,0.014785000000000001,0.024614000000000004,0.023952999999999995,0.036851,0.011885000000000003,0.322427,0.005621,0.021466000000000013,0.012444000000000004,0.12986299999999998,0.005706,39482.130768999996
QAiptm+ptm_2,0.025380000000000003,0.09405700000000002,0.05148699999999999,0.029098,0.084204,0.054697000000000016,0.13405,0.12943900000000003,0.26493500000000003,0.181531,0.13019099999999997,561.7473689999999
QAptm_2,0.025380000000000003,0.09405700000000002,0.05148699999999999,0.029098,0.084204,0.054697000000000016,0.13405,0.12943900000000003,0.26493500000000003,0.181531,0.13019099999999997,561.7473689999999
QA188_2,0.014091000000000003,0.018618000000000003,0.02924199999999999,0.020650000000000005,0.010889999999999997,0.194863,0.010626999999999996,0.018613000000000005,0.0035630000000000063,0.07230600000000001,0.010554999999999998,23743.416654999994
QA050_2,0.015813000000000004,0.049493000000000016,0.033997999999999994,0.058656999999999994,0.047675000000000016,0.025922999999999998,0.081216,0.06620700000000002,0.126411,0.003226999999999995,0.080097,1238.350434
QA110_2,0.020559,0.228742,0.04483499999999999,0.03274699999999999,0.1274,0.07583000000000001,0.5737559999999999,0.16773300000000002,0.603079,0.4739669999999999,0.5705549999999999,1450.7404230000004
QA314_2,0.019769000000000005,0.07489400000000002,0.03526599999999999,0.028214,0.072815,0.031866,0.14265999999999998,0.111654,0.284706,0.12170700000000001,0.14084299999999997,600.9490090000002
QA331_2,0.024554000000000006,0.22384600000000007,0.051664999999999996,0.02757900000000001,0.14034900000000003,0.05169,0.5454610000000001,0.19738299999999998,0.568727,0.610087,0.5421909999999999,1492.3399710000003
QA425_2,0.022602000000000004,0.08081400000000001,0.041896,0.027252000000000016,0.08284300000000001,0.05948200000000001,0.10228999999999998,0.122754,0.20519199999999999,0.103784,0.10050299999999998,647.841065
QA207_2,0.021285000000000005,0.09295499999999998,0.043977999999999996,0.019946000000000005,0.076991,0.07345000000000002,0.18981399999999998,0.115593,0.24333900000000003,0.28380500000000003,0.18750199999999997,1668.1502650000002
QA476_2,0.015898000000000002,0.013233999999999998,0.03040499999999999,0.017595000000000003,0.009235000000000004,0.250902,0.009050999999999998,0.017593000000000004,0.0018620000000000032,0.087707,0.009173999999999998,30601.61837499999
QAiptm_2,0.025380000000000003,0.09405700000000002,0.05148699999999999,0.029098,0.084204,0.054697000000000016,0.13405,0.12943900000000003,0.26493500000000003,0.181531,0.13019099999999997,561.7473689999999
QA122_2,0.025380000000000003,0.09405700000000002,0.05148699999999999,0.029098,0.084204,0.054697000000000016,0.13405,0.12943900000000003,0.26493500000000003,0.181531,0.13019099999999997,561.7473689999999
QA319_2,0.020071000000000002,0.073077,0.033928999999999994,0.030963000000000004,0.07123100000000002,0.041874,0.10650199999999999,0.10578299999999999,0.21927400000000002,0.11014600000000005,0.10478799999999999,702.284741
QA443_2,0.025380000000000003,0.09405700000000002,0.05148699999999999,0.029098,0.084204,0.054697000000000016,0.13405,0.12943900000000003,0.26493500000000003,0.181531,0.13019099999999997,561.7473689999999
QA217_2,0.024012000000000006,0.268724,0.045195999999999986,0.03709400000000001,0.15347400000000003,0.05559500000000002,0.563655,0.21335300000000001,0.6446740000000001,0.6916920000000001,0.558553,1235.3485549999998
