group,oligo_gdtts,H1258_rmsd,qs_global,H1258_lddt,oligo_gdtha,dockq_ave,qs_best,H1258_ilddt,H1258_ips,dockq_wave,tm_score,H1258_ics
QA207_2,0.00556700000000001,147.817718,0.026500000000000003,0.0007480000000000014,0.010181999999999995,0.020726000000000005,0.0016350000000000028,0.005939,0.019379000000000018,0.017655,0.004742000000000008,0.02773199999999999
QA476_2,0.007990000000000014,363.72134299999993,0.005905999999999995,0.0006280000000000012,0.013766999999999998,0.0014870000000000026,0.00019600000000000035,0.0026379999999999967,0.004555000000000002,0.001142999999999996,0.009671000000000016,0.0002260000000000004
QAmean_plddt_2,0.005896000000000011,403.01207100000005,0.9683250000000001,0.003951000000000007,0.009723999999999993,0.22087400000000001,1.167167,0.481821,0.39127200000000006,0.215502,0.005402000000000009,0.7231299999999998
QA272_2,0.005896000000000011,403.01207100000005,0.9683250000000001,0.003951000000000007,0.009723999999999993,0.22087400000000001,1.167167,0.481821,0.39127200000000006,0.215502,0.005402000000000009,0.7231299999999998
QA319_2,0.020189999999999993,760.0168359999999,1.4489450000000001,0.0029670000000000052,0.03271299999999999,0.379687,1.8319419999999997,0.8065500000000001,0.9196510000000001,0.365166,0.011183000000000021,1.1346459999999998
QA217_2,0.700978,3241.572811,1.394044,0.08932299999999999,0.5340419999999999,0.12670299999999998,1.368304,0.37979199999999996,0.4022750000000001,0.128271,0.42401500000000014,0.9306339999999997
QA471_2,0.576233,999.8782860000001,2.166507,0.856282,0.48855699999999996,0.5432339999999999,2.6999060000000004,1.138954,0.874635,0.51829,0.2346200000000001,1.6502659999999998
QAptm_2,0.008482000000000014,740.953187,1.2678090000000002,0.004508000000000007,0.013997999999999997,0.315507,1.565617,0.6824250000000001,0.6943010000000001,0.30723900000000004,0.01163500000000002,0.8830029999999998
QA188_2,0.142842,1363.8730119999998,0.116955,0.006978999999999995,0.11751799999999997,0.014754999999999994,0.199054,0.06152500000000001,0.06453100000000003,0.016135000000000004,0.09481500000000004,0.021316000000000005
QA050_2,0.021472999999999964,716.4843329999999,2.0408649999999997,0.002937000000000005,0.03459500000000001,0.494365,2.577246,1.056784,1.3878900000000003,0.470775,0.011619000000000022,1.58621
