group,tm_score,T1272s6_rmsd,T1272s6_lddt,oligo_gdtts,oligo_gdtha
QA051_2,0.0007010000000000012,0.5353280000000001,0.0005139999999999903,0.0019749999999999815,0.003285000000000006
QA393_2,0.0015190000000000026,0.6810470000000002,0.005850999999999974,0.00766999999999997,0.01718500000000003
QA264_2,0.0018870000000000033,0.7386160000000002,0.004268999999999976,0.010650999999999968,0.024646000000000043
QA164_2,0.0007450000000000013,0.5742130000000001,0.0005469999999999897,0.001605999999999983,0.002482000000000004
QA345_2,0.0007950000000000014,0.57576,0.00039399999999999093,0.0019629999999999813,0.0038390000000000065
QA273_2,0.0007950000000000014,0.6193379999999999,0.0012909999999999866,0.0019339999999999817,0.004267000000000008
QA212_2,0.0003900000000000007,0.360085,0.0002829999999999949,0.0011919999999999878,0.002423000000000004
QA312_2,0.0013040000000000024,0.4960860000000002,0.003379999999999978,0.00879099999999997,0.023111000000000038
QAplddts_2,0.0006780000000000012,0.552463,0.0003589999999999916,0.0019849999999999816,0.003298000000000006
QA148_2,0.0004890000000000008,0.10364799999999999,0.0017759999999999822,0.003769999999999981,0.013680000000000024
QA029_2,0.0007950000000000014,0.6930310000000001,0.0020579999999999843,0.0017889999999999824,0.003374000000000006
QA443_2,0.0006820000000000012,0.5296699999999999,0.0003469999999999924,0.0017779999999999823,0.003875000000000007
QA319_2,0.0008220000000000014,0.58043,0.0004779999999999902,0.0018909999999999817,0.003522000000000006
QA207_2,0.0008200000000000015,0.5921260000000003,0.0004639999999999902,0.00234399999999998,0.004395000000000007
QA122_2,0.0007700000000000014,0.7374160000000003,0.002866999999999979,0.00247299999999998,0.004347000000000008
QA476_2,0.0011680000000000022,0.37392200000000003,0.003230999999999979,0.00892199999999997,0.024253000000000042
QA050_2,0.0006910000000000012,0.21187500000000015,0.0019339999999999817,0.005099999999999975,0.015457000000000028
QA331_2,0.0008200000000000015,0.6036790000000002,0.00048699999999999005,0.00230699999999998,0.004461000000000008
QA425_2,0.0007700000000000014,0.564113,0.00037899999999999116,0.001653999999999983,0.003492000000000006
QA110_2,0.0012550000000000022,0.7403950000000002,0.002932999999999979,0.0048329999999999745,0.009944000000000017
QA314_2,0.0012860000000000024,0.9411360000000001,0.003004999999999978,0.005126999999999974,0.010099000000000018
QAptm_2,0.0014190000000000023,0.6024300000000002,0.006420999999999975,0.0055699999999999725,0.015421000000000027
QA188_2,0.000547000000000001,0.09496300000000005,0.0017559999999999826,0.005403999999999976,0.018620000000000032
