group,H1213_rmsd,H1213_ips,H1213_lddt,oligo_gdtts,H1213_ics,oligo_gdtha,qs_best,H1213_ilddt,qs_global,dockq_ave,tm_score,dockq_wave
QAiptm_2,2.5157220000000002,0.010490999999999973,0.0007550000000000013,0.029867000000000015,0.0017760000000000033,0.03056600000000001,0.002799000000000005,0.007734999999999997,0.004040000000000007,0.009621999999999997,0.0020200000000000036,0.011082999999999997
QA476_2,4.025173,0.008902999999999972,0.0020600000000000037,0.07332999999999996,0.009498000000000017,0.08594199999999999,0.004208000000000007,0.019537999999999986,0.005864000000000011,0.02417300000000001,0.0032349999999999953,0.017942000000000034
QA122_2,18.905199999999997,0.04595999999999998,0.0015040000000000027,0.22314499999999995,0.015403000000000026,0.24321600000000002,0.01607900000000003,0.042394999999999974,0.03181899999999998,0.13920300000000002,0.015925999999999964,0.089939
QA319_2,0.269421,0.011661999999999968,0.0002610000000000005,0.002998999999999996,0.0006360000000000011,0.004799000000000005,0.00027100000000000046,0.0021970000000000036,0.001313000000000002,0.003773000000000007,0.00013200000000000023,0.0015710000000000025
QA272_2,16.194688,0.03645499999999998,0.0008740000000000016,0.21177400000000002,0.01912200000000003,0.22246000000000005,0.021299,0.04375299999999997,0.025774000000000005,0.115724,0.015308999999999994,0.09790900000000005
QA443_2,15.029285000000002,0.03356599999999997,0.0012780000000000022,0.15264199999999992,0.019453000000000033,0.17240300000000008,0.008362000000000015,0.03707499999999997,0.019927999999999987,0.10296800000000003,0.012984999999999976,0.063602
QA217_2,12.708223,0.02290199999999997,0.0009990000000000018,0.145479,0.009890000000000019,0.15919700000000003,0.012563000000000006,0.03304099999999998,0.016936,0.096937,0.011075999999999994,0.06327900000000004
QA471_2,7.879335,0.03412199999999997,0.00012900000000000024,0.13954999999999995,0.019032000000000035,0.15212300000000004,0.007714000000000013,0.032630999999999966,0.015110000000000026,0.08544600000000001,0.006094000000000011,0.05816400000000002
QA188_2,7.038815,0.015023999999999968,0.001154000000000002,0.09287699999999995,0.02081500000000001,0.104815,0.008899999999999998,0.018260999999999996,0.016116999999999992,0.05144000000000002,0.0060299999999999885,0.040027000000000035
QAptm_2,8.269606,0.027685999999999968,0.0014860000000000025,0.08789,0.00587400000000001,0.08899300000000002,0.009434000000000017,0.019571999999999982,0.014525000000000007,0.031119999999999988,0.007175000000000002,0.034658999999999995
QA050_2,897.6127809999999,0.13405899999999993,0.0031330000000000056,0.31079399999999996,0.07854100000000006,0.256211,0.133282,0.16193799999999997,0.14467000000000002,0.21503,0.13476100000000002,0.20435900000000004
QA314_2,103.294843,0.04702999999999998,0.002426000000000004,0.5144189999999998,0.05153400000000001,0.4467130000000001,0.053889999999999987,0.090063,0.05898999999999998,0.405409,0.10550300000000004,0.1786020000000001
QA110_2,0.4118359999999999,0.007185999999999972,6.400000000000012e-05,0.0020700000000000037,0.0008130000000000014,0.0014379999999999961,7.100000000000013e-05,0.006592000000000011,0.0002170000000000004,0.004279000000000008,0.00019000000000000034,0.0015990000000000028
QA425_2,5.594718999999998,0.008457999999999972,7.800000000000013e-05,0.07921800000000004,0.006532000000000012,0.086428,0.004460000000000008,0.016890999999999982,0.0051820000000000095,0.046627,0.004141000000000007,0.024998000000000048
QA331_2,28.137989000000005,0.08028799999999994,0.0019630000000000034,0.32114200000000004,0.030759000000000057,0.32937799999999995,0.04080699999999999,0.06106699999999998,0.05917399999999999,0.143139,0.029691999999999965,0.14130500000000007
QA264_2,54.607293999999996,0.044997999999999976,0.0028180000000000054,0.44311899999999993,0.044848000000000054,0.41441300000000014,0.037040999999999984,0.09731300000000002,0.04185799999999998,0.307919,0.061389,0.1695750000000001
QA345_2,8.905410999999997,0.01050999999999997,6.600000000000011e-05,0.12035500000000005,0.009274000000000017,0.130505,0.0068630000000000115,0.02725799999999997,0.007947000000000013,0.074114,0.006561000000000011,0.04070200000000005
QA164_2,21.038828000000002,0.048946999999999984,0.0009750000000000017,0.1884249999999999,0.03418200000000006,0.206679,0.011728000000000021,0.032505999999999965,0.02998499999999997,0.13465000000000005,0.018642999999999965,0.07603
QA051_2,10.232790999999999,0.019908999999999975,0.0004030000000000007,0.11925200000000001,0.01074600000000002,0.127998,0.009442000000000018,0.03019399999999997,0.012685000000000004,0.071176,0.008230000000000003,0.04483600000000004
