group,dockq_wave,qs_global,dockq_ave,tm_score,T1206_ics,T1206_ilddt,oligo_gdtts,T1206_rmsd,qs_best,T1206_lddt,T1206_ips,oligo_gdtha
QA264_2,0.0011899999999999973,0.00014300000000000025,0.0011899999999999973,2.3000000000000044e-05,0.0026659999999999852,0.009913000000000017,0.0006790000000000012,0.05598500000000002,0.00011700000000000021,0.003435000000000006,0.005168999999999979,0.004955000000000009
QA345_2,0.004535999999999975,8.200000000000015e-05,0.004535999999999975,0.00013600000000000024,0.002145999999999996,0.007897000000000015,0.001663000000000003,0.4183710000000001,7.300000000000013e-05,0.005958000000000011,0.008772999999999972,0.01180400000000002
QA164_2,0.9938369999999996,0.719054,0.9938369999999996,0.008081000000000014,0.7480990000000001,0.28579400000000005,0.023427999999999966,133.25338999999997,0.6323559999999999,0.10963900000000003,0.5714679999999999,0.11173100000000004
QA051_2,0.005689999999999978,0.00031700000000000055,0.005689999999999978,0.00019400000000000035,0.004280999999999976,0.02828600000000005,0.003341000000000006,0.465298,0.0002870000000000005,0.013925000000000024,0.006945999999999971,0.01700000000000003
QA393_2,0.0062729999999999765,5.800000000000011e-05,0.0062729999999999765,0.00012800000000000024,0.007127999999999977,0.004394000000000007,0.0019170000000000033,0.3477010000000001,5.800000000000011e-05,0.0061640000000000115,0.009577999999999977,0.014630000000000027
QA029_2,0.004189999999999975,8.400000000000014e-05,0.004189999999999975,0.00012500000000000022,0.001729000000000003,0.0032620000000000058,0.001733000000000003,0.40539900000000006,8.400000000000014e-05,0.0051420000000000085,0.006049999999999977,0.009816000000000017
QA080_2,1.0424469999999997,0.700159,1.0424469999999997,0.009002000000000017,0.796079,0.24340900000000015,0.030845999999999967,135.045835,0.6167379999999999,0.08977700000000001,0.5708269999999999,0.14584400000000008
QA148_2,0.0033139999999999776,6.600000000000011e-05,0.0033139999999999776,0.00012500000000000022,0.0009750000000000017,0.0025470000000000046,0.0015170000000000027,0.38210000000000005,6.600000000000011e-05,0.004149000000000008,0.005634999999999979,0.007177000000000013
QA312_2,1.256113,1.070829,1.256113,0.010371000000000019,1.092746,0.24262500000000015,0.024649999999999967,135.788476,0.9786899999999998,0.07467,0.7747809999999999,0.06336700000000006
QA212_2,0.662866,0.5503270000000001,0.662866,0.00522600000000001,0.5491309999999999,0.11697800000000008,0.01420999999999998,80.478261,0.49580299999999994,0.039036000000000015,0.40386399999999995,0.04826300000000002
QA273_2,0.0045179999999999795,0.00021900000000000036,0.0045179999999999795,0.00016200000000000028,0.0031469999999999923,0.02430200000000001,0.0018180000000000032,0.4392780000000001,0.00013100000000000023,0.07842400000000004,0.015426999999999967,0.019891000000000034
QA337_2,0.0059939999999999724,0.0001890000000000003,0.0059939999999999724,0.00011700000000000019,0.006839999999999978,0.013913000000000026,0.0016710000000000028,0.33695200000000003,0.0001800000000000003,0.01159500000000002,0.010977999999999969,0.008846000000000015
