group,tm_score,H1223_rmsd,H1223_lddt,H1223_ics,qs_best,oligo_gdtts,dockq_wave,qs_global,H1223_ilddt,H1223_ips,oligo_gdtha,dockq_ave
QAptm_2,0.1910909999999999,120.37789599999999,0.008378999999999996,0.09398999999999999,0.28062699999999996,0.623782,0.427304,0.24216500000000007,0.03949699999999997,0.06433500000000004,0.571995,0.4200360000000001
QA300_2,0.08660599999999997,33.831615000000006,0.006463999999999992,0.09095899999999998,0.23288999999999993,0.314166,0.225978,0.18736200000000003,0.03890199999999997,0.11963700000000005,0.39857000000000004,0.32725000000000004
QA188_2,0.11119099999999993,59.86880000000001,0.00535499999999999,0.10459799999999998,0.28410599999999997,0.40571500000000005,0.272911,0.25033000000000005,0.03232299999999998,0.07528600000000003,0.442103,0.3348210000000001
QAiptm+ptm_2,0.1887509999999999,122.09812500000001,0.008983999999999985,0.09756199999999998,0.301712,0.6266139999999999,0.43199800000000005,0.26089400000000007,0.04186899999999997,0.06451100000000004,0.573353,0.4275310000000001
QA471_2,0.1379909999999999,47.77723600000001,0.006526000000000013,0.12607000000000002,0.310672,0.39868900000000007,0.293755,0.2697350000000001,0.03853799999999997,0.11900500000000004,0.49735,0.38278700000000004
QA110_2,0.20163199999999992,138.30758,0.0044020000000000075,0.08591399999999996,0.21220099999999992,0.680879,0.43114699999999995,0.182203,0.027068999999999968,0.011380000000000022,0.5692870000000001,0.3780880000000001
QA314_2,0.19416299999999992,124.64554300000002,0.006304999999999992,0.08471400000000001,0.27965999999999996,0.63128,0.42540900000000004,0.2403340000000001,0.030531999999999976,0.03973900000000004,0.5500630000000001,0.40085100000000007
QA171_2,0.12298999999999989,52.035353,0.002849000000000005,0.048297000000000034,0.13131099999999993,0.41404800000000014,0.270468,0.11449499999999999,0.025636999999999965,0.07237400000000001,0.479093,0.3398150000000001
QA331_2,0.1952619999999999,135.331212,0.004966000000000009,0.08881199999999997,0.20873899999999995,0.664909,0.432124,0.187014,0.027410999999999967,0.021758000000000038,0.5713320000000001,0.358414
QA425_2,0.1944699999999999,133.180245,0.006988000000000003,0.09742099999999998,0.28929099999999996,0.6678869999999999,0.45339599999999997,0.2499000000000001,0.038362999999999974,0.07819800000000005,0.5801310000000001,0.4250400000000001
QA050_2,0.12701899999999994,49.52611,0.0017810000000000035,0.07590700000000003,0.21495599999999992,0.41304700000000005,0.28419,0.19291500000000003,0.020913999999999967,0.11046300000000003,0.4932,0.35534200000000005
QA114_2,0.12242299999999992,43.79791600000001,0.0076539999999999915,0.102934,0.2203249999999999,0.375815,0.271702,0.19399500000000006,0.03549499999999997,0.08807100000000004,0.462538,0.355275
QA476_2,0.09808599999999995,33.477154,0.0019440000000000032,0.070841,0.17362899999999992,0.3534550000000001,0.208741,0.15392200000000003,0.020619999999999968,0.055460000000000016,0.431025,0.262838
QA122_2,0.19454199999999994,143.687815,0.006806000000000001,0.07173100000000004,0.17744999999999994,0.682363,0.432629,0.150675,0.02928499999999997,0.021442000000000037,0.5781600000000001,0.37467700000000004
QA207_2,0.1964969999999999,120.54455300000001,0.006366000000000002,0.08667699999999998,0.24409899999999995,0.6396799999999999,0.419323,0.21536500000000006,0.03178199999999997,0.05469400000000005,0.5727420000000001,0.3782320000000001
QA217_2,0.20537699999999992,151.078263,0.006068000000000011,0.09885799999999999,0.2722379999999999,0.7047789999999999,0.484244,0.2310460000000001,0.03269199999999997,0.07400000000000004,0.5876640000000001,0.4502320000000001
QA319_2,0.19486299999999993,140.16208899999998,0.008176999999999997,0.104171,0.322237,0.663341,0.4632339999999999,0.27915300000000015,0.041057999999999976,0.06831700000000007,0.580794,0.4625080000000001
QA443_2,0.1985099999999999,145.050257,0.00556200000000001,0.09316199999999998,0.26179199999999997,0.6804159999999999,0.481024,0.22185700000000005,0.03052799999999997,0.10341200000000006,0.5836180000000001,0.47075700000000015
QA272_2,0.08393399999999998,46.020203,0.002703000000000005,0.08592999999999999,0.24600599999999995,0.28429099999999996,0.23426300000000005,0.20458200000000004,0.027429999999999965,0.10286600000000003,0.35566200000000003,0.363646
QA029_2,0.20537699999999992,151.078263,0.006068000000000011,0.09885799999999999,0.2722379999999999,0.7047789999999999,0.484244,0.2310460000000001,0.03269199999999997,0.07400000000000004,0.5876640000000001,0.4502320000000001
QA148_2,0.1696849999999999,102.06936599999999,0.0030070000000000053,0.06333800000000006,0.15187099999999992,0.570685,0.407925,0.13218799999999997,0.02609799999999997,0.07284700000000002,0.5439570000000001,0.4217150000000001
QA080_2,0.1547969999999999,72.46239899999999,0.003974000000000007,0.10210199999999998,0.2617859999999999,0.39277600000000007,0.32705100000000004,0.21562200000000006,0.03002099999999997,0.10432600000000003,0.486049,0.43362400000000006
QA446_2,0.18361899999999992,77.994269,0.007663999999999985,0.11229399999999999,0.25587699999999997,0.4484390000000001,0.369902,0.21731000000000006,0.03382999999999997,0.10733000000000002,0.549393,0.45337700000000014
QAiptm_2,0.1910549999999999,121.97752200000001,0.007982999999999994,0.09226099999999998,0.299724,0.633037,0.42751,0.2595290000000001,0.03929799999999997,0.06498300000000004,0.573377,0.41366300000000006
QAmean_plddt_2,0.08393599999999998,45.801953,0.002703000000000005,0.08593,0.24596399999999996,0.28429099999999996,0.23426100000000005,0.20455600000000002,0.027401999999999965,0.10298600000000001,0.355686,0.36352600000000007
QA312_2,0.1926449999999999,125.024827,0.006961,0.051269000000000016,0.14687499999999995,0.6416649999999999,0.39165900000000003,0.12395300000000002,0.025887999999999974,0.024763000000000042,0.55783,0.34823900000000013
QA337_2,0.10516599999999991,54.677066,0.004995000000000008,0.097046,0.23778399999999994,0.346401,0.269212,0.20071500000000003,0.03219399999999997,0.10840900000000005,0.437588,0.38152500000000006
QA273_2,0.20241599999999993,151.476839,0.007893999999999974,0.07286799999999999,0.25244599999999995,0.6672790000000001,0.457979,0.2182230000000001,0.04223499999999998,0.06384300000000001,0.564127,0.43147599999999997
QA212_2,0.10626599999999994,36.827993000000006,0.002061000000000004,0.03574600000000004,0.072021,0.40686,0.187311,0.056503000000000025,0.012450999999999969,0.01934700000000003,0.47092200000000006,0.182707
QA345_2,0.19449999999999992,133.14083300000001,0.006994000000000004,0.09722699999999998,0.28934299999999996,0.6679010000000001,0.45215399999999994,0.2499800000000001,0.03829299999999997,0.07808800000000005,0.5801710000000001,0.4229900000000001
QA164_2,0.09794499999999995,37.275187,0.009320999999999982,0.119381,0.34414,0.323255,0.243442,0.30052200000000007,0.05054699999999998,0.092668,0.40872700000000006,0.349573
QA264_2,0.1928999999999999,110.24409700000001,0.0033969999999999972,0.03412900000000002,0.08000199999999998,0.6204029999999999,0.307128,0.06612500000000004,0.01564299999999997,0.014117000000000025,0.5439050000000001,0.20248600000000005
QA393_2,0.12162599999999996,80.050999,0.005472000000000011,0.09150100000000003,0.26707699999999995,0.460859,0.318241,0.22465500000000005,0.03865099999999997,0.07500900000000003,0.45923800000000004,0.3784100000000001
QA051_2,0.1960499999999999,117.827271,0.004411999999999999,0.05058300000000003,0.19959199999999988,0.592727,0.384188,0.17000300000000004,0.020436999999999973,0.04603600000000005,0.522074,0.36284700000000003
