group,T1259_ilddt,qs_global,oligo_gdtha,tm_score,qs_best,T1259_ips,oligo_gdtts,T1259_lddt,dockq_ave,dockq_wave,T1259_ics,T1259_rmsd
QA080_2,0.08982700000000002,0.07035100000000007,0.039616000000000005,0.5827849999999999,0.21504799999999996,0.064349,0.02331899999999997,0.028891000000000028,0.4412130000000002,0.4412130000000002,0.144046,12.228862000000003
QA446_2,0.05255900000000003,0.01669800000000001,0.015783000000000005,0.584003,0.072249,0.01098900000000002,0.009926999999999983,0.021033999999999997,0.14667000000000005,0.14667000000000005,0.03790100000000001,3.6736719999999994
QAiptm+ptm_2,0.06744800000000001,0.014354000000000026,0.029645999999999995,1.4591249999999996,0.030681999999999966,0.06198900000000001,0.00799399999999997,0.027406000000000028,0.10503600000000003,0.10503600000000003,0.09638400000000003,2.4415160000000005
QA312_2,0.015451000000000008,0.0020240000000000037,0.004156000000000007,0.2863169999999999,0.006317999999999981,0.022492000000000005,0.002101999999999995,0.0075240000000000055,0.008202000000000015,0.008202000000000015,0.007798000000000015,0.3304460000000001
QA212_2,0.168122,0.04045100000000004,0.082764,0.002722000000000005,0.13803899999999994,0.034723,0.028591999999999968,0.05318600000000002,0.410007,0.410007,0.08708500000000001,11.736979000000002
QA273_2,0.164221,0.08985000000000005,0.09166800000000003,0.8857839999999998,0.277568,0.05670099999999999,0.037800999999999974,0.10698799999999999,0.5047810000000001,0.5047810000000001,0.15202100000000002,16.191838
QA337_2,0.154846,0.09813400000000004,0.11786400000000004,0.884695,0.296127,0.06749399999999998,0.042441999999999966,0.05498200000000003,0.5289080000000003,0.5289080000000003,0.16585,15.696945000000001
QA345_2,0.02236200000000001,0.001817000000000003,0.0025290000000000048,0.8748580000000001,0.007002999999999981,0.025653000000000002,0.0026129999999999947,0.010548,0.012147,0.012147,0.008746000000000014,1.016852
QA164_2,0.41760600000000003,0.770703,0.28149399999999997,0.21426299999999993,3.082702,0.722334,0.274443,0.4671240000000001,1.588402,1.588402,0.97523,517.9077209999999
QA264_2,0.01766999999999999,0.012675000000000013,0.003270000000000006,0.5735799999999999,0.005077999999999982,0.02822199999999999,0.0018229999999999928,0.0075800000000000025,0.009644000000000015,0.009644000000000015,0.027455000000000014,0.3574300000000002
QA393_2,0.12386000000000003,0.05907300000000004,0.052090999999999985,1.1841450000000002,0.25064699999999995,0.031279,0.027938999999999967,0.04961300000000003,0.4916950000000002,0.4916950000000002,0.10230100000000003,14.568939000000004
QA051_2,0.07467600000000006,0.021646000000000012,0.025339999999999994,0.29059900000000005,0.11469099999999999,0.010690000000000019,0.01568599999999999,0.03521099999999998,0.20660100000000006,0.20660100000000006,0.044315,6.256119999999999
QAmean_plddt_2,0.12103799999999999,0.07805400000000005,0.08388000000000004,0.583575,0.24512199999999998,0.06545100000000001,0.034742999999999975,0.04385500000000003,0.4596540000000001,0.4596540000000001,0.15668500000000002,13.403475000000002
