group,qs_best,dockq_wave,T1237_ics,T1237_ips,qs_global,tm_score,T1237_ilddt,oligo_gdtts,dockq_ave,T1237_rmsd,T1237_lddt,oligo_gdtha
QAptm_2,0.0026140000000000048,0.0017760000000000033,0.06000700000000011,0.031019000000000012,0.05852499999999999,0.0006360000000000011,0.001630000000000003,0.02916599999999997,0.001706000000000003,1.8465699999999998,0.0008350000000000014,0.03532399999999998
QA188_2,0.007017000000000012,0.002920000000000005,0.08572200000000006,0.03053800000000003,0.07109399999999996,0.00025500000000000045,0.0033650000000000064,0.015018999999999979,0.0025280000000000046,0.7245659999999999,0.002386000000000004,0.020190999999999987
QAiptm_2,0.002753000000000005,0.0019360000000000037,0.061911000000000105,0.03346300000000002,0.059646999999999985,0.0006570000000000011,0.0015860000000000028,0.03125299999999997,0.002120000000000004,1.8460479999999997,0.0004870000000000009,0.038873999999999985
QA050_2,0.0028300000000000053,0.0018640000000000032,0.05293100000000009,0.021063000000000037,0.06434,0.0004780000000000009,0.0036710000000000063,0.03174099999999997,0.0018930000000000036,1.3744239999999994,0.0010510000000000018,0.04217199999999997
QA425_2,0.003960000000000007,0.0047300000000000085,0.05353600000000009,0.02198600000000004,0.05473899999999998,0.0009010000000000016,0.0026060000000000046,0.04777299999999997,0.004514000000000008,2.5700779999999996,0.0010140000000000019,0.060112999999999986
QA331_2,0.0036880000000000064,0.002220000000000004,0.061954000000000106,0.036379000000000015,0.06260299999999999,0.0006590000000000012,0.0018400000000000033,0.03621399999999997,0.0019450000000000036,1.9645940000000002,0.0008510000000000015,0.043610999999999976
QA314_2,0.0038250000000000068,0.002230000000000004,0.04822300000000008,0.01738700000000003,0.04865099999999998,0.0006300000000000011,0.0028660000000000053,0.03099499999999997,0.0018020000000000033,1.8458209999999995,0.0009660000000000017,0.03465399999999997
QA110_2,0.003362000000000006,0.002153000000000004,0.06080700000000011,0.034262000000000015,0.05980999999999998,0.0006780000000000012,0.001755000000000003,0.029469999999999972,0.0018660000000000035,2.003619,0.0006110000000000011,0.03459999999999997
QA207_2,0.003127000000000005,0.0018520000000000034,0.059947000000000104,0.035020000000000016,0.06216299999999999,0.0006820000000000012,0.0015950000000000029,0.036968999999999974,0.0017500000000000033,1.970999,0.0008740000000000015,0.04472399999999997
QA122_2,0.0030030000000000052,0.003568000000000006,0.07275900000000006,0.035958000000000025,0.0735,0.0007140000000000013,0.0036370000000000065,0.03050299999999997,0.003254000000000006,2.0887819999999997,0.0007200000000000012,0.03658199999999997
QA476_2,0.004575000000000008,0.0023550000000000042,0.07780700000000007,0.030440000000000033,0.05993699999999995,0.00038300000000000064,0.003217000000000006,0.021470999999999973,0.0022730000000000038,1.083167,0.0019360000000000033,0.028441999999999974
QA443_2,0.004535000000000008,0.009954000000000018,0.042536000000000074,0.01163500000000002,0.012330999999999967,0.001086000000000002,0.014558000000000026,0.05177199999999998,0.009523000000000016,2.83061,0.027405000000000013,0.06522599999999998
QA272_2,0.0024260000000000045,0.001663000000000003,0.0592080000000001,0.028410000000000005,0.05882699999999998,0.0007010000000000012,0.002361000000000004,0.02997099999999997,0.0013840000000000024,2.0373780000000004,0.0009290000000000017,0.03450799999999997
QA319_2,0.003201000000000006,0.002316000000000004,0.0544410000000001,0.03786600000000002,0.05769299999999998,0.0006630000000000012,0.0064120000000000114,0.034942999999999974,0.002417000000000004,1.9305209999999997,0.0014190000000000025,0.04425499999999997
QA148_2,0.003453000000000006,0.0017230000000000032,0.047653000000000084,0.01767200000000003,0.046903999999999973,0.000609000000000001,0.003294000000000006,0.028934999999999968,0.0013920000000000024,1.7820789999999997,0.0015270000000000027,0.03205299999999996
QA273_2,0.006577000000000012,0.18869200000000008,0.08539000000000008,0.05119900000000001,0.05810399999999996,0.15073600000000004,0.12310600000000002,0.39190299999999995,0.18043500000000004,139.21699899999996,0.212503,0.295852
QA212_2,0.0036350000000000063,0.004198000000000007,0.04775500000000009,0.02482300000000004,0.03354599999999997,0.00048100000000000085,0.005102000000000009,0.03235799999999997,0.004101000000000007,1.426955,0.0010360000000000018,0.042894999999999975
