group,oligo_gdtts,tm_score,oligo_gdtha,T1243_rmsd,T1243_lddt
QA393_2,0.0012170000000000022,0.00031499999999999194,0.0024000000000000046,0.13710699999999992,0.0008620000000000015
QA051_2,0.002202000000000004,0.0003729999999999912,0.006576000000000011,0.22304799999999989,0.0011950000000000023
QA164_2,0.0021390000000000037,0.0005019999999999899,0.0030710000000000056,0.2938609999999998,0.00013300000000000022
QA345_2,0.0020980000000000035,0.00042599999999999057,0.006420000000000012,0.23302899999999976,0.0012510000000000023
QA264_2,0.002239000000000004,0.0005459999999999895,0.007366000000000013,0.26971400000000023,0.0006460000000000012
QA446_2,0.0009820000000000018,0.0001769999999999939,0.0017740000000000032,0.10488799999999998,0.0015120000000000025
QA273_2,0.0021510000000000036,0.0005229999999999896,0.006886000000000012,0.2590709999999999,0.0005230000000000009
QA212_2,0.0017440000000000034,0.0003559999999999913,0.004204000000000007,0.183778,0.0007740000000000014
QA312_2,0.0016650000000000028,0.0005269999999999896,0.004274000000000008,0.33121100000000003,0.0009240000000000018
QA148_2,0.0014450000000000025,0.00050299999999999,0.0040620000000000074,0.17103799999999986,0.0008950000000000016
QA029_2,0.0019090000000000036,0.0004399999999999906,0.006005000000000012,0.22594900000000007,0.0008690000000000015
QA217_2,0.0019090000000000036,0.0004399999999999906,0.006005000000000012,0.22594900000000007,0.0008690000000000015
QA443_2,0.0021080000000000035,0.00040699999999999076,0.006388000000000012,0.22749900000000026,0.0012180000000000023
QA272_2,0.0021650000000000037,0.0003729999999999912,0.006448000000000011,0.2246319999999999,0.0012240000000000022
QA319_2,0.0020530000000000036,0.00042599999999999057,0.006418000000000012,0.22399999999999992,0.0012550000000000024
QA122_2,0.002188000000000004,0.00042599999999999057,0.006619000000000012,0.23214600000000016,0.0012200000000000021
QA476_2,0.0018610000000000033,0.0004239999999999906,0.004739000000000009,0.20216099999999987,0.000482000000000001
QAplddts_2,0.002241000000000004,0.00039799999999999097,0.006669000000000012,0.23096699999999987,0.0010810000000000019
QA207_2,0.0021490000000000038,0.0004279999999999906,0.0065380000000000126,0.23305800000000013,0.001075000000000002
QA425_2,0.0020920000000000036,0.00042599999999999057,0.006400000000000012,0.2329409999999998,0.0012530000000000022
QA331_2,0.002147000000000004,0.00042999999999999056,0.006602000000000012,0.2339860000000001,0.0010790000000000018
QA314_2,0.002192000000000004,0.0004909999999999899,0.006594000000000011,0.24525400000000014,0.0010680000000000019
QA110_2,0.0021060000000000037,0.00048299999999999006,0.006651000000000013,0.23070699999999988,0.0004660000000000008
QA050_2,0.001755000000000003,0.00035399999999999137,0.004491000000000008,0.19350900000000013,0.0007450000000000013
QAptm_2,0.002348000000000004,0.0005229999999999896,0.007274000000000013,0.25505900000000004,0.000594000000000001
QA188_2,0.0018870000000000033,0.0005119999999999899,0.004839000000000009,0.2976789999999998,0.0009960000000000017
QA471_2,0.0007570000000000013,0.00030899999999999195,0.0051820000000000095,0.15024499999999977,0.0011710000000000021
