group,tm_score,T1272s9_rmsd,T1272s9_lddt,oligo_gdtts,oligo_gdtha
QA207_2,0.0006640000000000012,0.10042499999999996,0.009718000000000017,0.008948999999999969,0.019175000000000036
QA476_2,0.0030959999999999824,0.7088309999999999,0.006107000000000011,0.015381999999999967,0.027827000000000046
QA122_2,0.0024769999999999927,0.5626789999999998,0.0020040000000000036,0.011513999999999967,0.019822000000000034
QA319_2,0.0002170000000000004,0.01906100000000001,0.009621000000000017,0.006220999999999974,0.012525000000000022
QA443_2,0.0001660000000000003,0.028454000000000007,0.006406000000000011,0.0032379999999999835,0.006874000000000012
QA272_2,0.0006390000000000011,0.10909199999999991,0.007265000000000013,0.00815699999999997,0.01643200000000003
QA471_2,0.062154,11.14613,0.07155500000000004,0.15085099999999993,0.19488200000000014
QAptm_2,0.000586000000000001,0.1453239999999999,0.006217000000000011,0.005300999999999979,0.010709000000000017
QA188_2,0.002274999999999993,0.6063149999999997,0.00594300000000001,0.012540999999999967,0.019886000000000036
QA050_2,0.0027259999999999884,0.870153,0.00553900000000001,0.01350399999999997,0.024223000000000043
QA314_2,9.500000000000017e-05,0.02356499999999995,0.004771000000000008,0.0023349999999999873,0.0043760000000000075
QA110_2,0.000564000000000001,0.10485399999999992,0.009692000000000017,0.006945999999999971,0.011834000000000022
QA425_2,0.0009270000000000016,0.19611699999999996,0.0063010000000000115,0.010328999999999968,0.02054200000000004
QA331_2,0.0007060000000000012,0.15079899999999993,0.007229000000000013,0.007411999999999975,0.014536000000000025
QA264_2,0.004507999999999975,3.5715709999999996,0.022295000000000037,0.020245999999999965,0.034811000000000064
QA345_2,0.0007630000000000013,0.13633399999999998,0.005141000000000009,0.009531999999999968,0.019020000000000033
QA164_2,0.003078999999999982,1.817676,0.018627000000000032,0.013530999999999967,0.02469300000000004
QA051_2,0.0016779999999999972,0.40453099999999986,0.0020800000000000037,0.007892999999999973,0.012823000000000024
QA393_2,8.800000000000016e-05,0.044060999999999975,0.0038310000000000067,0.00018999999999999657,0.00029200000000000054
QA029_2,0.0006899999999999958,0.129786,0.00577400000000001,0.005129999999999983,0.009706000000000017
QAplddts_2,0.0006390000000000011,0.10825199999999992,0.007259000000000013,0.00815699999999997,0.01642400000000003
QA148_2,0.0022939999999999966,0.6078379999999999,0.006764000000000012,0.01114199999999997,0.018646000000000034
QA312_2,0.00011700000000000021,0.00707799999999997,0.009193000000000015,0.004970999999999975,0.01053300000000002
QA273_2,0.002476999999999994,0.46698099999999976,0.0012360000000000023,0.012261999999999967,0.023092000000000043
QA212_2,0.02960299999999998,5.626174,0.03639100000000006,0.09389399999999992,0.12949400000000008
QA446_2,0.056292999999999996,10.433964000000001,0.06631500000000005,0.12592199999999992,0.16594300000000006
