group,oligo_gdtha,oligo_gdtts,T1257_lddt,dockq_ave,T1257_ics,T1257_rmsd,dockq_wave,T1257_ips,qs_best,T1257_ilddt,tm_score,qs_global
QA312_2,0.017949999999999987,0.02725800000000001,0.06402900000000006,0.008257999999999993,0.12893900000000003,8357.999892999998,0.008257999999999993,0.04571499999999998,0.16493600000000008,0.09030600000000001,0.023243000000000007,0.2785289999999999
QA212_2,0.21573499999999998,0.35737300000000005,0.04308400000000001,0.016817999999999993,0.15986100000000003,20531.56877,0.016817999999999993,0.05797299999999998,0.30098000000000014,0.130333,0.21570299999999998,0.3539329999999999
QA446_2,0.277182,0.43585300000000005,0.05875600000000003,0.008376999999999997,0.029177000000000005,21433.371454000004,0.008376999999999997,0.0038550000000000064,0.10052100000000007,0.12281999999999997,0.31572700000000004,0.05284799999999997
QA029_2,0.21796500000000002,0.358138,0.335986,0.07585799999999998,0.8253150000000001,19306.377371,0.07585799999999998,0.076877,1.27888,0.7729060000000001,0.139327,1.21999
QA148_2,0.014908000000000001,0.02409700000000001,0.04652700000000002,0.008761999999999994,0.134975,11897.174143,0.008761999999999994,0.04300499999999999,0.1628740000000001,0.10709899999999999,0.032699000000000034,0.2700169999999999
QA080_2,0.156584,0.2827120000000001,0.05088200000000001,0.013353999999999993,0.14673500000000003,14728.025962,0.013353999999999993,0.05377399999999998,0.2509350000000001,0.147682,0.11860500000000002,0.33749299999999993
QA051_2,0.06494400000000002,0.12295800000000004,0.061045000000000016,0.013605999999999993,0.19231200000000004,9082.438456,0.013605999999999993,0.067562,0.2554030000000001,0.15174200000000002,0.07371699999999999,0.41359599999999985
QA393_2,0.013508000000000011,0.024841000000000012,0.05812100000000002,0.008807999999999993,0.14774300000000004,11223.188431999999,0.008807999999999993,0.045822999999999996,0.1633390000000001,0.121214,0.03730900000000002,0.2811099999999999
QA264_2,0.010924000000000007,0.01724900000000001,0.06567000000000003,0.018435999999999987,0.221489,11537.931102,0.018435999999999987,0.04707899999999999,0.34930300000000014,0.13901200000000002,0.019515000000000005,0.4102149999999999
QA345_2,0.036079,0.06396800000000002,0.029101000000000002,0.0038409999999999946,0.09574400000000004,11005.580455000001,0.0038409999999999946,0.05715099999999998,0.08626800000000004,0.05373800000000001,0.03914,0.23595499999999991
