group,oligo_gdtts,T1272s3_lddt,T1272s3_rmsd,oligo_gdtha,tm_score
QA188_2,0.13886200000000004,0.011752999999999975,385.11315,0.03107499999999999,0.24480700000000005
QAptm_2,0.11690100000000005,0.00809299999999997,236.516297,0.033861999999999996,0.22754700000000005
QA425_2,0.007567000000000014,0.0027659999999999985,11.273625000000003,0.0011479999999999978,0.007995000000000014
QA331_2,0.05906700000000001,0.011638999999999981,78.519915,0.015583000000000001,0.094198
QA314_2,0.157999,0.01237199999999997,539.8286780000001,0.03524599999999999,0.27018200000000003
QA110_2,0.0018600000000000031,0.004212999999999989,0.31502199999999997,0.0020459999999999996,0.004541000000000009
QA050_2,0.08385100000000001,0.012146999999999976,67.10046700000001,0.023557000000000005,0.077135
QA122_2,0.10530200000000002,0.015450999999999968,201.90967299999997,0.025528000000000002,0.17516800000000002
QA476_2,0.12975000000000003,0.011433999999999975,352.867901,0.030234999999999998,0.22162200000000004
QA207_2,0.025326000000000015,0.006102999999999997,34.824191,0.005885999999999999,0.04066800000000001
QA272_2,0.009436000000000017,0.0035649999999999983,15.511758,0.0010409999999999979,0.007542000000000013
QA443_2,0.0016110000000000026,0.0026479999999999984,1.4386660000000002,0.000590999999999999,0.001667000000000003
QA319_2,0.005189000000000009,0.0018420000000000034,3.155240000000001,0.001633999999999998,0.0032050000000000056
QA148_2,0.13495500000000002,0.005844999999999978,589.33969,0.025808,0.23448100000000002
QA029_2,0.08427600000000002,0.01116599999999997,144.43263100000001,0.021300999999999994,0.13978400000000002
QAplddts_2,0.009124000000000016,0.003388999999999998,16.634022000000005,0.000983999999999998,0.008242000000000015
QA212_2,0.004766000000000008,0.003740999999999998,3.1115430000000024,0.001400999999999998,0.0023660000000000044
QA273_2,0.045975000000000016,0.011993999999999975,40.422217,0.014124000000000001,0.047672000000000006
QA312_2,0.14122800000000002,0.011246999999999969,345.06230000000005,0.035479,0.158464
QA164_2,0.003479000000000006,0.0014960000000000028,1.5084479999999996,0.0036239999999999988,0.014966000000000028
QA345_2,0.007091000000000012,0.0020080000000000037,10.960307000000004,0.0011169999999999978,0.005554000000000009
QA264_2,0.10434600000000004,0.0038279999999999916,279.243999,0.024807999999999997,0.27452600000000005
QA393_2,0.01048900000000002,0.00491199999999998,13.987535000000005,0.0014589999999999978,0.0027420000000000053
QA051_2,0.007051000000000012,0.003161999999999993,7.538482999999997,0.001501999999999998,0.015040000000000027
