group,T1272s8_rmsd,tm_score,T1272s8_lddt,oligo_gdtts,oligo_gdtha
QA164_2,0.11124900000000001,0.0001750000000000003,0.001817000000000003,0.001738999999999996,0.003915999999999996
QA345_2,0.03077399999999999,5.200000000000009e-05,0.0004280000000000007,0.000998000000000002,0.0018970000000000033
QA264_2,0.08133999999999994,0.00013800000000000026,0.0035730000000000063,0.0017539999999999973,0.004271999999999985
QA393_2,0.022682999999999995,3.7000000000000066e-05,0.0024740000000000044,0.0006100000000000011,0.0016540000000000031
QA051_2,0.023203999999999975,3.5000000000000065e-05,0.0021880000000000037,0.0007020000000000012,0.001879000000000003
QA148_2,0.14075700000000002,0.0002700000000000005,0.007218000000000002,0.0024489999999999924,0.006731999999999978
QA029_2,0.02544800000000001,3.5000000000000065e-05,0.0005050000000000009,0.0008630000000000016,0.001663000000000003
QA446_2,0.029959000000000003,5.40000000000001e-05,0.0035870000000000064,0.001122000000000002,0.005017999999999974
QA273_2,0.018689999999999995,3.000000000000005e-05,0.0027630000000000046,0.0005140000000000009,0.0013660000000000026
QA212_2,0.020183000000000017,3.2000000000000066e-05,0.0008370000000000015,0.0009150000000000016,0.002350000000000004
QA312_2,0.025120999999999984,4.200000000000008e-05,0.002665000000000005,0.0006870000000000012,0.0017730000000000033
QA122_2,0.019791000000000017,2.5000000000000045e-05,0.0009320000000000017,0.0007400000000000013,0.001827000000000003
QA476_2,0.01646300000000001,2.200000000000004e-05,0.0008550000000000015,0.0004960000000000009,0.0014500000000000027
QAplddts_2,0.01883899999999996,3.5000000000000065e-05,0.0013150000000000024,0.0009300000000000016,0.002165999999999998
QA207_2,0.017467000000000014,3.000000000000005e-05,0.0005250000000000009,0.0010260000000000017,0.0025539999999999985
QA443_2,0.019587000000000025,3.000000000000005e-05,0.0025110000000000045,0.000559000000000001,0.001603000000000003
QA272_2,0.01479399999999997,2.7000000000000046e-05,0.001120000000000002,0.0007860000000000013,0.0018939999999999972
QA319_2,0.034467000000000005,5.200000000000009e-05,0.0004910000000000009,0.001083000000000002,0.0025849999999999988
QAptm_2,0.022788,3.700000000000007e-05,0.004893999999999998,0.0007130000000000012,0.002262999999999992
QA188_2,0.09595500000000007,0.00019000000000000034,0.0035300000000000062,0.002360999999999992,0.0063519999999999775
QA471_2,0.10471,0.00019400000000000035,0.00551700000000001,0.0024269999999999986,0.006699999999999972
QA331_2,0.023506999999999993,4.200000000000007e-05,0.0004030000000000007,0.001080000000000002,0.002373999999999998
QA425_2,0.032253000000000004,5.200000000000009e-05,0.0004470000000000008,0.001019000000000002,0.0019340000000000034
QA110_2,0.10092599999999995,0.00016600000000000032,0.005395000000000009,0.0019629999999999973,0.005163999999999984
QA314_2,0.05549600000000001,9.300000000000016e-05,0.002786000000000005,0.0012130000000000023,0.003098999999999993
QA050_2,0.012710000000000015,2.200000000000004e-05,0.0007660000000000013,0.0006390000000000011,0.002035000000000004
