group,oligo_gdtts,tm_score,oligo_gdtha,T1207_rmsd,T1207_lddt
QA122_2,0.5192690000000002,0.4298780000000001,0.4127260000000001,1183.324107,0.4573020000000002
QA476_2,0.004836000000000009,0.006979000000000013,0.005381000000000009,0.5151720000000001,0.0036550000000000068
QA217_2,0.4806310000000002,0.43586800000000014,0.41972800000000005,287.125834,0.439562
QA272_2,0.5230330000000002,0.4351790000000001,0.41753000000000007,1184.8679789999999,0.4713090000000002
QA443_2,0.5308410000000002,0.4381200000000001,0.44322,1179.170088,0.4603430000000001
QA319_2,0.5140370000000002,0.4298780000000001,0.4028810000000001,1188.241877,0.4713130000000002
QA188_2,0.00572800000000001,0.00643700000000001,0.006553000000000012,0.4507770000000001,0.0032270000000000055
QAptm_2,0.5957460000000001,0.47429500000000013,0.500005,618.3145910000001,0.40587000000000006
QA225_2,0.5268610000000001,0.4357300000000001,0.4293170000000001,1171.603096,0.4640310000000001
QA471_2,0.61419,0.4873860000000002,0.5492170000000001,644.147396,0.562938
QA331_2,0.5140170000000002,0.4298780000000001,0.4029210000000001,1188.241443,0.4713130000000002
QA425_2,0.5586850000000001,0.4513760000000001,0.473411,1170.911269,0.4609680000000001
QA110_2,0.5426210000000002,0.44526800000000016,0.46356800000000004,1182.920766,0.4640650000000001
QA314_2,0.5679090000000001,0.4536820000000001,0.48346,626.045934,0.40623700000000007
QA050_2,0.570805,0.46287300000000015,0.46253600000000006,620.529851,0.38756200000000013
QA164_2,0.5268610000000001,0.4357300000000001,0.4293170000000001,1171.603096,0.4640310000000001
QA264_2,0.39904400000000007,0.38712100000000005,0.4306980000000001,685.3810309999999,0.34933700000000006
QAplddts_2,0.5230330000000002,0.4351790000000001,0.41753000000000007,1184.8679789999999,0.4713090000000002
QA393_2,0.5629660000000002,0.4170750000000001,0.46938300000000005,533.3372370000001,0.49783000000000005
QA051_2,0.5506330000000002,0.4476700000000001,0.4651040000000001,1180.760882,0.47624500000000014
QA148_2,0.42821200000000004,0.397477,0.390706,478.64171600000003,0.40240700000000007
QA029_2,0.4806310000000002,0.43586800000000014,0.41972800000000005,287.125834,0.439562
QA446_2,0.6194700000000001,0.48543900000000023,0.5522520000000002,641.30362,0.5465220000000001
QA212_2,0.01238400000000002,0.008192000000000015,0.01953900000000001,1.4471219999999998,0.023749000000000017
QA273_2,0.5780799999999998,0.46030500000000013,0.493168,1153.417357,0.46459200000000017
QA312_2,0.42821200000000004,0.397477,0.390706,478.64171600000003,0.40240700000000007
