group,dockq_wave,T1234_lddt,qs_global,T1234_rmsd,qs_best,dockq_ave,tm_score,T1234_ics,oligo_gdtha,oligo_gdtts,T1234_ips,T1234_ilddt
QA212_2,0.950048,0.09486899999999993,2.068786,2604.8046940000004,2.067674,0.950048,1.3103679999999998,1.9734729999999998,1.1454749999999998,1.4904419999999998,2.1912939999999996,1.228699
QA273_2,0.13821099999999997,0.05409699999999996,0.7439919999999999,7.247357,0.689643,0.13821099999999997,0.0031509999999999837,0.94965,0.22663899999999992,0.13058599999999995,0.031209000000000015,0.11849500000000003
QA446_2,0.25934599999999997,0.009525999999999969,0.516731,61.497667,0.516731,0.25934599999999997,0.004661999999999974,0.48302199999999984,0.1586609999999999,0.11215700000000002,0.35046499999999997,0.04670999999999998
QA029_2,0.28007799999999994,0.03305199999999997,0.548761,49.969912,0.548761,0.28007799999999994,0.007565999999999972,0.6056309999999999,0.32069899999999996,0.18757199999999993,0.28290100000000007,0.082384
QA080_2,0.750734,0.8295939999999999,1.460923,1090.4014909999999,1.460923,0.750734,0.6526539999999997,1.384869,0.7978679999999999,0.8820749999999999,1.079202,0.703308
QA148_2,0.30418100000000003,0.022878999999999965,0.5211100000000001,67.31812000000001,0.5211100000000001,0.30418100000000003,0.0047219999999999745,0.700168,0.28063299999999997,0.154741,0.43319900000000006,0.08120200000000001
QAiptm_2,0.257391,0.040410999999999975,0.5763229999999999,36.940479999999994,0.5763229999999999,0.257391,0.00864299999999997,0.7043529999999998,0.38015399999999994,0.22617499999999996,0.32597699999999996,0.099198
QA051_2,0.24715099999999998,0.00010100000000000018,0.48773800000000006,52.907623,0.48773800000000006,0.24715099999999998,0.0012299999999999852,0.4969879999999999,0.03389599999999997,0.01728099999999999,0.30923700000000004,0.026860000000000005
QA393_2,0.34722200000000003,0.04185299999999999,0.6290020000000001,110.71955499999999,0.6282749999999999,0.34722200000000003,0.01290899999999997,0.8327689999999999,0.400351,0.26287499999999997,0.5159640000000001,0.19164199999999998
QA264_2,0.33513499999999996,0.027134999999999986,0.5883889999999999,105.94340799999999,0.5883889999999999,0.33513499999999996,0.012189999999999975,0.8011059999999998,0.35738099999999995,0.22839999999999996,0.46561,0.20125600000000002
QA345_2,0.274468,0.041178999999999966,0.523327,41.305333000000005,0.523327,0.274468,0.008873999999999969,0.6590429999999998,0.4042339999999999,0.24039399999999994,0.311061,0.09435000000000002
QA164_2,0.9443269999999999,2.9096159999999998,2.603147,2424.555319,2.6016679999999996,0.945094,2.1022569999999994,2.424387,1.9427,2.550763,1.7553940000000003,1.5087139999999999
QAiptm+ptm_2,0.257611,0.04042299999999997,0.5782149999999999,36.995639999999995,0.5782149999999999,0.257611,0.00864699999999997,0.7040229999999998,0.38010599999999994,0.22617099999999996,0.325897,0.099454
QA050_2,0.521131,0.015113999999999989,1.1270820000000001,106.27020999999999,1.122312,0.521131,0.1874419999999999,1.1647109999999998,0.464786,0.6148990000000001,0.7808180000000001,0.494337
