group,oligo_gdtha,oligo_gdtts,tm_score,T1280_lddt,T1280_rmsd
QA446_2,0.026855999999999967,0.004189000000000007,0.0010350000000000018,0.0063070000000000105,0.874943
QA273_2,0.0029119999999999797,0.00038600000000000065,6.500000000000012e-05,0.0006930000000000012,0.11810500000000006
QA212_2,0.017274999999999967,0.003333000000000006,0.0006590000000000012,0.006621000000000012,0.5896760000000001
QA312_2,0.0018889999999999818,9.800000000000019e-05,2.000000000000004e-05,0.00010800000000000019,0.01976400000000004
QA148_2,0.008921999999999975,0.0013070000000000024,0.00020200000000000038,0.0014990000000000025,0.21372300000000008
QA393_2,0.014552999999999965,0.0014180000000000026,0.00048100000000000085,0.0032910000000000057,0.5012390000000002
QA051_2,0.006370999999999976,0.0006520000000000012,0.00019000000000000034,0.0015910000000000028,0.21993300000000013
QA164_2,0.014310999999999966,0.0025420000000000043,0.00048500000000000084,0.0038860000000000066,0.35000500000000007
QA345_2,0.014453999999999967,0.0015560000000000031,0.0005020000000000008,0.002904000000000005,0.5562710000000003
QA264_2,0.010742999999999968,0.0013520000000000025,0.00042800000000000075,0.005166000000000009,0.5053490000000003
QA425_2,0.013496999999999967,0.001624000000000003,0.000521000000000001,0.0027280000000000047,0.5761830000000002
QA331_2,0.023216999999999967,0.004454000000000008,0.0010000000000000018,0.008346000000000015,1.1574470000000003
QA314_2,0.012444999999999967,0.001158000000000002,0.0004260000000000007,0.0036860000000000065,0.49357900000000016
QA050_2,0.008001999999999974,0.001143000000000002,0.00024100000000000044,0.0017550000000000029,0.29847900000000016
QAptm_2,0.019989999999999966,0.0036940000000000067,0.0008750000000000015,0.006185000000000011,1.015953
QA188_2,0.01968599999999997,0.0026480000000000045,0.0006810000000000013,0.012195000000000022,0.592415
QA471_2,0.010498999999999974,0.001735000000000003,0.0004260000000000008,0.0033010000000000058,0.37772
QA443_2,0.0029119999999999797,0.00038600000000000065,6.500000000000012e-05,0.0006930000000000012,0.11810500000000006
QAplddts_2,0.013385999999999967,0.001587000000000003,0.0005000000000000009,0.003775000000000006,0.5727300000000003
QA319_2,0.013743999999999966,0.0014140000000000025,0.00048100000000000085,0.0031240000000000057,0.5049970000000001
QA122_2,0.017670999999999968,0.0022910000000000044,0.0006250000000000011,0.004645000000000008,0.7027750000000003
QA476_2,0.02355599999999997,0.003430000000000006,0.0008820000000000016,0.013289000000000023,0.7318840000000001
QA207_2,0.015399999999999968,0.002322000000000004,0.0006250000000000011,0.004698000000000009,0.7189650000000003
