group,tm_score,qs_best,T1295_ilddt,oligo_gdtts,T1295_ics,qs_global,dockq_ave,T1295_rmsd,T1295_lddt,dockq_wave,T1295_ips,oligo_gdtha
QA217_2,0.24931999999999999,0.8511189999999997,0.075846,0.06905,0.3893949999999998,0.9080839999999998,0.03858900000000001,3044.3062670000004,0.127228,0.04914100000000001,0.45769399999999993,0.022503000000000006
QA319_2,0.255776,0.1722419999999999,0.05130799999999998,0.078542,0.04224799999999997,0.1722419999999999,0.10199500000000002,1626.5499110000003,0.025507000000000044,0.07180600000000001,0.08299100000000001,0.026822
QA476_2,0.22138399999999997,0.19489599999999993,0.03727499999999998,0.06106700000000001,0.03768899999999996,0.20367499999999994,0.07425600000000002,2837.0668030000006,0.015577000000000027,0.05511400000000001,0.11981899999999998,0.019493
QA207_2,0.25478,0.9530909999999998,0.060999999999999985,0.084799,0.2326479999999999,0.9630219999999996,0.11486700000000002,5179.645373,0.026331000000000018,0.08179500000000002,0.6887510000000001,0.028827000000000002
QA425_2,0.25186,0.29387399999999997,0.06791799999999999,0.085809,0.05780699999999998,0.295343,0.10142900000000002,1681.0288890000002,0.08283,0.06988600000000002,0.1654570000000001,0.029148999999999994
QA331_2,0.251446,0.9849609999999998,0.05914999999999999,0.084759,0.26647599999999994,1.000465,0.11113600000000003,4416.291067999999,0.04783600000000002,0.07672300000000001,0.6686290000000001,0.028968000000000004
QAiptm+ptm_2,0.25478,0.9530909999999998,0.060999999999999985,0.084799,0.2326479999999999,0.9630219999999996,0.11486700000000002,5179.645373,0.026331000000000018,0.08179500000000002,0.6887510000000001,0.028827000000000002
QA314_2,0.25359,0.1711289999999999,0.05218999999999998,0.086064,0.04413499999999998,0.1711289999999999,0.10383200000000004,1558.2580480000004,0.019012000000000036,0.07434600000000002,0.08153099999999999,0.029432999999999994
QA110_2,0.181281,0.2678249999999999,0.05452799999999998,0.06067,0.11059399999999993,0.30702899999999994,0.074731,2032.4564140000002,0.016678000000000005,0.040082000000000007,0.205268,0.020405
QA050_2,0.22701200000000005,0.2907199999999999,0.05245899999999999,0.06016199999999999,0.07080999999999996,0.300511,0.08045000000000002,1807.271421,0.061526000000000025,0.05557300000000001,0.20710700000000004,0.019967
QA188_2,0.220051,0.32198199999999993,0.026965999999999983,0.07021500000000001,0.12534999999999996,0.33566399999999996,0.05297400000000001,1809.181387,0.024784000000000018,0.04277900000000001,0.21438600000000005,0.022356
QAptm_2,0.25478,0.9530909999999998,0.060999999999999985,0.084799,0.2326479999999999,0.9630219999999996,0.11486700000000002,5179.645373,0.026331000000000018,0.08179500000000002,0.6887510000000001,0.028827000000000002
QAiptm_2,0.25478,0.9530909999999998,0.060999999999999985,0.084799,0.2326479999999999,0.9630219999999996,0.11486700000000002,5179.645373,0.026331000000000018,0.08179500000000002,0.6887510000000001,0.028827000000000002
QAmean_plddt_2,0.24256600000000003,0.8869609999999998,0.061069999999999985,0.08498599999999999,0.21052399999999993,0.9042289999999998,0.11281600000000001,5011.777420999999,0.02632300000000002,0.08006800000000001,0.6437970000000002,0.028827000000000002
QA393_2,0.264795,0.17113299999999987,0.051982999999999974,0.085835,0.04408699999999998,0.17113299999999987,0.10403700000000005,1559.2319890000003,0.012358000000000022,0.07441400000000001,0.08054700000000001,0.029133
QA051_2,0.213253,0.6557739999999999,0.054552999999999977,0.071247,0.2482759999999999,0.6629829999999999,0.08487100000000002,2588.8644620000005,0.04371900000000002,0.06410400000000001,0.3701650000000001,0.023616
QA164_2,0.249469,0.1900869999999999,0.05377799999999998,0.085582,0.04351599999999998,0.1910069999999999,0.10140300000000002,1670.9182300000004,0.023433000000000044,0.07037400000000002,0.08867200000000001,0.029456999999999997
QA345_2,0.274519,0.274711,0.05854599999999999,0.085809,0.06315499999999999,0.275717,0.10537800000000003,1651.1720580000006,0.059139000000000004,0.07465300000000002,0.15961000000000009,0.029123
QA264_2,0.186805,0.5886379999999999,0.050877999999999986,0.081082,0.2090429999999999,0.5922819999999999,0.09029700000000002,3494.940955,0.05416500000000002,0.06375200000000002,0.37364600000000003,0.028531
QA212_2,0.284323,0.2279029999999999,0.27411899999999995,0.09005500000000001,0.26691299999999996,0.2433069999999999,0.190786,4610.319343000002,0.26618600000000003,0.21340300000000004,0.371199,0.033426
QA312_2,0.30322499999999997,0.22540999999999992,0.05615099999999998,0.086291,0.04896399999999998,0.22540999999999992,0.10231600000000002,1591.7585550000003,0.04073900000000002,0.07214100000000001,0.12039700000000005,0.029282
QA148_2,0.30396200000000007,0.3033029999999999,0.04704499999999998,0.060766,0.08165199999999993,0.3077759999999999,0.09970100000000003,2778.0999510000006,0.03525000000000004,0.07381200000000002,0.20225200000000004,0.019676000000000006
QA029_2,0.24931999999999999,0.8511189999999997,0.075846,0.06905,0.3893949999999998,0.9080839999999998,0.03858900000000001,3044.3062670000004,0.127228,0.04914100000000001,0.45769399999999993,0.022503000000000006
