group,qs_best,oligo_gdtts,H1204_ics,H1204_ilddt,qs_global,dockq_ave,dockq_wave,oligo_gdtha,H1204_ips,H1204_rmsd,H1204_lddt,tm_score
QA312_2,0.09086500000000004,0.03435899999999996,0.014964999999999968,0.025978999999999967,0.08036799999999998,0.049447999999999964,0.03194199999999997,0.025268,0.053572000000000015,810.843637,0.0021819999999999873,0.20316999999999993
QA212_2,0.2143600000000001,0.03346099999999996,0.08163999999999998,0.07884599999999996,0.19968599999999997,0.057254999999999986,0.03665099999999996,0.027273,0.13031299999999998,1352.3506179999997,0.1719519999999999,0.21676699999999993
QA337_2,0.09960600000000003,0.031884999999999955,0.037705999999999976,0.028452999999999957,0.085936,0.05142099999999998,0.03018599999999997,0.031314999999999996,0.04468200000000004,789.889197,0.04169399999999998,0.18120399999999998
QA273_2,0.2251960000000001,0.07749999999999994,0.04397999999999998,0.050766999999999965,0.183778,0.10541499999999995,0.05614499999999999,0.062675,0.09316799999999999,1148.86566,0.007265999999999972,0.46543499999999993
QA029_2,1.012849,0.17998299999999992,0.8106869999999998,0.43147499999999983,0.893967,0.10344099999999995,0.08626999999999994,0.209123,0.37956400000000007,1039.707355,0.5980539999999999,0.33210100000000004
QA148_2,0.044343000000000056,0.015943999999999965,0.00409199999999998,0.019223999999999963,0.041286999999999976,0.03625499999999997,0.025421999999999965,0.008267999999999992,0.042424000000000045,1103.1706829999998,8.600000000000015e-05,0.20450099999999993
QA080_2,1.436712,0.08508399999999995,1.113195,0.7422459999999999,1.275295,0.068295,0.04258999999999998,0.09982099999999998,0.5411380000000001,541.702299,1.085833,0.18883099999999992
QA393_2,0.3432800000000001,0.035161999999999964,0.23964599999999991,0.07724399999999998,0.33831,0.04642799999999998,0.025194999999999967,0.028999,0.17102100000000003,598.502287,0.13375499999999999,0.20571599999999993
QA164_2,0.04417500000000008,0.016252999999999965,0.005989999999999973,0.018342999999999967,0.041534999999999975,0.03709499999999997,0.025582999999999967,0.007926999999999991,0.037557000000000035,1114.1073720000002,0.00013600000000000022,0.20445299999999994
QA264_2,0.09019200000000001,0.030450999999999964,0.018065999999999968,0.02810099999999996,0.07965799999999999,0.04851499999999996,0.03232999999999997,0.023251,0.04929900000000004,774.808947,0.0016309999999999925,0.190881
