group,dockq_ave,tm_score,dockq_wave,oligo_gdtha,H1208_lddt,H1208_rmsd,qs_best,oligo_gdtts,qs_global,H1208_ics,H1208_ilddt,H1208_ips
QA446_2,0.072759,0.00020600000000000035,0.072759,0.033970999999999967,0.008159000000000015,1.394359,0.035113000000000026,0.010929999999999968,0.054372,0.04468299999999997,0.02931199999999997,0.039360000000000006
QA312_2,0.04212999999999997,0.00025100000000000046,0.04212999999999997,0.026202999999999966,0.004868000000000008,4.945795000000001,0.020371000000000007,0.007698999999999971,0.031666000000000034,0.027576999999999997,0.02442599999999997,0.030826000000000013
QA337_2,0.033911,0.0003350000000000006,0.033911,0.03332099999999997,0.01604400000000003,3.439965000000001,0.010853000000000005,0.010628999999999968,0.022161000000000014,0.029874000000000008,0.064325,0.02747700000000001
QA273_2,0.06271599999999998,0.0009300000000000016,0.06271599999999998,0.03280299999999997,0.009621000000000017,17.547781999999998,0.03216700000000002,0.01451899999999997,0.05804699999999998,0.05317499999999997,0.03336099999999997,0.039330000000000025
QA212_2,0.07814300000000002,0.0004380000000000008,0.07814300000000002,0.04581499999999998,0.03276000000000004,5.328413999999998,0.04803500000000005,0.015579999999999969,0.06971800000000002,0.08951200000000004,0.11557900000000002,0.049386999999999986
QA029_2,0.05843699999999999,0.0002890000000000005,0.05843699999999999,0.02418399999999997,0.01066500000000002,5.882856,0.020735000000000003,0.008662999999999971,0.035130000000000064,0.04457799999999999,0.075759,0.03117400000000003
QAiptm+ptm_2,0.09119500000000003,0.00034000000000000057,0.09119500000000003,0.05212399999999998,0.009259000000000015,1.7288120000000005,0.04939400000000005,0.01829599999999997,0.07488200000000002,0.080508,0.04464299999999999,0.05434599999999998
QA080_2,0.07939900000000001,0.00020800000000000037,0.07939900000000001,0.03332699999999997,0.007398000000000013,1.467812,0.036693000000000024,0.010697999999999968,0.06271099999999999,0.049175999999999984,0.042700999999999975,0.04306700000000001
QA148_2,0.09693100000000002,0.0002340000000000004,0.09693100000000002,0.03959399999999997,0.018503000000000033,1.5931989999999998,0.05919500000000005,0.013494999999999965,0.08746600000000002,0.08691500000000002,0.097776,0.055515999999999975
QA393_2,0.03983599999999998,0.0005160000000000009,0.03983599999999998,0.023078999999999964,0.01063500000000002,10.238101,0.02062400000000002,0.00838999999999997,0.03543900000000003,0.054974,0.051494999999999985,0.030814000000000032
QAmean_plddt_2,0.04050599999999997,0.00018600000000000032,0.04050599999999997,0.032054999999999965,0.004419000000000008,1.24261,0.01917,0.009565999999999969,0.03192600000000003,0.03480999999999997,0.03336099999999997,0.03414100000000001
