group,T1292_rmsd,T1292_lddt,qs_best,dockq_ave,T1292_ilddt,qs_global,T1292_ics,tm_score,oligo_gdtha,T1292_ips,oligo_gdtts,dockq_wave
QA212_2,0.11776800000000005,0.00025000000000000044,0.00015200000000000028,0.010419999999999995,0.0025459999999999853,0.00021900000000000044,0.0035200000000000066,1.700000000000003e-05,0.0011020000000000018,0.009550999999999978,6.200000000000011e-05,0.010419999999999995
QA273_2,0.7170930000000001,0.000497000000000001,0.00041300000000000077,0.05749899999999999,0.004360999999999975,0.0006240000000000012,0.004110000000000008,5.9000000000000106e-05,0.0006250000000000011,0.0072999999999999775,0.00019300000000000033,0.05749899999999999
QA337_2,0.70116,0.0008289999999999971,0.0004650000000000008,0.05339099999999998,0.00823399999999997,0.0008220000000000014,0.00556200000000001,5.9000000000000106e-05,0.0012200000000000021,0.009763999999999969,0.0001820000000000003,0.05339099999999998
QA312_2,0.48489600000000005,0.00014600000000000027,0.0003360000000000006,0.03189199999999999,0.002029999999999984,0.0003270000000000006,0.002936000000000005,4.200000000000007e-05,0.001148000000000002,0.00784199999999997,0.00013000000000000023,0.03189199999999999
QA148_2,0.749742,0.0007320000000000013,0.0005210000000000008,0.04591099999999998,0.006815999999999972,0.0005210000000000008,0.0013510000000000024,5.9000000000000106e-05,0.001630000000000003,0.00799999999999997,0.00020800000000000037,0.04591099999999998
QA029_2,0.6634120000000001,0.0004110000000000008,0.00023500000000000043,0.052974999999999994,0.003237999999999981,0.00024200000000000043,0.0033590000000000056,5.000000000000009e-05,0.0014920000000000029,0.008401999999999975,0.00015800000000000026,0.052974999999999994
QAmean_plddt_2,0.004177000000000007,3.7000000000000066e-05,4.200000000000008e-05,0.0002260000000000004,0.0003490000000000006,6.800000000000012e-05,0.0009720000000000017,2.0000000000000037e-06,0.001168000000000002,0.0020000000000000035,6.000000000000012e-06,0.0002260000000000004
QA393_2,0.6651450000000001,0.00040200000000000077,0.0004110000000000007,0.04707899999999998,0.003703999999999977,0.0005040000000000009,0.006146000000000011,5.9000000000000106e-05,0.0012070000000000021,0.013212999999999968,0.00019300000000000033,0.04707899999999998
QA051_2,0.8196500000000002,0.00029400000000000053,0.0002470000000000004,0.06570899999999999,0.003174999999999978,0.0002470000000000004,0.0045460000000000075,5.9000000000000106e-05,0.0008550000000000015,0.00799999999999997,0.00019300000000000033,0.06570899999999999
QA164_2,0.004181000000000008,7.000000000000013e-05,4.7000000000000085e-05,0.00030600000000000055,0.0006589999999999905,8.200000000000015e-05,0.0012830000000000025,2.0000000000000037e-06,0.001106000000000002,0.0020000000000000035,2.200000000000004e-05,0.00030600000000000055
QA345_2,0.7988200000000001,0.00028700000000000047,0.0002450000000000004,0.06505399999999999,0.0033609999999999773,0.00026000000000000047,0.004077000000000008,5.9000000000000106e-05,0.0007380000000000012,0.008800999999999969,0.00019300000000000033,0.06505399999999999
QA264_2,10.684395000000002,0.007973999999999986,0.04604200000000002,0.3116889999999999,0.10048999999999995,0.04491400000000001,0.052274000000000015,0.0012830000000000025,0.0066249999999999885,0.06952299999999995,0.002358000000000004,0.3116889999999999
QA425_2,0.8004280000000001,0.0002720000000000005,0.0002450000000000004,0.06551199999999999,0.003403999999999977,0.00026000000000000047,0.0042850000000000076,5.9000000000000106e-05,0.0007770000000000014,0.008800999999999969,0.00019300000000000033,0.06551199999999999
