group,tm_score,oligo_gdtha,oligo_gdtts,T1266_lddt,T1266_rmsd
QA443_2,0.0013520000000000025,0.011629000000000006,0.0078070000000000144,0.002894999999999994,0.725931
QA272_2,0.0017820000000000032,0.013292999999999996,0.012140000000000022,0.001167000000000002,0.678186
QAplddts_2,0.0017820000000000032,0.013276999999999997,0.012140000000000022,0.0011670000000000022,0.678066
QA319_2,0.0014940000000000027,0.010087000000000018,0.008525000000000015,0.0018140000000000035,0.5646680000000002
QA217_2,0.0013330000000000024,0.010676999999999992,0.009341000000000016,0.0004710000000000008,0.49981300000000006
QA207_2,0.0017860000000000033,0.014657999999999985,0.013053000000000025,0.0015990000000000028,0.6911959999999999
QA122_2,0.0012630000000000022,0.008302000000000016,0.006365000000000011,0.0009140000000000017,0.4800220000000001
QA476_2,0.005539999999999997,0.044367000000000004,0.03270700000000003,0.014874999999999994,2.327007
QA050_2,0.0013400000000000024,0.009642999999999995,0.008334000000000015,0.0009260000000000018,0.5380660000000002
QA331_2,0.001096000000000002,0.009555000000000004,0.007363000000000014,0.0005370000000000009,0.439727
QA425_2,0.0014150000000000026,0.009571000000000005,0.007942000000000015,0.001018000000000002,0.5463610000000001
QA110_2,0.0015180000000000029,0.015870999999999975,0.01175000000000002,0.006646000000000011,0.6679590000000002
QA314_2,0.0015350000000000025,0.010604000000000006,0.009579000000000018,0.0015190000000000026,0.5819870000000001
QA471_2,0.006839999999999996,0.040406999999999985,0.04047500000000003,0.03084700000000002,38.35494799999999
QAptm_2,0.0014940000000000027,0.018183999999999978,0.013949000000000024,0.005629000000000009,0.653791
QA188_2,0.007679999999999982,0.06406300000000002,0.049959,0.02364099999999999,2.9648190000000003
QA051_2,0.0018680000000000033,0.015048999999999974,0.013365000000000023,0.0018230000000000034,0.7043149999999998
QA393_2,0.19818299999999994,0.18457199999999999,0.2936190000000001,0.21876599999999993,499.67472200000003
QA264_2,0.0013540000000000023,0.008997000000000017,0.008119000000000013,0.0014510000000000026,0.5140780000000001
QA164_2,0.0008770000000000016,0.005062000000000009,0.004942000000000009,0.00044700000000000084,0.32471000000000017
QA345_2,0.0014900000000000026,0.009110000000000016,0.008379000000000015,0.000618000000000001,0.565301
QA273_2,0.001758000000000003,0.01787599999999999,0.013062000000000023,0.0073430000000000014,0.9600740000000001
QA212_2,0.45185799999999987,0.264016,0.4741780000000001,0.42481599999999997,1216.906424
QA312_2,0.0013490000000000023,0.011574000000000004,0.009355000000000016,0.0014740000000000027,0.506661
QA446_2,0.3272739999999999,0.22363199999999997,0.3891000000000001,0.34037899999999993,638.0794
QA148_2,0.0024200000000000046,0.024730000000000002,0.018268000000000034,0.009720999999999994,1.253828
QA029_2,0.0013330000000000024,0.010676999999999992,0.009341000000000016,0.0004710000000000008,0.49981300000000006
