group,oligo_gdtha,T1231_rmsd,oligo_gdtts,T1231_lddt,tm_score
QA476_2,0.2064800000000001,19.169963000000003,0.14403200000000005,0.12871199999999994,0.06024899999999997
QA122_2,0.014248999999999987,0.32491500000000006,0.004780999999999987,0.002307999999999995,0.0013670000000000025
QA217_2,0.071751,2.3457829999999995,0.04140899999999998,0.051810999999999954,0.012212999999999972
QA319_2,0.012252999999999997,0.4935380000000003,0.005018999999999994,0.008502999999999981,0.001957999999999993
QA443_2,0.015609999999999997,0.30044200000000004,0.0049989999999999896,0.0009489999999999975,0.0013130000000000023
QA272_2,0.014994999999999994,0.295759,0.00444299999999999,0.0008449999999999979,0.001244000000000002
QAptm_2,0.015531999999999999,0.3016100000000001,0.00491499999999999,0.0006720000000000012,0.0012970000000000026
QA188_2,0.13026300000000005,7.442322000000001,0.07197300000000001,0.06339899999999997,0.03319899999999998
QA471_2,0.10212399999999998,18.106974,0.05645200000000001,0.07321499999999993,0.040148999999999976
QAplddts_2,0.015174999999999998,0.2909850000000001,0.004694999999999991,0.0008449999999999979,0.0012460000000000023
QA110_2,0.08451399999999998,6.649538,0.04209800000000003,0.05363299999999998,0.022648999999999964
QA314_2,0.012650999999999997,0.39152600000000015,0.005467999999999994,0.004691999999999984,0.0015749999999999983
QA331_2,0.015174999999999998,0.2909850000000001,0.004694999999999991,0.0008449999999999979,0.0012460000000000023
QA425_2,0.015655,0.28927500000000006,0.0046599999999999905,0.0006810000000000013,0.0012560000000000023
QA050_2,0.21854200000000004,11.027779,0.12640600000000002,0.13631099999999993,0.048834999999999976
QA345_2,0.015227999999999997,0.29552200000000006,0.004602999999999991,0.0006980000000000012,0.0012350000000000024
QA164_2,0.11363800000000003,7.100727000000001,0.064325,0.12698799999999996,0.02787899999999997
QA264_2,0.009639999999999998,0.2138820000000001,0.0027009999999999955,0.0007730000000000014,0.0008900000000000016
QA393_2,0.10333599999999998,8.935270999999998,0.054471000000000006,0.07795899999999995,0.023825999999999976
QA051_2,0.05241399999999996,2.0939560000000004,0.02099599999999999,0.017476999999999993,0.008473999999999987
QA029_2,0.071751,2.3457829999999995,0.04140899999999998,0.051810999999999954,0.012212999999999972
QA148_2,0.007848000000000004,0.4068850000000002,0.003211999999999998,0.008973999999999979,0.0014599999999999978
QA446_2,0.5638880000000001,277.0466,0.540386,0.5533149999999999,0.46061799999999986
QA312_2,0.126135,10.631543000000004,0.07514600000000005,0.09361199999999999,0.030037999999999978
QA273_2,0.059349,3.400722,0.03635099999999998,0.03499799999999998,0.013805999999999988
QA212_2,1.603946,883.9408359999999,1.734636,1.3550279999999997,1.4519600000000001
