group,H1267_ics,H1267_ilddt,H1267_rmsd,H1267_ips,tm_score,H1267_lddt,dockq_ave,dockq_wave,oligo_gdtts,qs_global,qs_best,oligo_gdtha
QA312_2,0.0,1.1000000000000001e-05,197.74546700000002,0.005758999999999999,1.2731389999999996,0.0004329999999999989,0.023132000000000014,0.05080000000000001,0.0007849999999999992,0.0,0.0,0.0019059999999999984
QA212_2,0.0,1.1000000000000001e-05,237.225328,0.025515000000000003,1.2999039999999995,0.18339699999999998,0.022149000000000012,0.03999800000000001,0.008433999999999999,0.0,0.0,0.018342999999999998
QA273_2,0.0,1.1000000000000001e-05,373.19320500000003,0.00108,0.03235799999999997,0.00031099999999999894,0.011781000000000003,0.01971800000000001,0.00031599999999999933,0.0,0.0,0.0009539999999999986
QA029_2,0.0,1.1000000000000001e-05,281.347542,0.007724,1.2999989999999997,0.023302999999999994,0.02461800000000001,0.04401600000000002,0.005551,0.0,0.0,0.010300999999999996
QA148_2,0.0,1.1000000000000001e-05,201.059088,0.006364,1.2701059999999997,0.0005899999999999981,0.013934000000000012,0.02279,0.0005169999999999996,0.0,0.0,0.0013689999999999978
QA393_2,0.0,1.1000000000000001e-05,199.352342,0.006188999999999999,1.2711149999999996,0.0003569999999999987,0.02200600000000001,0.04872600000000001,0.0007189999999999995,0.0,0.0,0.001881999999999998
QAiptm+ptm_2,0.0,1.1000000000000001e-05,373.2354910000001,0.00015100000000000026,0.017365999999999965,0.00043799999999999905,0.0032160000000000057,0.004642000000000003,0.00011900000000000021,0.0,0.0,0.00018699999999999888
QA051_2,0.0,1.1000000000000001e-05,196.49043500000002,0.005687999999999999,1.2771709999999994,0.0013909999999999977,0.03034300000000001,0.05125800000000001,0.0012869999999999978,0.0,0.0,0.0024999999999999983
QA345_2,0.0,1.1000000000000001e-05,192.971309,0.0059949999999999995,1.2741459999999996,0.0014489999999999978,0.02852500000000001,0.049151,0.0009009999999999978,0.0,0.0,0.001826999999999998
QA164_2,0.0,1.1000000000000001e-05,193.790984,0.006226000000000001,1.2680999999999993,0.0007029999999999981,0.020117000000000006,0.03955100000000001,0.0007879999999999988,0.0,0.0,0.0021509999999999984
QA264_2,0.0,1.1000000000000001e-05,199.53532199999995,0.0065260000000000006,1.2761739999999997,0.0012589999999999978,0.029103000000000007,0.05170300000000001,0.0015149999999999981,0.0,0.0,0.0034189999999999967
QA314_2,0.0,1.1000000000000001e-05,200.05185799999998,0.005814,1.2741439999999997,0.0014159999999999978,0.029554000000000007,0.050884000000000006,0.0010749999999999978,0.0,0.0,0.0023109999999999984
QA110_2,0.0,1.1000000000000001e-05,201.649765,0.0068080000000000016,1.2731329999999996,0.0009529999999999978,0.029711000000000008,0.05397300000000001,0.0012819999999999976,0.0,0.0,0.0032059999999999988
QA425_2,0.0,1.1000000000000001e-05,197.94186799999997,0.005867000000000001,1.2771789999999996,0.0014859999999999977,0.02845000000000001,0.04752600000000001,0.0013799999999999978,0.0,0.0,0.0025839999999999978
QA331_2,0.0,1.1000000000000001e-05,197.16593699999999,0.00583,1.2731329999999996,0.0011019999999999982,0.02662500000000001,0.050502000000000005,0.0008809999999999983,0.0,0.0,0.0019029999999999978
QA050_2,0.0,1.1000000000000001e-05,198.029461,0.005907000000000001,1.2691169999999998,6.399999999999978e-05,0.015728000000000013,0.04472700000000001,0.0003180000000000006,0.0,0.0,0.001201999999999998
QA188_2,0.0,1.1000000000000001e-05,432.8073740000001,0.005097999999999999,1.029421,0.0012599999999999979,0.023766000000000016,0.039277000000000006,0.056603,0.0,0.0,0.041305999999999995
QAptm_2,0.0,1.1000000000000001e-05,373.22528300000005,0.00013500000000000022,0.017341999999999965,0.000437999999999999,0.0032160000000000057,0.004422000000000003,0.00011900000000000021,0.0,0.0,0.00018699999999999888
QAiptm_2,0.0,1.1000000000000001e-05,373.2354910000001,0.00015100000000000026,0.017365999999999965,0.00043799999999999905,0.0032160000000000057,0.004642000000000003,0.00011900000000000021,0.0,0.0,0.00018699999999999888
QA217_2,0.0,1.1000000000000001e-05,281.347542,0.007724,1.2999989999999997,0.023302999999999994,0.02461800000000001,0.04401600000000002,0.005551,0.0,0.0,0.010300999999999996
QA319_2,0.0,1.1000000000000001e-05,200.711499,0.005808000000000001,1.2741379999999998,0.0012859999999999976,0.028811000000000007,0.049935,0.0011659999999999978,0.0,0.0,0.0026379999999999984
QA272_2,0.0,1.1000000000000001e-05,198.78561100000002,0.00597,1.2721299999999998,0.0008349999999999988,0.02409400000000001,0.048739000000000005,0.0007209999999999989,0.0,0.0,0.001671999999999998
QA443_2,0.0,1.1000000000000001e-05,196.843563,0.005556,1.271125,0.000960999999999998,0.02035900000000001,0.040535000000000015,0.0005759999999999987,0.0,0.0,0.0013479999999999983
QA476_2,0.0,1.1000000000000001e-05,422.88323900000006,0.0049570000000000005,0.7794009999999999,0.001978999999999997,0.01822700000000001,0.030965000000000006,0.056691,0.0,0.0,0.040874999999999995
QA122_2,0.0,1.1000000000000001e-05,342.816011,0.006214,1.2751489999999999,0.0004749999999999986,0.01682700000000001,0.03365900000000002,0.00035900000000000005,0.0,0.0,0.000969999999999998
QA207_2,0.0,1.1000000000000001e-05,373.22528300000005,0.00013500000000000022,0.017341999999999965,0.000437999999999999,0.0032160000000000057,0.004422000000000003,0.00011900000000000021,0.0,0.0,0.00018699999999999888
QAmean_plddt_2,0.0,1.1000000000000001e-05,198.78561100000002,0.00597,1.2721299999999998,0.0008349999999999988,0.02409400000000001,0.048739000000000005,0.0007209999999999989,0.0,0.0,0.001671999999999998
