group,H1227_ics,tm_score,H1227_lddt,H1227_ips,H1227_rmsd,H1227_ilddt,qs_best,dockq_ave,dockq_wave,oligo_gdtts,qs_global,oligo_gdtha
QA443_2,0.006345999999999996,0.00014700000000000027,0.0011469999999999874,0.014775000000000003,0.5969689999999999,0.002647999999999989,0.0024860000000000043,0.006101,0.007153999999999997,0.023803000000000005,0.0019949999999999924,0.04617600000000004
QA319_2,0.1449779999999999,0.011536,0.009066999999999971,0.10383500000000004,21.311374999999998,0.06729099999999999,0.27410799999999996,0.20301000000000002,0.2153049999999999,0.2696549999999999,0.296894,0.2944210000000001
QA122_2,0.08034399999999992,0.010566999999999977,0.005326999999999979,0.06418700000000002,16.895908,0.03353199999999999,0.16122199999999998,0.11715100000000003,0.12729799999999997,0.201234,0.168285,0.2169870000000001
QA476_2,0.09141099999999999,0.014153999999999993,0.008652999999999973,0.074823,23.189997999999996,0.04532699999999999,0.20606999999999998,0.170552,0.1668709999999999,0.257142,0.20664899999999994,0.29174500000000014
QA207_2,0.12847499999999995,0.016544999999999987,0.009001999999999968,0.085533,27.159281999999994,0.06347699999999998,0.275431,0.20895500000000006,0.21434599999999995,0.303328,0.28723499999999996,0.32213800000000015
QA331_2,0.1362479999999999,0.01681499999999997,0.00916799999999997,0.10408200000000002,26.917659,0.06053099999999999,0.26381399999999994,0.19972300000000004,0.21520499999999992,0.317266,0.286765,0.33671800000000013
QA425_2,0.12249099999999992,0.012165999999999988,0.0076979999999999705,0.085746,21.645856000000002,0.05878899999999998,0.25735499999999994,0.17959100000000003,0.19938599999999992,0.26978899999999995,0.28093599999999996,0.2925430000000001
QA110_2,0.14741599999999988,0.013276999999999988,0.00738599999999997,0.09589800000000001,22.94605,0.05602299999999998,0.25047099999999994,0.18636900000000003,0.20335399999999992,0.28527399999999997,0.28422,0.3192170000000001
QA314_2,0.03686999999999995,0.002972999999999993,0.0023949999999999874,0.05159800000000002,5.109055,0.015417999999999977,0.049295,0.04056999999999998,0.045810999999999956,0.08023699999999998,0.06010199999999999,0.1017220000000001
QA188_2,0.09141099999999999,0.014153999999999993,0.008622999999999973,0.07478900000000001,23.171734000000004,0.04539899999999998,0.20603399999999994,0.170426,0.16710699999999992,0.257266,0.20698299999999994,0.29140100000000013
QAptm_2,0.13210099999999994,0.015832,0.009343999999999969,0.080634,26.429107000000002,0.06647,0.27545899999999995,0.21142700000000003,0.21607599999999993,0.30158199999999996,0.28816299999999995,0.32620600000000016
QAiptm_2,0.13210099999999994,0.015832,0.009343999999999969,0.080634,26.429107000000002,0.06647,0.27545899999999995,0.21142700000000003,0.21607599999999993,0.30158199999999996,0.28816299999999995,0.32620600000000016
QA471_2,0.03937399999999997,0.0004700000000000008,0.0016499999999999954,0.06896200000000004,1.468055,0.006541999999999972,0.007018,0.019596000000000002,0.029835999999999967,0.078298,0.006286999999999984,0.1575910000000001
QA393_2,0.1323959999999999,0.012705999999999967,0.007725999999999971,0.09052600000000002,22.483087000000005,0.060729999999999985,0.26330299999999995,0.19621100000000005,0.20834799999999992,0.27895499999999995,0.288667,0.30907700000000016
QA051_2,0.026014999999999976,0.002224000000000004,0.0026259999999999816,0.02254000000000001,4.304421999999999,0.01630599999999999,0.056853999999999995,0.04190800000000002,0.043536999999999985,0.059002000000000006,0.063967,0.06995400000000004
QAiptm+ptm_2,0.13210099999999994,0.015832,0.009343999999999969,0.080634,26.429107000000002,0.06647,0.27545899999999995,0.21142700000000003,0.21607599999999993,0.30158199999999996,0.28816299999999995,0.32620600000000016
QA164_2,0.1353429999999999,0.012537999999999988,0.009522999999999969,0.10181800000000002,22.339396999999998,0.062729,0.26850799999999997,0.21525900000000003,0.2145789999999999,0.27431099999999997,0.29451299999999997,0.3017420000000002
QA345_2,0.1330079999999999,0.013127999999999976,0.00809299999999997,0.09731100000000002,23.112912,0.06241399999999998,0.271539,0.19476800000000005,0.21196699999999993,0.278033,0.296317,0.30025500000000016
QAmean_plddt_2,0.1391329999999999,0.012149999999999989,0.009804999999999968,0.10190900000000001,22.258450999999997,0.072173,0.282883,0.22211900000000007,0.22183999999999993,0.26783999999999997,0.306652,0.2945950000000001
QA264_2,0.06114999999999993,0.005094999999999997,0.0038639999999999794,0.061707000000000005,9.113074000000001,0.02803799999999998,0.10423199999999999,0.080379,0.08610799999999995,0.13416299999999998,0.11939099999999997,0.1573900000000001
QA446_2,0.14726099999999992,0.05524400000000003,0.011415999999999968,0.09746900000000001,25.450739000000002,0.08741399999999998,0.301002,0.22465900000000005,0.24571599999999996,0.32165599999999994,0.294743,0.39978700000000017
QA212_2,2.4347069999999995,1.999431,2.8911179999999996,1.2500259999999999,1551.809936,2.5134189999999994,3.2709219999999997,1.0488510000000002,1.0170159999999997,2.3752299999999997,3.193713999999999,1.5916850000000002
QA273_2,0.1281569999999999,0.015127999999999978,0.008057999999999971,0.08473900000000001,24.865052000000002,0.054369999999999974,0.24829599999999993,0.18016900000000002,0.19888499999999992,0.29996999999999996,0.278552,0.3492900000000001
QA312_2,0.025222999999999975,0.0001800000000000003,0.001973999999999985,0.05827900000000001,0.5017430000000002,0.007087999999999971,0.004223999999999996,0.009198999999999995,0.014169999999999973,0.04314099999999998,0.01253099999999997,0.07757500000000006
QA148_2,0.12093999999999992,0.011301999999999975,0.007437999999999971,0.07975200000000003,20.546250999999998,0.057557999999999984,0.25434199999999996,0.18457,0.1972859999999999,0.263051,0.271746,0.28852100000000014
QA029_2,0.1440899999999999,0.013064999999999988,0.008420999999999968,0.10893800000000003,22.942079,0.06307199999999999,0.26760999999999996,0.20482200000000003,0.21495999999999993,0.281009,0.28888299999999995,0.3123610000000001
