group,tm_score,T1272s2_lddt,T1272s2_rmsd,oligo_gdtts,oligo_gdtha
QA029_2,0.0002090000000000004,0.0008240000000000015,363.542131,0.0027590000000000045,0.0033300000000000057
QA148_2,0.00021900000000000036,0.002501000000000004,63.551144,0.0024800000000000043,0.005185000000000009
QA312_2,9.100000000000015e-05,0.0003710000000000007,354.46381399999984,0.005079000000000009,0.008248000000000014
QA212_2,0.0001820000000000003,0.0009350000000000017,41.648716,0.0030980000000000053,0.0034140000000000056
QA273_2,0.00020600000000000035,0.0004710000000000009,33.133319,0.004683000000000008,0.005043000000000009
QA264_2,0.00012800000000000024,0.0003420000000000006,304.77506100000005,0.0026630000000000048,0.003253000000000006
QA345_2,8.200000000000015e-05,0.0001200000000000002,338.34854600000006,0.004794000000000008,0.007053000000000012
QA164_2,7.300000000000013e-05,5.30000000000001e-05,101.33244900000001,0.002775000000000005,0.002722000000000005
QA051_2,5.9000000000000106e-05,0.00011100000000000019,330.9639109999999,0.003987000000000007,0.006202000000000011
QA393_2,6.600000000000011e-05,0.00035900000000000065,349.115523,0.004126000000000008,0.006524000000000012
QA188_2,0.00010900000000000021,0.0023130000000000043,606.5971069999998,0.0018220000000000033,0.0033170000000000057
QAptm_2,6.800000000000012e-05,0.0015590000000000027,249.46134099999998,0.002194000000000004,0.0037480000000000065
QA050_2,7.900000000000013e-05,0.00010400000000000018,212.49972700000004,0.0032130000000000058,0.0037430000000000063
QA110_2,4.0000000000000074e-06,0.0005310000000000009,331.8296579999998,0.0013340000000000025,0.0020340000000000037
QA314_2,8.400000000000014e-05,0.00013600000000000024,346.89216199999987,0.004823000000000008,0.007155000000000012
QA331_2,7.700000000000014e-05,0.00016000000000000026,333.534212,0.004904000000000009,0.007256000000000013
QA425_2,8.200000000000015e-05,0.00012000000000000022,323.965123,0.004544000000000008,0.006974000000000012
QA207_2,6.600000000000011e-05,0.00016000000000000026,338.561537,0.004654000000000008,0.006940000000000011
QA476_2,0.0001660000000000003,0.0013670000000000023,418.5534399999999,0.0037750000000000066,0.006139000000000011
QA122_2,0.00019400000000000035,0.0001820000000000003,144.43575599999997,0.006016000000000011,0.007537000000000014
QA319_2,7.300000000000013e-05,0.00011600000000000022,319.78018999999995,0.004894000000000009,0.0075780000000000135
QA272_2,6.800000000000012e-05,0.00015800000000000026,332.7696009999999,0.0044810000000000075,0.006952000000000012
QAplddts_2,6.800000000000012e-05,0.00015800000000000026,332.8339809999999,0.004485000000000008,0.006952000000000012
QA443_2,0.00018600000000000032,0.0003490000000000006,40.18605199999997,0.004124000000000007,0.004302000000000007
