group,oligo_gdtha,oligo_gdtts,T1284_rmsd,T1284_lddt,tm_score
QA345_2,0.004522999999999994,0.002754000000000005,4.6192030000000015,0.009815999999999969,0.0044339999999999935
QA164_2,1.084228,0.9691110000000002,212.173251,0.9028159999999998,0.91269
QA264_2,0.006078999999999991,0.003266000000000006,4.6803180000000015,0.011027999999999968,0.0045829999999999925
QA393_2,0.0063339999999999915,0.003367000000000006,4.661052000000001,0.014203999999999967,0.004416999999999992
QA051_2,0.004634999999999994,0.002959000000000005,4.705388000000001,0.014690999999999968,0.004281999999999994
QA029_2,0.017501000000000006,0.013090000000000023,18.696492,0.023498999999999964,0.011500000000000003
QA148_2,0.16454300000000002,0.10223900000000008,13.815052000000001,0.18103899999999995,0.03857700000000002
QA446_2,0.8221899999999999,0.7061320000000002,170.975478,0.6807939999999999,0.564519
QAplddts_2,0.004652999999999992,0.0026630000000000048,4.618491000000001,0.012941999999999967,0.004097999999999993
QA312_2,0.0077609999999999945,0.003878000000000007,4.6973389999999995,0.013890999999999968,0.0051069999999999935
QA212_2,1.3486140000000002,1.4696760000000002,465.70783500000005,0.9329619999999998,1.2820319999999998
QA273_2,0.012198999999999998,0.007778000000000013,4.872023,0.02667899999999998,0.0037749999999999954
QA476_2,0.6245880000000001,0.5661500000000002,159.19889799999999,0.42654999999999993,0.45711100000000005
QA122_2,0.0035919999999999936,0.002219000000000004,4.437845,0.014078999999999967,0.0036199999999999934
QA207_2,0.003995999999999994,0.002348000000000004,4.585323000000001,0.012767999999999967,0.003998999999999994
QA217_2,0.636788,0.4725930000000001,105.467067,0.40768399999999994,0.3111750000000001
QA319_2,0.003511999999999994,0.0020080000000000037,4.531589,0.013459999999999969,0.0040679999999999935
QA443_2,0.008484999999999998,0.004662000000000008,4.432582,0.010602999999999975,0.003986999999999995
QA188_2,0.9362980000000001,0.8856620000000002,249.34979100000004,0.5704999999999998,0.7335570000000001
QAptm_2,0.007059000000000005,0.0032710000000000057,3.5877580000000004,0.005021999999999979,0.002966
QA471_2,0.40430700000000014,0.3188900000000002,99.579567,0.3519089999999999,0.251886
QA314_2,0.005210999999999996,0.0032670000000000056,4.633661,0.01298399999999997,0.004220999999999994
QA110_2,0.035902000000000024,0.01693400000000003,6.722959,0.034846999999999975,0.012105999999999999
QA425_2,0.003319999999999992,0.002026000000000004,4.632735,0.013603999999999967,0.004015999999999993
QA331_2,0.004335999999999991,0.002636000000000005,4.6765110000000005,0.012242999999999966,0.004139999999999993
QA050_2,0.011898999999999996,0.004890000000000009,5.040491000000001,0.011880999999999968,0.005430999999999994
