group,dockq_ave,H1232_rmsd,oligo_gdtha,H1232_lddt,oligo_gdtts,dockq_wave,H1232_ilddt,qs_global,tm_score,H1232_ics,qs_best,H1232_ips
QA446_2,0.126114,1759.7548899999997,0.00025300000000000046,0.0010270000000000019,0.010374999999999992,0.03847000000000002,0.06123600000000005,0.535459,0.23387699999999995,0.08943800000000009,0.535459,0.17149900000000004
QA273_2,0.15764999999999998,1724.7301110000003,0.034205,0.014533999999999991,0.036844999999999996,0.1639450000000001,0.16923500000000005,0.562216,0.23315099999999994,0.22811300000000004,0.562216,0.14230300000000007
QA337_2,0.132534,1411.415114,0.0007970000000000014,0.002260000000000004,0.011605999999999993,0.047845000000000026,0.09114700000000009,0.6352420000000002,0.23265599999999992,0.11135400000000009,0.6352420000000002,0.22942599999999994
QA212_2,0.17011700000000002,286.814939,0.24691699999999997,1.397262,0.26105900000000004,0.5734090000000001,1.3869620000000003,1.6232190000000002,0.262516,1.248844,1.5961100000000001,0.9888929999999999
QA312_2,0.08147,697.7239289999999,0.0001590000000000003,0.0002560000000000004,0.00879900000000001,0.019517000000000034,0.03934700000000002,0.37015000000000003,0.20823199999999994,0.021595000000000038,0.37015000000000003,0.008038999999999998
QA148_2,0.126102,1858.887871,0.00026000000000000047,0.0008280000000000015,0.009767999999999999,0.03874400000000002,0.05245600000000003,0.487501,0.23490899999999992,0.07297300000000007,0.487501,0.15167800000000004
QA080_2,0.20812500000000003,768.9673680000001,0.13179,1.218148,0.165971,0.548641,0.9471040000000002,1.71097,0.44538099999999997,1.2079490000000002,1.7052610000000001,1.098776
QA029_2,0.12807800000000003,1680.925258,0.001989999999999999,0.0008860000000000016,0.010854999999999998,0.04200200000000003,0.05876600000000004,0.5522370000000001,0.2323729999999999,0.08745000000000004,0.5522370000000001,0.176935
QA393_2,0.112389,1268.8174860000001,0.023349,0.012933999999999982,0.019163,0.05959000000000003,0.13025900000000004,0.48298700000000006,0.21528999999999995,0.13173100000000007,0.48298700000000006,0.18481000000000003
QA051_2,0.132534,1419.798786,0.0006900000000000012,0.0025630000000000045,0.011605999999999993,0.04783300000000003,0.09142000000000008,0.6309520000000001,0.23307099999999992,0.1075210000000001,0.6309520000000001,0.22879899999999992
