group,qs_global,H1222_rmsd,oligo_gdtts,H1222_lddt,tm_score,oligo_gdtha,dockq_ave,qs_best,H1222_ilddt,H1222_ips,H1222_ics,dockq_wave
QA080_2,0.3106870000000001,40.445524,0.006808000000000012,0.005371999999999973,0.004331000000000008,0.014630999999999995,0.626647,0.4379870000000001,0.088078,0.14911100000000008,0.23020000000000002,0.29634699999999997
QA148_2,0.116003,3.019285,0.0015070000000000027,0.00828199999999997,0.00045800000000000083,0.0072110000000000125,0.21424300000000007,0.16074700000000008,0.07104099999999999,0.010027000000000019,0.11251700000000003,0.10915100000000003
QA029_2,0.297604,24.039696,0.0055750000000000105,0.01881999999999997,0.0031429999999999896,0.014278000000000025,0.465182,0.40532300000000004,0.13708199999999998,0.05864200000000004,0.23023100000000002,0.21594
QA337_2,0.28552200000000016,17.502936999999996,0.05507400000000007,0.0069029999999999725,0.006578999999999987,0.083707,0.5137630000000001,0.386819,0.086487,0.10147300000000004,0.22012700000000007,0.26274
QA273_2,0.11205600000000002,3.4925699999999993,0.004214000000000008,0.021377999999999966,0.0007190000000000013,0.015360000000000013,0.22493900000000006,0.1763090000000001,0.151616,0.011215000000000018,0.10223900000000002,0.11507500000000002
QA212_2,0.417895,74.84039800000001,0.43056100000000014,0.018469999999999966,0.1413339999999999,0.494995,0.8677039999999999,0.573301,0.12668600000000005,0.07306,0.28125799999999995,0.6928070000000001
QA312_2,0.12279700000000002,8.632854,0.06331,0.003073999999999982,0.0034479999999999992,0.09226600000000003,0.26782700000000004,0.15341300000000008,0.03320099999999999,0.013889000000000025,0.080332,0.13903000000000004
QA446_2,0.350066,50.08241,0.00578600000000001,0.00754699999999997,0.004770999999999992,0.010005000000000002,0.6529780000000001,0.4746420000000002,0.09794200000000002,0.1486780000000001,0.25974400000000003,0.30013399999999996
QA264_2,0.09910700000000006,4.979294000000001,0.03860499999999999,0.003389999999999984,0.002040999999999997,0.06114400000000002,0.21592500000000003,0.12762100000000004,0.028446999999999986,0.014782000000000028,0.08307500000000001,0.11577800000000003
QAmean_plddt_2,0.3035130000000001,39.733756,0.00594600000000001,0.005414999999999973,0.004099000000000007,0.01146300000000002,0.6223589999999999,0.4170860000000001,0.083814,0.1600140000000001,0.244124,0.289072
QA164_2,0.160328,12.883467000000003,0.03595300000000001,0.005475999999999976,0.003037999999999997,0.054210000000000015,0.310411,0.2078140000000001,0.062527,0.025512000000000014,0.121744,0.15458500000000003
QA345_2,0.5174830000000001,45.16486600000001,0.005925000000000011,0.011829999999999967,0.00527799999999998,0.01079500000000002,0.677413,0.6680349999999999,0.12980500000000006,0.07443699999999999,0.364514,0.308782
