group,tm_score,oligo_gdtts,T1246_lddt,T1246_rmsd,oligo_gdtha
QA471_2,0.0034859999999999973,0.010118999999999982,0.006509000000000011,2.9922779999999993,0.030732999999999996
QA188_2,0.004963000000000009,0.00832699999999997,0.004439000000000008,4.575451999999999,0.023103000000000026
QAptm_2,1.4000000000000027e-05,0.00018700000000000032,0.00012200000000000023,0.004857999999999974,0.0010060000000000017
QA050_2,0.0013010000000000022,0.002777999999999989,0.0014780000000000025,1.3894940000000002,0.008091000000000015
QA331_2,0.00021900000000000036,0.00045100000000000077,0.0003720000000000007,0.29875599999999974,0.0018560000000000035
QA425_2,1.4000000000000027e-05,0.00015000000000000029,0.00014900000000000026,0.0033899999999999772,0.0008980000000000016
QA110_2,1.1000000000000022e-05,9.000000000000015e-05,0.0002700000000000005,0.0037149999999999805,0.0006410000000000012
QA314_2,0.007865999999999977,0.016371999999999966,0.007453000000000013,5.718383,0.04152199999999997
QA207_2,0.00016100000000000028,0.0003950000000000007,0.00027600000000000053,0.23527599999999982,0.0015260000000000026
QAplddts_2,1.4000000000000027e-05,0.00021400000000000038,0.00012300000000000023,0.004915999999999974,0.0009340000000000017
QA122_2,0.0001290000000000002,0.00040600000000000076,0.0004950000000000009,0.2234949999999999,0.0014800000000000026
QA476_2,0.005009000000000008,0.007158999999999978,0.005001000000000009,4.973487,0.018199000000000014
QA272_2,1.4000000000000027e-05,0.0002200000000000004,0.00012700000000000024,0.0049299999999999735,0.0009300000000000017
QA443_2,2.400000000000004e-05,0.00017000000000000028,0.00021200000000000038,0.005689999999999973,0.001095000000000002
QA319_2,2.2000000000000037e-05,0.0002200000000000004,0.0001760000000000003,0.006435999999999972,0.0010510000000000018
QA217_2,0.00026600000000000056,0.0010839999999999951,0.0007430000000000013,0.06531099999999997,0.00555000000000001
QA148_2,0.007865999999999977,0.016371999999999966,0.007453000000000013,5.718383,0.04152199999999997
QA029_2,0.00026600000000000056,0.0010839999999999951,0.0007430000000000013,0.06531099999999997,0.00555000000000001
QA212_2,0.001111000000000002,0.0042619999999999846,0.004072000000000007,0.38124199999999986,0.020922000000000017
QA273_2,0.00019900000000000034,0.0012040000000000022,0.0009910000000000019,0.05850999999999993,0.006418000000000011
QA312_2,0.007865999999999977,0.016371999999999966,0.007453000000000013,5.718383,0.04152199999999997
QA446_2,0.0034859999999999973,0.010118999999999982,0.006509000000000011,2.9922779999999993,0.030732999999999996
QA264_2,0.007865999999999977,0.016371999999999966,0.007453000000000013,5.718383,0.04152199999999997
QA164_2,0.004386000000000008,0.00833199999999997,0.0020470000000000037,3.727810999999999,0.024010000000000024
QA345_2,1.4000000000000027e-05,0.0001710000000000003,0.00012900000000000024,0.0036729999999999766,0.0008650000000000015
QA051_2,1.700000000000003e-05,0.0002310000000000004,0.00025000000000000044,0.006058999999999972,0.0010710000000000019
QA393_2,0.007865999999999977,0.016371999999999966,0.007453000000000013,5.718383,0.04152199999999997
