group,dockq_wave,T1270_ics,T1270_lddt,dockq_ave,T1270_rmsd,qs_best,T1270_ilddt,qs_global,tm_score,T1270_ips,oligo_gdtha,oligo_gdtts
QAptm_2,0.00548300000000001,0.22581699999999996,0.0010229999999999864,0.018814000000000025,576.430879,0.027367000000000048,0.029253000000000015,0.20029000000000002,0.7562580000000001,0.19314900000000002,0.15048499999999998,0.354607
QA188_2,0.049179,0.240856,0.002949999999999982,0.05794200000000003,552.936633,0.025893000000000044,0.027482000000000013,0.25876499999999997,0.7111630000000001,0.18513600000000002,0.15595799999999999,0.36381200000000014
QA050_2,0.002313000000000004,0.22488799999999998,0.00048099999999999044,0.013549000000000018,510.63867700000003,0.03040600000000005,0.02600800000000001,0.21598199999999995,0.709346,0.16602900000000004,0.15782999999999997,0.3657780000000001
QA110_2,0.00554300000000001,0.2259339999999999,0.0012779999999999849,0.020182000000000012,577.5691380000001,0.019845000000000033,0.035743000000000025,0.19668700000000003,0.7639440000000001,0.180904,0.15707,0.36464600000000014
QA314_2,0.005485000000000009,0.23514099999999993,0.0014499999999999839,0.020542000000000008,566.6763300000001,0.024830000000000043,0.032882000000000015,0.20676800000000004,0.7700000000000001,0.19843,0.156693,0.364051
QA331_2,0.0024150000000000044,0.23436999999999994,0.0007219999999999884,0.01526700000000002,560.349819,0.020522000000000033,0.029196000000000014,0.22171200000000002,0.7521230000000001,0.19254200000000002,0.14590799999999998,0.3443680000000001
QA425_2,0.008694000000000016,0.254858,0.0015309999999999833,0.024487000000000005,597.901918,0.03647500000000006,0.03235300000000002,0.231203,0.7482500000000001,0.21036100000000005,0.14830699999999997,0.34118800000000016
QA207_2,0.0025180000000000046,0.23969899999999994,0.0008929999999999876,0.01483000000000002,564.2118790000001,0.021998000000000042,0.028639000000000015,0.22513899999999998,0.7439040000000001,0.195175,0.145968,0.3461910000000001
QA476_2,0.026651000000000015,0.21959199999999995,0.004186999999999979,0.03941700000000002,542.2984420000001,0.011930000000000022,0.03775700000000003,0.201526,0.7578,0.16580500000000004,0.164705,0.37748500000000007
QAiptm_2,0.00545100000000001,0.22589499999999998,0.0010049999999999866,0.018814000000000025,576.445461,0.02736700000000005,0.029253000000000015,0.200326,0.7562580000000001,0.193211,0.15046099999999998,0.35453500000000004
QA122_2,0.01109300000000002,0.22872999999999993,0.0015509999999999834,0.027550000000000005,604.105575,0.04973000000000006,0.03134300000000002,0.21657299999999996,0.746009,0.19771900000000003,0.14796199999999998,0.34065100000000015
QA319_2,0.008176000000000015,0.245413,0.0014049999999999842,0.024395000000000003,592.654378,0.03507900000000007,0.030046000000000017,0.23042899999999994,0.7404940000000001,0.20729900000000004,0.146277,0.3370900000000002
QA443_2,0.04851499999999999,0.0068950000000000105,0.003823999999999976,0.06692400000000004,2219.0888800000002,0.00020700000000000034,0.00613199999999999,0.0010899999999999911,0.915,0.00557900000000001,0.11566799999999999,0.3264950000000002
QA148_2,0.0041020000000000075,0.17868600000000004,0.0016849999999999834,0.017658000000000024,519.601142,0.018764000000000034,0.030768000000000018,0.170955,0.745334,0.14458600000000005,0.16348999999999997,0.37931100000000006
QA312_2,0.004277000000000007,0.16467700000000007,0.0033799999999999785,0.01846700000000001,557.6299899999999,0.007298000000000014,0.03830600000000003,0.14017099999999996,0.75255,0.13441300000000006,0.16971699999999995,0.3882030000000001
QA273_2,0.00612300000000001,0.14993000000000004,0.004516999999999978,0.020802000000000008,508.229386,0.030661000000000053,0.030499000000000012,0.14674599999999993,0.704771,0.13664500000000002,0.157906,0.3644210000000001
QAmean_plddt_2,0.007256000000000013,0.21146600000000002,0.0014139999999999843,0.02224600000000001,566.9692210000001,0.02338900000000004,0.03372900000000002,0.18916999999999998,0.7281460000000001,0.17032200000000003,0.14660399999999998,0.34129400000000015
QAiptm+ptm_2,0.00545100000000001,0.22589499999999998,0.0010049999999999866,0.018814000000000025,576.445461,0.02736700000000005,0.029253000000000015,0.200326,0.7562580000000001,0.193211,0.15046099999999998,0.35453500000000004
QA264_2,0.005111000000000009,0.21823599999999999,0.0022509999999999804,0.020677,556.335002,0.02619100000000004,0.03903900000000003,0.20875899999999997,0.7578220000000001,0.19166,0.156003,0.3624780000000001
QA345_2,0.009198000000000017,0.25503999999999993,0.0015559999999999832,0.025094000000000005,603.393951,0.03849000000000007,0.03247000000000002,0.237556,0.7513719999999999,0.20968700000000004,0.14937399999999998,0.3427950000000002
QA164_2,0.013593000000000023,0.3188850000000001,0.01956499999999997,0.026531000000000006,332.745308,0.15673400000000007,0.04228300000000003,0.33788699999999994,0.585958,0.13172700000000004,0.18653499999999995,0.41461900000000007
QA051_2,0.006658000000000011,0.21510499999999996,0.001871999999999983,0.021737000000000006,557.9181600000001,0.030175000000000056,0.03429800000000002,0.196853,0.7597330000000001,0.17357499999999998,0.15319699999999997,0.3539580000000001
QA393_2,0.0038130000000000065,0.205271,0.0021539999999999815,0.01731200000000002,544.8520340000001,0.024745000000000045,0.03688200000000002,0.200967,0.719905,0.18907800000000002,0.15289399999999997,0.35340300000000013
