group,tm_score,T1272s7_rmsd,oligo_gdtts,T1272s7_lddt,oligo_gdtha
QAplddts_2,0.08686299999999997,1109.4543059999996,0.004663999999999991,0.003494000000000006,0.002151000000000004
QA319_2,0.08592399999999997,1138.688197,0.004596999999999991,0.003942000000000006,0.0021310000000000036
QA443_2,0.13313899999999995,868.1155110000001,0.0043079999999999915,0.001057000000000002,0.0019480000000000035
QA272_2,0.08638299999999996,1105.7860939999998,0.004370999999999991,0.0030340000000000054,0.0019520000000000036
QA476_2,0.09260999999999996,286.9725440000001,0.0024709999999999923,0.008305000000000014,0.0008350000000000014
QA122_2,0.10524999999999994,969.041706,0.005259999999999991,0.006855000000000012,0.002561000000000002
QA207_2,0.08964399999999997,1065.803294,0.004828999999999991,0.002877000000000005,0.002299000000000004
QA314_2,0.07499899999999995,1102.135558,0.003933999999999991,0.0031670000000000057,0.0017410000000000034
QA110_2,0.08087399999999996,475.55842200000006,0.0007309999999999962,0.007189000000000013,0.0007510000000000013
QA425_2,0.08229899999999996,1121.5094950000002,0.004348999999999992,0.0026820000000000047,0.0020530000000000036
QA331_2,0.07300399999999996,1121.4275020000002,0.004484999999999992,0.002233000000000004,0.0021000000000000038
QA050_2,0.09718899999999997,829.8888160000002,0.004254999999999991,0.002289000000000004,0.0019660000000000033
QAptm_2,0.12085099999999996,38.56034099999999,0.004940999999999991,0.020371000000000035,0.0026529999999999995
QA188_2,0.13119499999999995,535.5893659999999,0.004030999999999991,0.01166200000000002,0.0015950000000000029
QA393_2,0.07306999999999997,954.3861390000002,0.004218999999999992,0.0035580000000000065,0.0018930000000000036
QA051_2,0.11275799999999996,1005.2878350000003,0.0040399999999999915,0.002776000000000005,0.0018050000000000032
QA345_2,0.08162399999999996,1133.0989730000001,0.004399999999999992,0.0018610000000000035,0.002016000000000004
QA164_2,0.09794299999999995,623.0522260000001,8.700000000000015e-05,0.007679000000000014,0.0003110000000000006
QA264_2,0.09626699999999995,1103.9140770000001,0.004271999999999991,0.002611000000000005,0.0019650000000000036
QA312_2,0.09495799999999995,570.343902,0.0032839999999999922,0.0060790000000000115,0.0014150000000000026
QA273_2,0.13272399999999995,881.4083270000003,0.004218999999999992,0.0013400000000000024,0.0018560000000000035
QA212_2,0.01904099999999998,18.294478000000005,0.0016929999999999927,0.009579000000000016,0.0004250000000000008
QA029_2,0.08019399999999997,995.0598929999999,0.004291999999999991,0.002792000000000005,0.0019360000000000035
QA148_2,0.06979599999999998,947.2750810000002,0.0032199999999999915,0.0024980000000000046,0.0012240000000000022
