group,T1201_rmsd,T1201_lddt,dockq_wave,T1201_ics,dockq_ave,oligo_gdtha,tm_score,qs_global,qs_best,T1201_ips,oligo_gdtts,T1201_ilddt
QA471_2,1.5683259999999999,0.0009290000000000017,0.011490999999999987,0.004823999999999976,0.011490999999999987,0.012834000000000022,0.001187000000000002,0.007390000000000013,0.004129000000000008,0.01130899999999997,0.006313000000000011,0.0015710000000000027
QA300_2,1.7737460000000003,0.02889399999999998,0.027245999999999996,0.05917599999999992,0.027245999999999996,0.06390800000000005,0.0033750000000000056,0.150302,0.01132300000000002,0.12942099999999995,0.03687000000000004,0.047906000000000004
QA188_2,1.273808,0.035999999999999976,0.02326499999999999,0.12133599999999987,0.02326499999999999,0.06155000000000001,0.0025030000000000044,0.329143,0.015131000000000026,0.25915999999999995,0.03190800000000006,0.05608000000000003
QAptm_2,1.8450610000000003,0.029961999999999968,0.03610000000000001,0.1487049999999999,0.03610000000000001,0.057869,0.0026000000000000047,0.39176500000000003,0.035469000000000014,0.27582999999999996,0.029908000000000053,0.036829000000000035
QA114_2,2.691151,0.02874999999999997,0.05040700000000003,0.13708599999999987,0.05040700000000003,0.08343900000000001,0.004483,0.4057700000000001,0.04737200000000006,0.24262299999999992,0.048197000000000066,0.03957000000000007
QA171_2,2.3367470000000004,0.029722999999999968,0.04412400000000001,0.16737099999999988,0.04412400000000001,0.071787,0.003538000000000006,0.4119560000000001,0.043975000000000056,0.30726099999999995,0.03963500000000007,0.03622200000000006
QA314_2,1.2510950000000003,0.028295999999999967,0.028123000000000006,0.1346389999999999,0.028123000000000006,0.05298400000000002,0.0020270000000000036,0.356503,0.022130000000000014,0.26241899999999996,0.02767700000000005,0.03755800000000004
QA110_2,0.3676240000000002,0.03424599999999997,0.0020179999999999903,0.07985099999999998,0.0020179999999999903,0.004679000000000008,0.00028200000000000046,0.285027,0.00035000000000000065,0.2018269999999999,0.001739000000000003,0.03435400000000006
QA425_2,0.861382,0.03406999999999997,0.013698999999999992,0.08567899999999991,0.013698999999999992,0.06784,0.0020140000000000036,0.26768500000000006,0.0008790000000000015,0.23804299999999995,0.035715000000000066,0.05119000000000006
QA331_2,1.67271,0.01689199999999997,0.029903999999999993,0.14287599999999986,0.029903999999999993,0.058661,0.0025320000000000043,0.330383,0.024747000000000016,0.29154199999999997,0.030094000000000058,0.019227000000000036
