group,qs_global,oligo_gdtha,dockq_ave,oligo_gdtts,T1218_rmsd,T1218_lddt,tm_score,T1218_ics,dockq_wave,qs_best,T1218_ips,T1218_ilddt
QA345_2,0.0,0.002654000000000002,0.00016900000000000002,0.011545999999999994,433.7202670000001,0.024617999999999966,0.096088,0.0,0.00016900000000000002,4.9999999999999996e-06,0.006151,8.200000000000001e-05
QAiptm_2,0.0,0.006570999999999999,0.000193,0.015724999999999992,431.25614200000007,0.04706699999999995,0.08823600000000001,0.0,0.000193,4.9999999999999996e-06,0.005952,8.200000000000001e-05
QA164_2,0.0,0.141547,2.9999999999999994e-05,0.155006,23.098350000000032,2.972552999999999,0.159262,0.0,2.9999999999999994e-05,4.9999999999999996e-06,0.0040420000000000005,8.200000000000001e-05
QA051_2,0.0,0.003514,0.00019700000000000002,0.008508999999999996,501.82239499999986,0.011627999999999968,0.05225099999999999,0.0,0.00019700000000000002,4.9999999999999996e-06,0.009459,8.200000000000001e-05
QAmean_plddt_2,0.0,0.001706000000000003,0.000193,0.004557999999999991,668.165842,0.0020669999999999838,0.026010000000000005,0.0,0.000193,4.9999999999999996e-06,0.021477999999999997,8.200000000000001e-05
QA393_2,0.0,0.0037350000000000013,0.000182,0.010723999999999992,378.7239350000002,0.02868799999999997,0.068904,0.0,0.000182,4.9999999999999996e-06,0.008490000000000001,8.200000000000001e-05
QAiptm+ptm_2,0.0,0.006570999999999999,0.000193,0.015724999999999992,431.25614200000007,0.04706699999999995,0.08823600000000001,0.0,0.000193,4.9999999999999996e-06,0.005952,8.200000000000001e-05
QA029_2,0.0,0.004502000000000001,0.000147,0.013086999999999994,292.62607400000013,0.025285999999999968,0.081127,0.0,0.000147,4.9999999999999996e-06,0.005378,8.200000000000001e-05
QA148_2,0.0,0.0033910000000000012,0.000193,0.010382999999999993,555.927218,0.013938999999999969,0.072255,0.0,0.000193,4.9999999999999996e-06,0.012265999999999999,8.200000000000001e-05
QA080_2,0.0,0.03666600000000002,2.9999999999999984e-06,0.04551699999999999,29.49529500000002,2.615067,0.11807000000000001,0.0,2.9999999999999984e-06,4.9999999999999996e-06,0.0023659999999999996,8.200000000000001e-05
QA312_2,0.0,0.002038000000000004,0.000193,0.006166999999999993,1230.4462299999998,0.04089099999999997,0.03739000000000001,0.0,0.000193,4.9999999999999996e-06,0.021477999999999997,8.200000000000001e-05
QA212_2,0.0,0.0010690000000000018,0.000206,0.0066539999999999915,1540.8892020000003,0.015634999999999972,0.060233999999999996,0.0,0.000206,4.9999999999999996e-06,0.021477999999999997,8.200000000000001e-05
QA273_2,0.0,0.003476000000000001,0.00016900000000000002,0.009624999999999995,526.0921470000001,0.023418999999999968,0.05901900000000001,0.0,0.00016900000000000002,4.9999999999999996e-06,0.011252999999999999,8.200000000000001e-05
QA446_2,0.0,0.0020400000000000036,0.00023400000000000002,0.004275999999999993,1254.941483,0.009105999999999972,0.01929899999999999,0.0,0.00023400000000000002,4.9999999999999996e-06,0.021477999999999997,8.200000000000001e-05
QA207_2,0.0,0.005659000000000001,0.00019500000000000002,0.012611999999999993,671.590939,0.04027199999999995,0.07011700000000001,0.0,0.00019500000000000002,4.9999999999999996e-06,0.008272,8.200000000000001e-05
QA476_2,0.0,0.003123000000000001,0.000182,0.008724999999999993,514.079335,0.03434299999999997,0.05689000000000001,0.0,0.000182,4.9999999999999996e-06,0.014731000000000003,8.200000000000001e-05
QA122_2,0.0,0.006131000000000001,0.000193,0.014510999999999996,185.29689099999996,0.027365999999999967,0.06665399999999999,0.0,0.000193,4.9999999999999996e-06,0.004950999999999999,8.200000000000001e-05
QA319_2,0.0,0.003330999999999999,0.000182,0.012434999999999995,406.2955460000001,0.02790099999999997,0.091974,0.0,0.000182,4.9999999999999996e-06,0.005607,8.200000000000001e-05
QA443_2,0.0,0.0030779999999999996,0.000193,0.011937999999999994,417.8287540000002,0.028446999999999965,0.09116100000000002,0.0,0.000193,4.9999999999999996e-06,0.004819,8.200000000000001e-05
QA217_2,0.0,0.004502000000000001,0.000147,0.013086999999999994,292.62607400000013,0.025285999999999968,0.081127,0.0,0.000147,4.9999999999999996e-06,0.005378,8.200000000000001e-05
QA471_2,0.0,0.020595000000000006,2.1999999999999993e-05,0.029279999999999987,11.358123000000015,2.6197069999999996,0.13420699999999997,0.0,2.1999999999999993e-05,4.9999999999999996e-06,0.0028020000000000002,8.200000000000001e-05
QA188_2,0.0,0.0025620000000000018,0.000193,0.006105999999999992,635.9589070000002,0.039842999999999976,0.041815000000000005,0.0,0.000193,4.9999999999999996e-06,0.017065999999999998,8.200000000000001e-05
QAptm_2,0.0,0.006123,0.000193,0.015425999999999994,451.71851000000015,0.04614199999999995,0.09123500000000002,0.0,0.000193,4.9999999999999996e-06,0.005582999999999999,8.200000000000001e-05
QA050_2,0.0,0.001047000000000002,0.00026000000000000003,0.002952999999999995,1648.4535760000003,0.0011069999999999902,0.013322,0.0,0.00026000000000000003,4.9999999999999996e-06,0.021477999999999997,8.200000000000001e-05
QA110_2,0.0,0.00029300000000000056,0.00026000000000000003,0.0001150000000000002,1479.2752750000002,0.0007399999999999953,0.001074000000000002,0.0,0.00026000000000000003,4.9999999999999996e-06,0.021477999999999997,8.200000000000001e-05
QA314_2,0.0,0.001525000000000003,0.00026000000000000003,0.0024269999999999934,1649.5928999999999,0.004164999999999976,0.007252,0.0,0.00026000000000000003,4.9999999999999996e-06,0.021477999999999997,8.200000000000001e-05
QA331_2,0.0,0.006906999999999998,0.000147,0.013597999999999992,166.05648899999989,0.2953699999999999,0.054361999999999994,0.0,0.000147,4.9999999999999996e-06,0.0063419999999999995,8.200000000000001e-05
QA425_2,0.0,0.0020340000000000037,0.000171,0.008977999999999993,661.7056220000002,0.022795999999999973,0.08057800000000001,0.0,0.000171,4.9999999999999996e-06,0.009254000000000002,8.200000000000001e-05
