group,qs_global,H1244_ics,oligo_gdtts,qs_best,oligo_gdtha,H1244_ips,dockq_ave,dockq_wave,H1244_ilddt,tm_score,H1244_lddt,H1244_rmsd
QA217_2,0.042751000000000004,0.04446900000000003,0.014922999999999997,0.04335900000000006,0.01810299999999999,0.04741400000000003,0.004238000000000007,0.008602000000000016,0.003894000000000007,0.015045999999999978,0.0021160000000000037,130.753292
QA272_2,0.15668400000000002,0.10821400000000006,0.11616899999999997,0.17833000000000004,0.055134999999999976,0.03129700000000003,0.163864,0.035616999999999996,0.039130000000000005,0.16083499999999995,0.00585100000000001,951.429765
QA443_2,0.015364000000000027,0.014030000000000025,0.021809999999999993,0.012986000000000024,0.020546999999999992,0.032174000000000036,0.01099300000000001,0.008842000000000017,0.00553800000000001,0.069101,0.021198000000000012,659.0201810000001
QA319_2,0.068355,0.060903000000000006,0.007462999999999992,0.06665800000000006,0.008165999999999991,0.05638799999999998,0.0030860000000000054,0.005388000000000009,0.0035340000000000063,0.03550299999999997,0.002298000000000004,485.111049
QA122_2,0.03725500000000003,0.03721300000000004,0.020248000000000006,0.04419100000000004,0.02321999999999998,0.05229400000000003,0.005220000000000009,0.010339000000000004,0.004067000000000007,0.04564199999999999,0.0029020000000000053,473.56558599999994
QA476_2,0.024215,0.024515000000000023,0.014340999999999996,0.02793500000000005,0.01678599999999999,0.029842000000000028,0.004020000000000007,0.006638000000000011,0.003534000000000006,0.026573999999999976,0.0017420000000000033,803.3905149999999
QA207_2,0.224463,0.15161800000000009,0.134624,0.2567820000000001,0.05254599999999998,0.035818000000000016,0.21967600000000004,0.040749999999999995,0.05428600000000001,0.19739999999999996,0.007347000000000012,892.411005
QA425_2,0.317067,0.24163900000000016,0.198823,0.3749650000000001,0.06821599999999997,0.04170399999999999,0.359661,0.05706199999999999,0.087174,0.39839499999999994,0.012711000000000023,1284.1328660000001
QA331_2,0.32313899999999995,0.22429200000000016,0.20865899999999998,0.38098200000000004,0.07360399999999996,0.03296700000000002,0.36127000000000004,0.060806999999999986,0.086094,0.345283,0.011061000000000019,1300.3879869999998
QA171_2,0.094575,0.09362500000000001,0.006373000000000004,0.08160600000000004,0.006775999999999988,0.12921400000000005,0.008779000000000004,0.0035900000000000064,0.008526000000000014,0.03917999999999997,0.008784000000000016,1647.3795489999998
QA314_2,0.07116499999999999,0.05530600000000001,0.002805999999999996,0.08486600000000004,0.0031029999999999925,0.04790299999999998,0.0017430000000000032,0.0025700000000000046,0.004898000000000008,0.047070999999999974,0.004948000000000009,2014.7604979999996
QA110_2,0.290236,0.2219830000000001,0.23092199999999996,0.33095700000000006,0.08937199999999997,0.02869000000000005,0.372835,0.080346,0.10176199999999999,0.15848899999999994,0.01621300000000003,389.644812
QA114_2,0.041651000000000014,0.075427,0.081053,0.03157900000000006,0.04831899999999997,0.03941500000000002,0.06931800000000002,0.139099,0.18907599999999997,0.245678,0.2913190000000001,9499.277529
QA050_2,0.00012400000000000022,0.0018280000000000032,0.01878199999999999,0.0003660000000000007,0.01919599999999999,0.012243000000000023,0.009631000000000011,0.008954000000000016,0.005355000000000009,0.068094,0.0007400000000000014,2681.5712519999997
QAiptm_2,0.185199,0.13430300000000006,0.10028999999999998,0.20360600000000006,0.04594599999999999,0.03797000000000002,0.149572,0.034554999999999995,0.03910200000000001,0.11499199999999996,0.012456000000000023,742.950789
QA300_2,0.0003360000000000006,0.0046710000000000085,0.031047999999999992,0.0006330000000000011,0.025734999999999987,0.018380000000000035,0.01781500000000001,0.009776000000000003,0.00547900000000001,0.09642299999999998,0.003895000000000007,3686.229702
QA188_2,0.022065999999999995,0.028566000000000025,0.05137399999999998,0.02651800000000005,0.042104999999999976,0.03493300000000003,0.04309300000000002,0.017043999999999986,0.00629300000000001,0.126972,0.0032390000000000058,1381.5457399999998
QAptm_2,0.17607899999999999,0.12291800000000005,0.10198099999999997,0.19304900000000008,0.048345999999999986,0.03069800000000003,0.149877,0.034554999999999995,0.03981700000000001,0.11015199999999997,0.012555000000000023,656.096514
QA471_2,0.017548000000000032,0.012585000000000022,0.044114999999999974,0.01701100000000003,0.04316199999999997,0.022122000000000037,0.021963000000000003,0.010737000000000019,0.007307000000000013,0.09250200000000001,0.003966000000000007,684.6684479999999
QA393_2,0.080902,0.06331299999999998,0.0027429999999999963,0.09489500000000002,0.002957999999999992,0.05064399999999998,0.002102000000000004,0.0025870000000000047,0.005461000000000009,0.04655799999999998,0.0052210000000000095,2038.2794830000003
QA051_2,0.21297999999999997,0.1365280000000001,0.14307999999999996,0.24472500000000003,0.05856999999999997,0.028560000000000026,0.22034900000000002,0.044021000000000005,0.05521400000000001,0.16531999999999997,0.007490000000000012,1041.175044
QA164_2,0.034182999999999984,0.038220000000000066,0.006855999999999993,0.01618200000000003,0.0075569999999999925,0.092393,0.006115000000000011,0.004792000000000008,0.005982000000000011,0.04681799999999998,0.003400000000000006,1334.776027
QA345_2,0.07382600000000002,0.07080200000000002,0.009859999999999994,0.06925900000000001,0.011372999999999986,0.057804,0.004507000000000008,0.006858000000000012,0.004667000000000008,0.02903299999999997,0.0019150000000000035,383.692679
QA264_2,0.06898699999999999,0.04749700000000001,0.003527999999999994,0.08562200000000002,0.0036739999999999915,0.04686599999999998,0.002468000000000004,0.003555000000000006,0.004467000000000007,0.04948499999999998,0.005167000000000009,1894.8709880000001
QAmean_plddt_2,0.15668400000000002,0.10821400000000006,0.11616899999999997,0.17825400000000005,0.055134999999999976,0.03127300000000003,0.163864,0.035650999999999995,0.039130000000000005,0.16115899999999994,0.00585100000000001,951.464745
QAiptm+ptm_2,0.183884,0.13276700000000005,0.10058599999999997,0.20209400000000008,0.04618299999999999,0.03657800000000001,0.149629,0.034353999999999996,0.04034200000000001,0.11514699999999996,0.012760000000000023,742.511098
QA446_2,0.003763000000000007,0.004823000000000009,0.03038999999999998,0.004385000000000008,0.029179999999999977,0.02263000000000002,0.018637000000000004,0.011634999999999996,0.004735000000000008,0.082022,0.001650000000000003,1056.54639
QA212_2,1.3822310000000002,1.29217,0.14081700000000003,1.4252460000000002,0.09395799999999997,0.49594400000000005,0.06583600000000002,0.06455199999999997,0.182135,0.187062,0.6215410000000001,2357.556118
