group,weighted_penalty
QA345_2,0.025726521200404587
QA164_2,1.0
QAiptm+ptm_2,0.015718468102913087
QA264_2,0.017222340051250718
QA393_2,0.018321767838697208
QA051_2,0.016599756132262427
QA029_2,0.04862958839269373
QA148_2,0.022021260779949377
QAiptm_2,0.015718468102913087
QA312_2,0.016551636266824786
QAmean_plddt_2,0.018144028071203227
QA212_2,0.5136670540851199
QA273_2,0.05348772320591305
QA476_2,0.05424580551004793
QA122_2,0.014082708945937732
QA319_2,0.020645316712523787
QA443_2,0.06046801318816913
QA188_2,0.044890262133356444
QAptm_2,0.015718468102913087
QA110_2,0.036905469364126066
QA314_2,0.021628041842691976
QA331_2,0.0
QA425_2,0.024758967503220965
QA050_2,0.008792999275651645
