group,weighted_penalty
QA393_2,0.008573969870485537
QA264_2,0.0030710350691879203
QAiptm_2,0.013616619204522867
QA164_2,0.009106297642007663
QAmean_plddt_2,0.0024551916355483785
QA212_2,0.4814517682177589
QA273_2,0.017999864769582607
QA312_2,0.006819056932743513
QAiptm+ptm_2,0.01186258868032479
QA148_2,0.006352738382746894
QA029_2,1.0
QA443_2,0.0038067837820428595
QA319_2,0.005713417605695266
QA122_2,0.0
QA476_2,0.020832479578192557
QA425_2,0.012331758933528959
QA331_2,0.009721941741756772
QA314_2,0.01076068144526231
QA110_2,0.0004319510919231615
QA188_2,0.20752998457582703
QAptm_2,0.011594835219168135
