model_name,oligo_gdtha
afm_dropout_full_model_1_multimer_v2_pred_59.pdb,0.28
afm_dropout_full_model_2_multimer_v3_pred_21.pdb,0.28
afm_basic_model_1_multimer_v2_pred_33.pdb,0.279
afm_basic_model_1_multimer_v2_pred_2.pdb,0.279
afm_basic_model_1_multimer_v2_pred_6.pdb,0.279
afm_basic_model_1_multimer_v2_pred_11.pdb,0.279
afm_dropout_full_model_1_multimer_v2_pred_9.pdb,0.279
afm_basic_model_1_multimer_v2_pred_52.pdb,0.279
afm_basic_model_3_multimer_v2_pred_2.pdb,0.279
afm_basic_model_1_multimer_v2_pred_3.pdb,0.279
afm_dropout_full_model_1_multimer_v2_pred_50.pdb,0.279
afm_basic_model_1_multimer_v2_pred_14.pdb,0.279
afm_basic_model_1_multimer_v2_pred_47.pdb,0.279
afm_dropout_full_model_1_multimer_v2_pred_5.pdb,0.279
afm_basic_model_2_multimer_v3_pred_62.pdb,0.278
afm_basic_model_4_multimer_v2_pred_9.pdb,0.278
afm_basic_model_1_multimer_v2_pred_34.pdb,0.278
afm_basic_model_4_multimer_v2_pred_51.pdb,0.278
afm_basic_model_4_multimer_v3_pred_59.pdb,0.278
afm_basic_model_2_multimer_v3_pred_42.pdb,0.278
afm_dropout_full_model_1_multimer_v2_pred_10.pdb,0.278
afm_dropout_full_model_1_multimer_v2_pred_19.pdb,0.278
afm_basic_model_2_multimer_v3_pred_16.pdb,0.278
afm_basic_model_3_multimer_v2_pred_29.pdb,0.278
afm_basic_model_1_multimer_v2_pred_16.pdb,0.278
afm_basic_model_1_multimer_v2_pred_44.pdb,0.277
afm_basic_model_5_multimer_v3_pred_55.pdb,0.277
afm_woTemplates_model_1_multimer_v2_pred_32.pdb,0.277
afm_basic_model_4_multimer_v2_pred_53.pdb,0.277
afm_basic_model_2_multimer_v3_pred_54.pdb,0.277
afm_basic_model_4_multimer_v3_pred_58.pdb,0.277
afm_basic_model_4_multimer_v2_pred_32.pdb,0.277
afm_basic_model_2_multimer_v3_pred_7.pdb,0.277
afm_basic_model_1_multimer_v2_pred_27.pdb,0.277
afm_basic_model_1_multimer_v2_pred_26.pdb,0.277
afm_basic_model_2_multimer_v3_pred_53.pdb,0.277
afm_basic_model_1_multimer_v2_pred_5.pdb,0.277
afm_basic_model_2_multimer_v3_pred_63.pdb,0.277
afm_basic_model_1_multimer_v2_pred_61.pdb,0.277
afm_woTemplates_model_4_multimer_v3_pred_58.pdb,0.276
